Disease	MyCancerGenome Gene category	genes	Entrez gene name	Gene ID	Drug name	pubchem drug name	pubchem drug id	Other drug names	clinical trial ID	indication of drug-gene interaction	Interaction type
Gastric cancer	Her2	Her2	ERBB2	2064	trastuzumab	N/A	N/A	N/A	NCT01705340	N/A	inhibitor
GIST	BRAF	N/A	N/A	N/A	Everolimus	Everolimus	6442177	N/A	NCT00770263	N/A	inhibitor
GIST	BRAF	BRAF	BRAF	673	GSK2118436	GSK2118436	44516822	N/A	NCT01231594	Purpose: provide continued access to GSK2118436 for eligible subjects with BRAF mutation-positive tumors. %Official title: Treatment With GSK2118436 to Subjects With BRAF Mutation-Positive Tumors.	inhibitor
GIST	BRAF	BRAF	BRAF	673	GSK2118436	GSK2118436	44516822	N/A	NCT01231594	Purpose: provide continued access to GSK2118436 for eligible subjects with BRAF mutation-positive tumors. %Official title: Treatment With GSK2118436 to Subjects With BRAF Mutation-Positive Tumors.	inhibitor
GIST	BRAF	tubulin	N/A	N/A	Crolibulin	Crolibulin	23649181	N/A	NCT01240590	Purpose: Crolibulin (EPC2407) is a microtubulin inhibitor.	inhibitor
GIST	BRAF	N/A	N/A	N/A	Erlotinib	erlotinib hydrochloride	176871	N/A	NCT01325441	N/A	inhibitor
GIST	BRAF	MEK	MAP2k1	5604	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
GIST	BRAF	MEK	MAP2k2	5605	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
GIST	BRAF	MEK	MAP2K3	5606	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
GIST	BRAF	MEK	MAP2K4	6416	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
GIST	BRAF	MEK	MAP2K5	5607	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
GIST	BRAF	MEK	MAP2k6	5608	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
GIST	BRAF	MEK	MAP2k7	5609	 PD-0325901	PD 0325901	9826528	N/A	NCT01347866	Purpose: PD-0325901 (oral MEK inhibitor)	inhibitor
GIST	BRAF	mTOR	mTOR	2475	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
GIST	BRAF	PI3K	PIK3CA	5290	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
GIST	BRAF	PI3K	PIK3CB	5291	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
GIST	BRAF	PI3K	PIK3CG	5294	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
GIST	BRAF	PI3K	PIK3CD	5293	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
GIST	BRAF	PI3K	PIK3R1	5295	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
GIST	BRAF	PI3K	PIK3R2	5296	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
GIST	BRAF	PI3K	PIK3R3	8503	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
GIST	BRAF	PI3K	PIK3R4	30849	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
GIST	BRAF	PI3K	PIK3R5	23533	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
GIST	BRAF	PI3K	PIK3R6	146850	PF-05212384	PKI-587	44516953	N/A	NCT01347866	Purpose: PF-05212384 (intravenous PI3K/mTOR inhibitor). %Official title: Dual PI3K/mTOR Inhibitors PF-04691502 And PF-05212384.	inhibitor
GIST	BRAF	PI3K	PIK3CA	5290	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01363232	Purpose: phosphatidylinositol 3'-kinase (PI3K) inhibitor BKM120	inhibitor
GIST	BRAF	PI3K	PIK3CB	5291	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01363232	Purpose: phosphatidylinositol 3'-kinase (PI3K) inhibitor BKM120	inhibitor
GIST	BRAF	PI3K	PIK3CG	5294	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01363232	Purpose: phosphatidylinositol 3'-kinase (PI3K) inhibitor BKM120	inhibitor
GIST	BRAF	PI3K	PIK3CD	5293	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01363232	Purpose: phosphatidylinositol 3'-kinase (PI3K) inhibitor BKM120	inhibitor
GIST	BRAF	PI3K	PIK3R1	5295	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01363232	Purpose: phosphatidylinositol 3'-kinase (PI3K) inhibitor BKM120	inhibitor
GIST	BRAF	PI3K	PIK3R2	5296	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01363232	Purpose: phosphatidylinositol 3'-kinase (PI3K) inhibitor BKM120	inhibitor
GIST	BRAF	PI3K	PIK3R3	8503	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01363232	Purpose: phosphatidylinositol 3'-kinase (PI3K) inhibitor BKM120	inhibitor
GIST	BRAF	PI3K	PIK3R4	30849	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01363232	Purpose: phosphatidylinositol 3'-kinase (PI3K) inhibitor BKM120	inhibitor
GIST	BRAF	PI3K	PIK3R5	23533	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01363232	Purpose: phosphatidylinositol 3'-kinase (PI3K) inhibitor BKM120	inhibitor
GIST	BRAF	PI3K	PIK3R6	146850	BKM120	Buparlisib hydrochloride	66577015	N/A	NCT01363232	Purpose: phosphatidylinositol 3'-kinase (PI3K) inhibitor BKM120	inhibitor
GIST	BRAF	MEK1/2	MAP2k1	5604	MEK162	MEK162	10288191	N/A	NCT01363232	Purpose: MEK1/2 inhibitor MEK162	inhibitor
GIST	BRAF	MEK1/2	MAP2k2	5605	MEK162	MEK162	10288191	N/A	NCT01363232	Purpose: MEK1/2 inhibitor MEK162	inhibitor
GIST	BRAF	PI3K	PIK3CA	5290	BYL719	BYL719	56649450	N/A	NCT01449058	Keywords: PI3K inhibitor, MEK inhibitor.	inhibitor
GIST	BRAF	PI3K	PIK3CB	5291	BYL719	BYL719	56649450	N/A	NCT01449058	Keywords: PI3K inhibitor, MEK inhibitor.	inhibitor
GIST	BRAF	PI3K	PIK3CG	5294	BYL719	BYL719	56649450	N/A	NCT01449058	Keywords: PI3K inhibitor, MEK inhibitor.	inhibitor
GIST	BRAF	PI3K	PIK3CD	5293	BYL719	BYL719	56649450	N/A	NCT01449058	Keywords: PI3K inhibitor, MEK inhibitor.	inhibitor
GIST	BRAF	PI3K	PIK3R1	5295	BYL719	BYL719	56649450	N/A	NCT01449058	Keywords: PI3K inhibitor, MEK inhibitor.	inhibitor
GIST	BRAF	PI3K	PIK3R2	5296	BYL719	BYL719	56649450	N/A	NCT01449058	Keywords: PI3K inhibitor, MEK inhibitor.	inhibitor
GIST	BRAF	PI3K	PIK3R3	8503	BYL719	BYL719	56649450	N/A	NCT01449058	Keywords: PI3K inhibitor, MEK inhibitor.	inhibitor
GIST	BRAF	PI3K	PIK3R4	30849	BYL719	BYL719	56649450	N/A	NCT01449058	Keywords: PI3K inhibitor, MEK inhibitor.	inhibitor
GIST	BRAF	PI3K	PIK3R5	23533	BYL719	BYL719	56649450	N/A	NCT01449058	Keywords: PI3K inhibitor, MEK inhibitor.	inhibitor
GIST	BRAF	PI3K	PIK3R6	146850	BYL719	BYL719	56649450	N/A	NCT01449058	Keywords: PI3K inhibitor, MEK inhibitor.	inhibitor
GIST	BRAF	Mek	MAP2k1	5604	MEK162	MEK162	10288191	N/A	NCT01449058	Keywords: PI3K inhibitor, MEK inhibitor.	inhibitor
GIST	BRAF	Mek	MAP2k2	5605	MEK162	MEK162	10288191	N/A	NCT01449058	Keywords: PI3K inhibitor, MEK inhibitor.	inhibitor
GIST	BRAF	Mek	MAP2K3	5606	MEK162	MEK162	10288191	N/A	NCT01449058	Keywords: PI3K inhibitor, MEK inhibitor.	inhibitor
GIST	BRAF	Mek	MAP2K4	6416	MEK162	MEK162	10288191	N/A	NCT01449058	Keywords: PI3K inhibitor, MEK inhibitor.	inhibitor
GIST	BRAF	Mek	MAP2K5	5607	MEK162	MEK162	10288191	N/A	NCT01449058	Keywords: PI3K inhibitor, MEK inhibitor.	inhibitor
GIST	BRAF	Mek	MAP2k6	5608	MEK162	MEK162	10288191	N/A	NCT01449058	Keywords: PI3K inhibitor, MEK inhibitor.	inhibitor
GIST	BRAF	Mek	MAP2k7	5609	MEK162	MEK162	10288191	N/A	NCT01449058	Keywords: PI3K inhibitor, MEK inhibitor.	inhibitor
GIST	BRAF	BRAF	BRAF	673	Vemurafenib	Vemurafenib	42611257	Zelboraf	NCT01524978	Official title: Vemurafenib in Patients With BRAF V600 Mutation-positive Cancers. %Inclusion criteria: Histologically confirmed cancers (excluding melanoma and papillary thyroid cancer) with a BRAF V600 mutation	inhibitor
GIST	BRAF	BRAF	BRAF	673	Vemurafenib	Vemurafenib	42611257	Zelboraf	NCT01524978	Official title: Vemurafenib in Patients With BRAF V600 Mutation-positive Cancers. %Inclusion criteria: Histologically confirmed cancers (excluding melanoma and papillary thyroid cancer) with a BRAF V600 mutation	inhibitor
GIST	BRAF	mTor	mTOR	2475	Metformin	Metformin	4091	N/A	NCT01529593	Purpose: Metformin was designed to treat patients with diabetes. It may be able to block the protein mTOR and slow the growth of tumors.	inhibitor
GIST	BRAF	mTor	mTOR	2475	Temsirolimus	Temsirolimus	23724530	N/A	NCT01529593	Purpose: Temsirolimus is designed to block a protein called mTOR. 	inhibitor
GIST	BRAF	BRAF	BRAF	673	vemurafenib	Vemurafenib	42611257	Zelboraf	NCT01531361	Official title: Vemurafenib (BRAF Inhibitor). %Inclusion criteria: Patients with advanced or metastatic cancers and BRAF mutations 	inhibitor
GIST	BRAF	EGFR	EGFR	1956	BIBW 2992	BIBW 2992	10184653	N/A	NCT01542437	Purpose: BIBW 2992, an irreversible inhibitor of receptor Epidermal growth factor type 1/2 (EGFR/HER2). %Official title: BIBW 2992, Irreversible Inhibitor of EGFR and HER-2. %Exclusion criteria: Pre-treatment with systemic anti-tumor therapy with EGFR inhibitors	inhibitor
GIST	BRAF	Her2	ERBB2	2064	BIBW 2992	BIBW 2992	10184653	N/A	NCT01542437	Purpose: BIBW 2992, an irreversible inhibitor of receptor Epidermal growth factor type 1/2 (EGFR/HER2). %Official title: BIBW 2992, Irreversible Inhibitor of EGFR and HER-2. %Exclusion criteria: Pre-treatment with systemic anti-tumor therapy with EGFR inhibitors	inhibitor
GIST	BRAF	mTOR	mTOR	2475	Everolimus	Everolimus	6442177	N/A	NCT01596140	Official title: mTOR Inhibitor, Everolimus (Afinitor) or Temsirolimus (Torisel)	inhibitor
GIST	BRAF	PI3K	PIK3CA	5290	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
GIST	BRAF	PI3K	PIK3CB	5291	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
GIST	BRAF	PI3K	PIK3CG	5294	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
GIST	BRAF	PI3K	PIK3CD	5293	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
GIST	BRAF	PI3K	PIK3R1	5295	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
GIST	BRAF	PI3K	PIK3R2	5296	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
GIST	BRAF	PI3K	PIK3R3	8503	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
GIST	BRAF	PI3K	PIK3R4	30849	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
GIST	BRAF	PI3K	PIK3R5	23533	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
GIST	BRAF	PI3K	PIK3R6	146850	PX-866	PX-866	9849735	N/A	NCT01616199	Purpose: The purpose of the phase 1 portion of the study is to determine PX-866 in combination vemurafenib in patients with any advanced BRAF-mutant cancer. %Official title: Study of PI-3K Inhibition With PX-866 Combined With Vemurafenib (BRAF Inhibitor) %Inclusion criteria: must have histologically or cytologically-confirmed advanced cancer that is BRAF mutation-positive	inhibitor
GIST	BRAF	BRAF	BRAF	673	Vemurafenib	Vemurafenib	42611257	PLX4032	NCT01636622	Purpose: Vemurafenib is designed to block a protein (called mutated BRAF). %Inclusion criteria: Patient must have histologically or cytologically confirmed diagnosis of advanced solid tumor or lymphoma harboring a BRAF mutation	inhibitor
GIST	BRAF	N/A	N/A	N/A	SAR260301	N/A	N/A	N/A	NCT01673737	N/A	inhibitor
GIST	BRAF	BRAF	BRAF	673	Dabrafenib	Dabrafenib mesylate	44516822	N/A	NCT01677741	Purpose: dabrafenib in pediatric subjects with advanced BRAF V600 mutation-positive solid tumors. %Official title: Dabrafenib in Pediatric Subjects Aged 1 Month to <18 Years With Advanced BRAF V600-Mutation. %Inclusion criteria: BRAF V600 mutation-positive tumor.	inhibitor
GIST	BRAF	BRAF	BRAF	673	Dabrafenib	Dabrafenib mesylate	44516822	GSK2118436	NCT01713972	Purpose: Dabrafenib and pazopanib hydrochloride may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. %Assigned intervention: BRAF inhibitor GSK2118436. %Inclusion criteria: Tumors must carry the BRAF mutation	inhibitor
GIST	BRAF	BRAF	BRAF	673	GSK2118436	GSK2118436	44516822	N/A	NCT01738451	N/A	inhibitor
GIST	BRAF	BRAF	BRAF	673	vemurafenib	Vemurafenib	42611257	N/A	NCT01739764	Purpose: This open-label, multicenter, non-randomized study will provide continued access to vemurafenib for eligible patients with BRAF V600 mutation-positive malignancy. %Official title: A Phase IV, PostMarketing, Open-Label, Extension (Rollover) Study of Vemurafenib in Patients With BRAF V600 Mutation-Positive Malignancies. %Inclusion criteria: BRAF V600 mutation-positive malignancy. 	inhibitor
GIST	BRAF	N/A	N/A	N/A	Crizotinib	crenolanib 	10366136	N/A	NCT01744652	N/A	inhibitor
GIST	BRAF	N/A	N/A	N/A	Dasatinib	Dasatinib	3062316	N/A	NCT01744652	N/A	inhibitor
GIST	BRAF	BRAF	BRAF	673	Vemurafenib	Vemurafenib	42611257	N/A	NCT01765543	Purpose: in patients with unresectable BRAFV600-mutation positive metastatic melanoma or other malignant tumor type that harbors a V600-activating mutation of BRAF. %Inclusion criteria: positive for the BRAFV600 mutation or other malignant tumor type that harbors a V600-activating mutation of BRAF	inhibitor
GIST	BRAF	BRAF	BRAF	673	Vemurafenib	Vemurafenib	42611257	N/A	NCT01767623	Purpose:  vemurafenib in patients with BRAF V600 mutation positive cancer. %Official title: Vemurafenib in BRAF V600 Mutation Positive Cancer Patients. %Inclusion criteria: confirmed BRAF V600 mutation	inhibitor
GIST	BRAF	ERK1	MAPK3	5595	BVD-523	N/A	N/A	N/A	NCT01781429	Official title: BVD-523, an ERK 1/2 Inhibitor. 	inhibitor
GIST	BRAF	ERK2	MAPK1	5594	BVD-523	N/A	N/A	N/A	NCT01781429	Official title: BVD-523, an ERK 1/2 Inhibitor. 	inhibitor
GIST	BRAF	N/A	N/A	N/A	Cetuximab	N/A	N/A	N/A	NCT01787500	N/A	inhibitor
GIST	BRAF	N/A	N/A	N/A	Irinotecan	Irinotecan	60838	N/A	NCT01787500	N/A	inhibitor
GIST	BRAF	BRAF	BRAF	673	Vemurafenib	Vemurafenib	42611257	N/A	NCT01787500	Purpose: Vemurafenib is designed to block BRAFV600 inside the cancer cells. %Inclusion criteria: Cancers with positive BRAF V600 mutation. %Keywords: BRAF mutant, BRAF V600 Mutant Advanced Solid Malignancies.	inhibitor
GIST	KIT	Fms	CSF1R	1436	PLX3397	N/A	N/A	N/A	NCT01004861	Purpose: PLX3397 is a selective inhibitor of Fms, Kit, and oncogenic Flt3 activity.	inhibitor
GIST	KIT	kit	KIT	3815	PLX3398	N/A	N/A	N/A	NCT01004862	Purpose: PLX3397 is a selective inhibitor of Fms, Kit, and oncogenic Flt3 activity.	inhibitor
GIST	KIT	Flt3	FLT3	2322	PLX3399	N/A	N/A	N/A	NCT01004863	Purpose: PLX3397 is a selective inhibitor of Fms, Kit, and oncogenic Flt3 activity.	inhibitor
GIST	KIT	VEGFR	FLT1	2321	Sunitinib	Sunitinib	5329102	N/A	NCT01286896	Detailed description: Sunitinib is an orally available inhibitor of vascular endothelial growth factor (VEGFR), platelet-derived growth factor (PDGF), cytokine receptor (c-KIT), and receptor tyrosine kinase (FLT-3) activity.	inhibitor
GIST	KIT	VEGFR	KDR	3791	Sunitinib	Sunitinib	5329102	N/A	NCT01286896	Detailed description: Sunitinib is an orally available inhibitor of vascular endothelial growth factor (VEGFR), platelet-derived growth factor (PDGF), cytokine receptor (c-KIT), and receptor tyrosine kinase (FLT-3) activity.	inhibitor
GIST	KIT	VEGFR	FLT4	2324	Sunitinib	Sunitinib	5329102	N/A	NCT01286896	Detailed description: Sunitinib is an orally available inhibitor of vascular endothelial growth factor (VEGFR), platelet-derived growth factor (PDGF), cytokine receptor (c-KIT), and receptor tyrosine kinase (FLT-3) activity.	inhibitor
GIST	KIT	PDGF	PDGFA	5154	Sunitinib	Sunitinib	5329102	N/A	NCT01286896	Detailed description: Sunitinib is an orally available inhibitor of vascular endothelial growth factor (VEGFR), platelet-derived growth factor (PDGF), cytokine receptor (c-KIT), and receptor tyrosine kinase (FLT-3) activity.	inhibitor
GIST	KIT	PDGF	PDGFB	5155	Sunitinib	Sunitinib	5329102	N/A	NCT01286896	Detailed description: Sunitinib is an orally available inhibitor of vascular endothelial growth factor (VEGFR), platelet-derived growth factor (PDGF), cytokine receptor (c-KIT), and receptor tyrosine kinase (FLT-3) activity.	inhibitor
GIST	KIT	PDGF	PDGFC	56034	Sunitinib	Sunitinib	5329102	N/A	NCT01286896	Detailed description: Sunitinib is an orally available inhibitor of vascular endothelial growth factor (VEGFR), platelet-derived growth factor (PDGF), cytokine receptor (c-KIT), and receptor tyrosine kinase (FLT-3) activity.	inhibitor
GIST	KIT	PDGF	PDGFD	80310	Sunitinib	Sunitinib	5329102	N/A	NCT01286896	Detailed description: Sunitinib is an orally available inhibitor of vascular endothelial growth factor (VEGFR), platelet-derived growth factor (PDGF), cytokine receptor (c-KIT), and receptor tyrosine kinase (FLT-3) activity.	inhibitor
GIST	KIT	kit	KIT	3815	Sunitinib	Sunitinib	5329102	N/A	NCT01286896	Detailed description: Sunitinib is an orally available inhibitor of vascular endothelial growth factor (VEGFR), platelet-derived growth factor (PDGF), cytokine receptor (c-KIT), and receptor tyrosine kinase (FLT-3) activity.	inhibitor
GIST	KIT	Flt-3	FLT3	2322	Sunitinib	Sunitinib	5329102	N/A	NCT01286896	Detailed description: Sunitinib is an orally available inhibitor of vascular endothelial growth factor (VEGFR), platelet-derived growth factor (PDGF), cytokine receptor (c-KIT), and receptor tyrosine kinase (FLT-3) activity.	inhibitor
GIST	KIT	PDGFR-A	PDGFRA	5156	Sunitinib	Sunitinib	5329102	N/A	NCT01286896	Detailed description: Sunitinib is an orally available inhibitor of vascular endothelial growth factor (VEGFR), platelet-derived growth factor (PDGF), cytokine receptor (c-KIT), and receptor tyrosine kinase (FLT-3) activity.	inhibitor
GIST	KIT	Abl	Abl	45821	Dasatinib	Dasatinib	3062316	N/A	NCT01445509	Purpose:  Dasatinib inhibits the action of proteins called tyrosine kinases, which promote and stimulate blood vessel formation and cancer growth and spread. %Detailed description: Dasatinib is an inhibitor of SRC family kinases, BCR-ABL, c-KIT, EPHA2 and PDGF beta receptor.	inhibitor
GIST	KIT	c-Kit	Kit	16590	Dasatinib	Dasatinib	3062316	N/A	NCT01445509	Purpose:  Dasatinib inhibits the action of proteins called tyrosine kinases, which promote and stimulate blood vessel formation and cancer growth and spread. %Detailed description: Dasatinib is an inhibitor of SRC family kinases, BCR-ABL, c-KIT, EPHA2 and PDGF beta receptor.	inhibitor
GIST	KIT	EPHA2	EPHA2	1696	Dasatinib	Dasatinib	3062316	N/A	NCT01445509	Purpose:  Dasatinib inhibits the action of proteins called tyrosine kinases, which promote and stimulate blood vessel formation and cancer growth and spread. %Detailed description: Dasatinib is an inhibitor of SRC family kinases, BCR-ABL, c-KIT, EPHA2 and PDGF beta receptor.	inhibitor
GIST	KIT	PDGFRb	PDGFRB	5159	Dasatinib	Dasatinib	3062316	N/A	NCT01445509	Purpose:  Dasatinib inhibits the action of proteins called tyrosine kinases, which promote and stimulate blood vessel formation and cancer growth and spread. %Detailed description: Dasatinib is an inhibitor of SRC family kinases, BCR-ABL, c-KIT, EPHA2 and PDGF beta receptor.	inhibitor
GIST	KIT	VEGF	VEGFA	7422	Bevacizumab	N/A	N/A	N/A	NCT01445509	Background: Bevacizumab inhibits blood vessel growth in cancer cells by blocking a growth factor called VEGF. %Detailed description: Bevacizumab is a humanized IgG1 monoclonal antibody (MAb) that binds all biologically active isoforms of human vascular endothelial growth factor (VEGF, or VEGF-A)	inhibitor
GIST	KIT	VEGF	VEGFB	7423	Bevacizumab	N/A	N/A	N/A	NCT01445509	Background: Bevacizumab inhibits blood vessel growth in cancer cells by blocking a growth factor called VEGF. %Detailed description: Bevacizumab is a humanized IgG1 monoclonal antibody (MAb) that binds all biologically active isoforms of human vascular endothelial growth factor (VEGF, or VEGF-A)	inhibitor
GIST	KIT	VEGF	VEGFC	7424	Bevacizumab	N/A	N/A	N/A	NCT01445509	Background: Bevacizumab inhibits blood vessel growth in cancer cells by blocking a growth factor called VEGF. %Detailed description: Bevacizumab is a humanized IgG1 monoclonal antibody (MAb) that binds all biologically active isoforms of human vascular endothelial growth factor (VEGF, or VEGF-A)	inhibitor
GIST	KIT	CD30	TNFRSF8	943	brentuximab	N/A	N/A	N/A	NCT01461538	Purpose: brentuximab vedotin as a single agent in patients with CD30-positive nonlymphomatous malignancies. %Official title: Brentuximab Vedotin in Patients With CD30-positive Nonlymphomatous Malignancies. %Inclusion criteria: Histologically-confirmed by central review CD30-positive nonlymphomatous malignancy.	inhibitor
GIST	KIT	MDM2	MDM2	4193	RO5503781	N/A	N/A	N/A	NCT01462175	Official title: RO5503781, a Small Molecule MDM2 Antagonist. 	inhibitor
GIST	KIT	mTor	mTOR	2475	Metformin	Metformin	4091	N/A	NCT01529593	Purpose: Metformin was designed to treat patients with diabetes. It may be able to block the protein mTOR and slow the growth of tumors.	inhibitor
GIST	KIT	mTor	mTOR	2475	Temsirolimus	Temsirolimus	23724530	N/A	NCT01529593	Purpose: Temsirolimus is designed to block a protein called mTOR. 	inhibitor
GIST	KIT	VEGFR1	FLT1	2321	Pazopanib	pazopanib	10113978	N/A	NCT01543763	Purpose: Pazopanib is a potent, multi-targeted tyrosine kinase inhibitor of VEGFR-1, -2, -3, PDGFR-_ and -_ and c-kit. 	inhibitor
GIST	KIT	HDAC	N/A	N/A	PCI-24781	PCI-24781	11749858	N/A	NCT01543763	Purpose: PCI-24781 is a pan HDAC inhibitor.	inhibitor
GIST	KIT	VEGFR2	KDR	3791	Pazopanib	pazopanib	10113978	N/A	NCT01529593	Purpose: Pazopanib is a potent, multi-targeted tyrosine kinase inhibitor of VEGFR-1, -2, -3, PDGFR-_ and -_ and c-kit. 	inhibitor
GIST	KIT	VEGFR3	FLT4	2324	Pazopanib	pazopanib	10113978	N/A	NCT01529593	Purpose: Pazopanib is a potent, multi-targeted tyrosine kinase inhibitor of VEGFR-1, -2, -3, PDGFR-_ and -_ and c-kit. 	inhibitor
