Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	"Protein class"
ENSG00000116761	CTH		"Cystathionine gamma-lyase"	P32929	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000040531	CTNS	"CTNS-LSB, PQLC4"	"Cystinosin, lysosomal cystine transporter"	O60931	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000171793	CTPS1	"CTPS, GATD5"	"CTP synthase 1"	P17812	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000162438	CTRC	"CLCR, ELA4"	"Chymotrypsin C"	Q99895	"Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins"
ENSG00000064601	CTSA	"GSL, PPGB"	"Cathepsin A"	P10619	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000109861	CTSC	"DPP1, PALS, PLS"	"Cathepsin C"	P53634	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000117984	CTSD	"CLN10, CPSD"	"Cathepsin D"	P07339	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
ENSG00000174080	CTSF	"CATSF, CLN13"	"Cathepsin F"	Q9UBX1	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000143387	CTSK	"CTSO, CTSO2, PKND, PYCD"	"Cathepsin K"	P43235	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000153015	CWC27	"NY-CO-10, SDCCAG-10, SDCCAG10"	"CWC27 spliceosome associated protein homolog"	Q6UX04	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000168329	CX3CR1	"CCRL1, CMKBRL1, CMKDR1, GPR13, V28"	"C-X3-C motif chemokine receptor 1"	P49238	"Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted membrane proteins"
ENSG00000100243	CYB5R3	DIA1	"Cytochrome b5 reductase 3"	P00387	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000051523	CYBA	p22-PHOX	"Cytochrome b-245 alpha chain"	P13498	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000165168	CYBB	"CGD, GP91-PHOX, NOX2"	"Cytochrome b-245 beta chain"	P04839	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000083799	CYLD	"CYLD1, KIAA0849, USPL2"	"CYLD lysine 63 deubiquitinase"	Q9NQC7	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000179142	CYP11B2	"ALDOS, CPN2, CYP11B, CYP11BL, P-450C18, P450aldo"	"Cytochrome P450 family 11 subfamily B member 2"	P19099	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000138061	CYP1B1	"CP1B, GLC3A"	"Cytochrome P450 family 1 subfamily B member 1"	Q16678	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000231852	CYP21A2	"CA21H, CAH1, CPS1, CYP21, CYP21B, P450c21B"	"Cytochrome P450 family 21 subfamily A member 2"	P08686	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000019186	CYP24A1	"CP24, CYP24, P450-CC24"	"Cytochrome P450 family 24 subfamily A member 1"	Q07973	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000135929	CYP27A1	"CP27, CTX, CYP27"	"Cytochrome P450 family 27 subfamily A member 1"	Q02318	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000111012	CYP27B1	"CYP1, P450c1, PDDR, VDD1"	"Cytochrome P450 family 27 subfamily B member 1"	O15528	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000186104	CYP2R1		"Cytochrome P450 family 2 subfamily R member 1"	Q6VVX0	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000155016	CYP2U1	SPG49	"Cytochrome P450 family 2 subfamily U member 1"	Q7Z449	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000186115	CYP4F2		"Cytochrome P450 family 4 subfamily F member 2"	P78329	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000145476	CYP4V2	CYP4AH1	"Cytochrome P450 family 4 subfamily V member 2"	Q6ZWL3	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000172817	CYP7B1	SPG5A	"Cytochrome P450 family 7 subfamily B member 1"	O75881	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000173402	DAG1	"156DAG, A3a, AGRNR, DAG"	"Dystroglycan 1"	Q14118	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000110887	DAO	DAMOX	"D-amino acid oxidase"	P14920	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000115866	DARS		"Aspartyl-tRNA synthetase"	P14868	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000117593	DARS2	FLJ10514	"Aspartyl-tRNA synthetase 2, mitochondrial"	Q6PI48	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000137992	DBT		"Dihydrolipoamide branched chain transacylase E2"	P11182	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000110063	DCPS	"HINT-5, HSL1, HSPC015"	"Decapping enzyme, scavenger"	Q96C86	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000169738	DCXR	"DCR, KIDCR, SDR20C1"	"Dicarbonyl and L-xylulose reductase"	Q7Z4W1	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000013573	DDX11	"CHL1, CHLR1, KRG2, WABS"	"DEAD/H-box helicase 11"	Q96FC9	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000215301	DDX3X	"DBX, DDX14, DDX3, HLP2"	"DEAD-box helicase 3, X-linked"	O00571	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000067048	DDX3Y	DBY	"DEAD-box helicase 3, Y-linked"	O15523	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000183258	DDX41	"ABS, MGC8828"	"DEAD-box helicase 41"	Q9UJV9	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000107201	DDX58	"DKFZp434J1111, FLJ13599, RIG-I"	"DExD/H-box helicase 58"	O95786	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000118197	DDX59	"DKFZP564B1023, ZNHIT5"	"DEAD-box helicase 59"	Q5T1V6	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000110367	DDX6	"HLR2, RCK"	"DEAD-box helicase 6"	P26196	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000104325	DECR1	"DECR, SDR18C1"	"2,4-dienoyl-CoA reductase 1"	Q16698	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000185000	DGAT1	"ARGP1, DGAT"	"Diacylglycerol O-acyltransferase 1"	O75907	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000153933	DGKE	"DAGK6, DGK"	"Diacylglycerol kinase epsilon"	P52429	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000114956	DGUOK	dGK	"Deoxyguanosine kinase"	Q16854	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000116133	DHCR24	"DCE, KIAA0018, seladin-1"	"24-dehydrocholesterol reductase"	Q15392	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000172893	DHCR7	SLOS	"7-dehydrocholesterol reductase"	Q9UBM7	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000117682	DHDDS	"DS, FLJ13102, HDS, RP59"	"Dehydrodolichyl diphosphate synthase subunit"	Q86SQ9	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000181192	DHTKD1	"CMT2Q, DKFZP762M115, KIAA1630, MGC3090"	"Dehydrogenase E1 and transketolase domain containing 1"	Q96HY7	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000100697	DICER1	"Dicer, HERNA, K12H4.8-LIKE, KIAA0928, MNG1"	"Dicer 1, ribonuclease III"	Q9UPY3	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000138463	DIRC2	"FLJ14784, RCC4"	"Disrupted in renal carcinoma 2"	Q96SL1	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000150768	DLAT	"DLTA, PDC-E2"	"Dihydrolipoamide S-acetyltransferase"	P10515	"Citric acid cycle related proteins, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000091140	DLD	"DLDH, GCSL, LAD"	"Dihydrolipoamide dehydrogenase"	P09622	"Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000198947	DMD	"BMD, DXS142, DXS164, DXS206, DXS230, DXS239, DXS268, DXS269, DXS270, DXS272, MRX85"	Dystrophin	P11532	"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000132837	DMGDH		"Dimethylglycine dehydrogenase"	Q9UI17	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000104936	DMPK	"DM, DM1, DM1PK, DMK, MDPK, MT-PK"	"DM1 protein kinase"	Q09013	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000138346	DNA2	"DNA2L, KIAA0083"	"DNA replication helicase/nuclease 2"	P51530	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000116675	DNAJC6	"KIAA0473, PARK19"	"DnaJ heat shock protein family (Hsp40) member C6"	O75061	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000213918	DNASE1	DNL1	"Deoxyribonuclease 1"	P24855	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
ENSG00000106976	DNM1	DNM	"Dynamin 1"	Q05193	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000087470	DNM1L	"DRP1, DVLP, DYMPLE, HDYNIV, VPS1"	"Dynamin 1 like"	O00429	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000079805	DNM2	"CMT2M, CMTDI1, CMTDIB, DI-CMTB, DYN2, DYNII"	"Dynamin 2"	P50570	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000119772	DNMT3A		"DNA methyltransferase 3 alpha"	Q9Y6K1	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transcription factors"
ENSG00000088305	DNMT3B		"DNA methyltransferase 3 beta"	Q9UBC3	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transcription factors"
ENSG00000175283	DOLK	"DK1, KIAA1094, TMEM15"	"Dolichol kinase"	Q9UPQ8	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000172269	DPAGT1	"ALG7, CDG-Ij, D11S366, DGPT, DPAGT, DPAGT2, GPT"	"Dolichyl-phosphate N-acetylglucosaminephosphotransferase 1"	Q9H3H5	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000108963	DPH1	"DPH2L, DPH2L1, OVCA1"	"Diphthamide biosynthesis 1"	Q9BZG8	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000000419	DPM1	"CDGIE, MPDS"	"Dolichyl-phosphate mannosyltransferase subunit 1, catalytic"	O60762	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000175497	DPP10	"DPL2, DPPY, DPRP3"	"Dipeptidyl peptidase like 10"	Q8N608	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000130226	DPP6	"DPL1, DPPX"	"Dipeptidyl peptidase like 6"	P42658	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000147647	DPYS	DHPase	Dihydropyrimidinase	Q14117	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000111817	DSE	"DS-Epi1, DSEPI, SART2"	"Dermatan sulfate epimerase"	Q9UL01	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000133059	DSTYK	"DustyPK, KIAA0472, RIP5, RIPK5"	"Dual serine/threonine and tyrosine protein kinase"	Q6XUX3	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000140279	DUOX2	"LNOX2, P138-TOX, P138(TOX), THOX2"	"Dual oxidase 2"	Q9NRD8	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000139318	DUSP6	"MKP-3, PYST1"	"Dual specificity phosphatase 6"	Q16828	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000260596	DUX4		"Double homeobox 4"	Q9UBX2	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transcription factors, Transporters"
ENSG00000157540	DYRK1A	"DYRK, DYRK1, MNBH"	"Dual specificity tyrosine phosphorylation regulated kinase 1A"	Q13627	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000105204	DYRK1B	MIRK	"Dual specificity tyrosine phosphorylation regulated kinase 1B"	Q9Y463	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000135636	DYSF	"FER1L1, LGMD2B"	Dysferlin	O75923	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000103356	EARS2	"KIAA1970, MSE1"	"Glutamyl-tRNA synthetase 2, mitochondrial"	Q5JPH6	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000147155	EBP	"CDPX2, CHO2, CPX, CPXD"	"Emopamil binding protein (sterol isomerase)"	Q15125	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000117298	ECE1	ECE	"Endothelin converting enzyme 1"	P42892	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000171551	ECEL1	"DINE, XCE"	"Endothelin converting enzyme like 1"	O95672	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000127884	ECHS1	SCEH	"Enoyl-CoA hydratase, short chain 1"	P30084	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000135766	EGLN1	"C1orf12, HIFPH2, PHD2, SM-20, ZMYND6"	"Egl-9 family hypoxia inducible factor 1"	Q9GZT9	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000113790	EHHADH	ECHD	"Enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase"	Q08426	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000181090	EHMT1	"bA188C12.1, EHMT1-IT1, Eu-HMTase1, FLJ12879, FLJ40292, KIAA1876, KMT1D"	"Euchromatic histone lysine methyltransferase 1"	Q9H9B1	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000149547	EI24	"EPG4, PIG8, TP53I8"	"EI24, autophagy associated transmembrane protein"	O14681	"Cancer-related genes, Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000172071	EIF2AK3	"PEK, PERK"	"Eukaryotic translation initiation factor 2 alpha kinase 3"	Q9NZJ5	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000128829	EIF2AK4	"GCN2, KIAA1338"	"Eukaryotic translation initiation factor 2 alpha kinase 4"	Q9P2K8	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000141543	EIF4A3	"DDX48, EIF4AIII, Fal1, KIAA0111"	"Eukaryotic translation initiation factor 4A3"	P38919	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000006744	ELAC2	"FLJ10530, HPC2"	"ElaC ribonuclease Z 2"	Q9BQ52	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000118402	ELOVL4	"CT118, SCA34, STGD2, STGD3"	"ELOVL fatty acid elongase 4"	Q9GZR5	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000012660	ELOVL5	"dJ483K16.1, HELO1, SCA38"	"ELOVL fatty acid elongase 5"	Q9NYP7	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000127463	EMC1	KIAA0090	"ER membrane protein complex subunit 1"	Q8N766	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000108515	ENO3		"Enolase 3"	P13929	"Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000197594	ENPP1	"M6S1, NPPS, PC-1, PCA1, PDNP1"	"Ectonucleotide pyrophosphatase/phosphodiesterase 1"	P22413	"CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins"
ENSG00000138185	ENTPD1	"ATPDase, CD39, NTPDase-1, SPG64"	"Ectonucleoside triphosphate diphosphohydrolase 1"	P49961	"CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000163378	EOGT	"AER61, C3orf64, FLJ33770"	"EGF domain specific O-linked N-acetylglucosamine transferase"	Q5NDL2	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000100393	EP300	"KAT3B, p300"	"E1A binding protein p300"	Q09472	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000159023	EPB41	"4.1R, EL1"	"Erythrocyte membrane protein band 4.1"	P11171	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000044524	EPHA3	"ETK, ETK1, HEK, HEK4, TYRO4"	"EPH receptor A3"	P29320	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000133216	EPHB2	"DRT, EPHT3, ERK, Hek5, Tyro5"	"EPH receptor B2"	P29323	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000196411	EPHB4	"HTK, Tyro11"	"EPH receptor B4"	P54760	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000143819	EPHX1	EPHX	"Epoxide hydrolase 1"	P07099	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000112425	EPM2A	"LD, LDE"	"EPM2A, laforin glucan phosphatase"	O95278	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000121053	EPX	"EPO, EPP, EPX-PEN"	"Eosinophil peroxidase"	P11678	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000065361	ERBB3	"HER3, LCCS2"	"Erb-b2 receptor tyrosine kinase 3"	P21860	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
ENSG00000104884	ERCC2	"EM9, MAG, MGC102762, MGC126218, MGC126219, TFIIH, XPD"	"ERCC excision repair 2, TFIIH core complex helicase subunit"	P18074	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000163161	ERCC3	"BTF2, GTF2H, RAD25, TFIIH, XPB"	"ERCC excision repair 3, TFIIH core complex helicase subunit"	P19447	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000107566	ERLIN1	"C10orf69, Erlin-1, KE04, SPFH1, SPG62"	"ER lipid raft associated 1"	O75477	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000147475	ERLIN2	"C8orf2, Erlin-2, NET32, SPFH2, SPG18"	"ER lipid raft associated 2"	O94905	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000171503	ETFDH	ETFQO	"Electron transfer flavoprotein dehydrogenase"	Q16134	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000105755	ETHE1	"HSCO, YF13H12"	"ETHE1, persulfide dioxygenase"	O95571	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000182197	EXT1	"LGCR, LGS, ttv"	"Exostosin glycosyltransferase 1"	Q16394	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000151348	EXT2	SOTV	"Exostosin glycosyltransferase 2"	Q93063	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins"
ENSG00000012232	EXTL3	"botv, REGR"	"Exostosin like glycosyltransferase 3"	O43909	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000104313	EYA1	BOR	"EYA transcriptional coactivator and phosphatase 1"	Q99502	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000112319	EYA4	"CMD1J, DFNA10"	"EYA transcriptional coactivator and phosphatase 4"	O95677	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000106462	EZH2	"ENX-1, EZH1, KMT6, KMT6A"	"Enhancer of zeste 2 polycomb repressive complex 2 subunit"	Q15910	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000103876	FAH		"Fumarylacetoacetate hydrolase"	P16930	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000177706	FAM20C	"DKFZp547D065, DMP4, G-CK, IMAGE:4942737"	"FAM20C, golgi associated secretory pathway kinase"	Q8IXL6	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins"
ENSG00000198690	FAN1	"KIAA1018, MTMR15"	"FANCD2 and FANCI associated nuclease 1"	Q9Y2M0	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000115392	FANCL	"FAAP43, FLJ10335, PHF9, Pog"	"Fanconi anemia complementation group L"	Q9NW38	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000197601	FAR1	"FLJ22728, MLSTD2, SDR10E1"	"Fatty acyl-CoA reductase 1"	Q8WVX9	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000145982	FARS2	"dJ236A3.1, FARS1"	"Phenylalanyl-tRNA synthetase 2, mitochondrial"	O95363	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000165140	FBP1	FBP	"Fructose-bisphosphatase 1"	P09467	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000134452	FBXO18	"FBH1, Fbx18, FLJ14590"	"F-box protein, helicase, 18"	Q8NFZ0	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins"
ENSG00000161513	FDXR	ADXR	"Ferredoxin reductase"	P22570	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000066926	FECH		Ferrochelatase	P22830	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000182511	FES	FPS	"FES proto-oncogene, tyrosine kinase"	P07332	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000118972	FGF23		"Fibroblast growth factor 23"	Q9GZV9	"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted secreted proteins, RAS pathway related proteins, Transporters"
ENSG00000000938	FGR	"c-fgr, p55c-fgr, SRC2"	"FGR proto-oncogene, Src family tyrosine kinase"	P09769	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000091483	FH	fumarase	"Fumarate hydratase"	P07954	"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000189283	FHIT	"AP3Aase, FRA3B"	"Fragile histidine triad"	P49789	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000141756	FKBP10	"FKBP6, FLJ20683, FLJ22041, FLJ23833, hFKBP65"	"FK506 binding protein 10"	Q96AY3	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000106080	FKBP14	"FKBP22, FLJ20731"	"FK506 binding protein 14"	Q9NWM8	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000160688	FLAD1	"FAD1, PP591"	"Flavin adenine dinucleotide synthetase 1"	Q8NFF5	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000196924	FLNA	"ABP-280, FLN, FLN1, OPD1, OPD2"	"Filamin A"	P21333	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000136068	FLNB	"ABP-278, FH1, FLN1L, LRS1, TABP, TAP"	"Filamin B"	O75369	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000128591	FLNC	"ABP-280, ABPL, FLN2"	"Filamin C"	Q14315	"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000162769	FLVCR1	"AXPC1, FLVCR, MFSD7B, PCA"	"Feline leukemia virus subgroup C cellular receptor 1"	Q9Y5Y0	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000119686	FLVCR2	"C14orf58, FLJ20371, MFSD7C"	"Feline leukemia virus subgroup C cellular receptor family member 2"	Q9UPI3	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000007933	FMO3		"Flavin containing monooxygenase 3"	P31513	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
