Molecular Target	Entrez Gene Name	Enterez Gene Id	Drug name	Other drug name	Pubchem name	CID	SID	Interaction type	Mode of action	Clinical Trial ID(s)	Detail	Phase	Include this entry?	Comments
EGFR	EGFR	1956	Lapatinib	lapatinib ditosylate, Tykerb	Lapatinib	208908	N/A	inhibitor	HER2 and EGFR kinase inhibitor	NCT01245205	Advanced Solid Tumors A Phase I Study of MK-2206 in Combination With Lapatinib in Refractory Solid Tumors Followed by Dose-expansion in Advanced HER2+ Breast Cancer	I	1	
EGFR	EGFR	1956	Vandetanib	AZD6474, Zactima, ZD6474	Vandetanib	3081361	N/A	inhibitor	VEGFR, EGFR, and RET inhibitor	NCT01582191	Advanced cancers A Phase 1 Trial of Vandetanib (a Multi-kinase Inhibitor of EGFR, VEGFR and RET Inhibitor) in Combination With Everolimus (an mTOR Inhibitor) in Advanced Cancer	I	1	
EGFR	EGFR	1956	Panitumumab	ABX-EGF Monoclonal Antibody, ABX-EGF, Clone E7.6.3, Vectibix	AKOS004227608	50070211	N/A	inhibitor	EGFR inhibitor	NCT01296035	Metastatic, advanced, or recurrent platinum-resistant epithelial ovarian, primary peritoneal or fallopian tube cancer A Phase II Evaluation of Panitumumab and Gemcitabine as Treatment for Women With Recurrent Epithelial Ovarian Cancer.	II	1	
EphA2	EPHA2	1969	siRNA-EphA2-DOPC	N/A	N/A	N/A	N/A	inhibitor	EphA2 inhibitor	NCT01591356	Advanced ovarian cancer EphA2 Gene Targeting Using Neutral Liposomal Small Interfering RNA Delivery (IND# 72924): A Phase I Clinical Trial	I	1	
HER2	ERBB2	2064	Trastuzumab	Anti-erbB2 Monoclonal Antibody, HER2 Monoclonal Antibody, Herceptin	Trastuzumab	N/A	50067185	antagonist	HER2 antagonist	NCT01235897	Advanced HER2-overexpressing solid tumors A Phase Ib Dose-escalation Trial of the AKT Inhibitor MK2206 in Combination With Weekly Paclitaxel With or Without Trastuzumab	Ib	1	
HER2	ERBB3	2064	MGAH22	anti-HER2 mAb MGAH22, anti-HER2/c-erbB2 monoclonal antibody	MGAH22	N/A	160698529	antagonist	HER2 antagonist	NCT01148849	HER2 positive recurrent carcinoma A Phase 1, Dose Escalation Study of MGAH22 in Patients With Refractory HER2 Positive Breast Cancer and Patients With Other HER2 Positive Carcinomas for Whom No Standard Therapy Is Available	I	1	
ErbB3/HER3	ERBB3	2065	MM-121	SAR256212	CHEMBL2109402	N/A	160698530	inhibitor	ErbB3/Her3 inhibitor	NCT01209195	Locally advanced/metastatic or recurrent epithelial ovarian cancer A Study of MM-121 in Combination With Paclitaxel in Patients With Advanced Gynecologic and Breast Cancers	I	1	
ErbB3/HER3	ERBB3	2065	MM-121	SAR256212	CHEMBL2109402	N/A	160698530	inhibitor	ErbB3/Her3 inhibitor	NCT01436565	Advanced Cancer A Study of Investigational SAR256212 in Combination With SAR245408 in Patients With Solid Tumor Cancers	I	1	
HER2	ERBB4	2064	Pb-TCMC-Trastuzumab	N/A	N/A	N/A	N/A	radioimmunotherapy	HER2-targeted radioimmunotherapy	NCT01384253	HER2+ recurrent ovarian cancer Safety Study of Pb-TCMC-Trastuzumab Radio Immunotherapy	I	1	
HER2	ERBB5	2064	Lapatinib	lapatinib ditosylate, Tykerb	Lapatinib	208908	208908	inhibitor	HER2 and EGFR kinase inhibitor	NCT00313599	Advanced solid cancers A Phase I Dose Escalation Study of a 2 Day Oral Lapatinib Chemosensitization Pulse Given Prior To Weekly Intravenous Abraxane in Patients With Advanced Solid Tumors	I	1	
HER2	ERBB6	2064	Lapatinib	lapatinib ditosylate, Tykerb	Lapatinib	208908	208908	inhibitor	HER2 and EGFR kinase inhibitor	NCT01245205	Advanced Solid Tumors A Phase I Study of MK-2206 in Combination With Lapatinib in Refractory Solid Tumors Followed by Dose-expansion in Advanced HER2+ Breast Cancer	I	1	
ER	ESR1	2099	Endoxifen	z-Endoxifen	Endoxifen	10090750	N/A	antagonist	ER antagonist	NCT01273168	Ovarian cancer did not respond to conventional treatment Endoxifen in Adults With Hormone Receptor-Positive Solid Tumors	I	1	
Folate receptor 1	ESR1	2099	IMGN853	Anti-FOLR1-mab Maytansinoid Conjugate, M9346A-sulfo-SPDB-DM4	N/A	N/A	N/A	stabilizer	FOLR1-targeted microtubule stabilizer	NCT01609556	Advanced ovarian cancer A Phase 1, First-in-Human Study to Evaluate the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of IMGN853 in Adults With Ovarian Cancer and Other FOLR1-Positive Solid Tumors	I	1	
Folate receptor 1	ESR1	2099	Vintafolide	EC145, Folate-Vinca Alkaloid Conjugate EC145, MK-8109	EC145	71301286	N/A	inhibitor	Folate-targeted tubulin inhibitor	NCT01688791	Advanced Cancer A Phase I Dose Escalation Study Evaluating Vintafolide (MK-8109) Chemotherapy Combinations in Adult Subjects With Advanced Cancers	I	1	
ER	ESR1	2099	Tamoxifen	N/A	tamoxifen	2733526	N/A	antagonist	ER antagonist	NCT01685255	Biochemical recurrent epithelial ovarian cancer A RANDOMIZED, OPEN-LABEL, PHASE 2 STUDY OF THE IDO INHIBITOR INCB024360 VERSUS TAMOXIFEN FOR SUBJECTS WITH BIOCHEMICAL-RECURRENT-ONLY EPITHELIAL OVARIAN CANCER, PRIMARY PERITONEAL CARCINOMA, OR FALLOPIAN TUBE CANCER FOLLOWING COMPLETE REMISSION WITH FIRST-LINE CHEMOTHERAPY	II	1	
Folate receptor 1	ESR1	2099	Vintafolide	EC145, Folate-Vinca Alkaloid Conjugate EC145, MK-8109	EC145	71301286	N/A	inhibitor	Folate-targeted tubulin inhibitor	NCT01170650	primary or secondary platinum-resistant ovarian cancer Study for Women With Platinum Resistant Ovarian Cancer Evaluating EC145 in Combination With Doxil (PROCEED)	III	1	
FGFR	FGFR1	2260	Dovitinib	RTK inhibitor TKI258	Dovitinib	9886808	N/A	inhibitor	Multi-targeted RTK inhibitor	NCT01831726	Advanced Tumors With Mutations or Translocations of FGFR, PDGFR, VEGF, cKIT, FLT3, CSFR1, Trk and RET Dovitinib for Patients With Tumor Pathway Activations Inhibited by Dovitinib	I	1	
FGFR	FGFR1	2260	Nintedanib	BIBF 1120, Vargatef	Nintedanib	56843413	N/A	inhibitor	VEGFR, FGFR, PDGFR, and FLT3 inhibitor	NCT01485874	Platinum-resistant or refractory ovarian cancer A Phase I-II Clinical Trial of Pegylated Liposomal Doxorubicin (Doxil) in Combination With BIBF 1120 in Patients With Ovarian Cancer: Hoosier Oncology Group GYN10-149	I/II	1	
FGFR	FGFR1	2260	Nintedanib	BIBF 1120, Vargatef	Nintedanib	56843413	N/A	inhibitor	VEGFR, FGFR, PDGFR, and FLT3 inhibitor	NCT01669798	Bevacizumab resistant recurrent ovarian cancer Phase II Evaluation of BIBF 1120 in the Treatment of Bevacizumab-Resistant, Persistent, or Recurrent Epithelial Ovarian, Fallopian Tube, or Primary Peritoneal Carcinoma	II	1	
FGFR	FGFR1	2260	ENMD-2076	N/A	ENMD-2076	16041424	N/A	inhibitor	Aurora A and VEGFR/FGFR kinase inhibitor	NCT01914510	Ovarian Clear Cell Carcinoma Phase II Study of Oral ENMD-2076 Administered to Patients With Ovarian Clear Cell Carcinomas	II	1	
FGFR	FGFR2	2263	Dovitinib	RTK inhibitor TKI258	Dovitinib	9886808	N/A	inhibitor	Multi-targeted RTK inhibitor	NCT01831726	Advanced Tumors With Mutations or Translocations of FGFR, PDGFR, VEGF, cKIT, FLT3, CSFR1, Trk and RET Dovitinib for Patients With Tumor Pathway Activations Inhibited by Dovitinib	I	1	
FGFR	FGFR2	2263	Nintedanib	BIBF 1120, Vargatef	Nintedanib	56843413	N/A	inhibitor	VEGFR, FGFR, PDGFR, and FLT3 inhibitor	NCT01485874	Platinum-resistant or refractory ovarian cancer A Phase I-II Clinical Trial of Pegylated Liposomal Doxorubicin (Doxil) in Combination With BIBF 1120 in Patients With Ovarian Cancer: Hoosier Oncology Group GYN10-149	I/II	1	
FGFR	FGFR2	2263	Nintedanib	BIBF 1120, Vargatef	Nintedanib	56843413	N/A	inhibitor	VEGFR, FGFR, PDGFR, and FLT3 inhibitor	NCT01669798	Bevacizumab resistant recurrent ovarian cancer Phase II Evaluation of BIBF 1120 in the Treatment of Bevacizumab-Resistant, Persistent, or Recurrent Epithelial Ovarian, Fallopian Tube, or Primary Peritoneal Carcinoma	II	1	
FGFR	FGFR2	2263	ENMD-2076	N/A	ENMD-2076	16041424	N/A	inhibitor	Aurora A and VEGFR/FGFR kinase inhibitor	NCT01914510	Ovarian Clear Cell Carcinoma Phase II Study of Oral ENMD-2076 Administered to Patients With Ovarian Clear Cell Carcinomas	II	1	
FGFR	FGFR3	2261	Dovitinib	RTK inhibitor TKI258	Dovitinib	9886808	N/A	inhibitor	Multi-targeted RTK inhibitor	NCT01831726	Advanced Tumors With Mutations or Translocations of FGFR, PDGFR, VEGF, cKIT, FLT3, CSFR1, Trk and RET Dovitinib for Patients With Tumor Pathway Activations Inhibited by Dovitinib	I	1	
FGFR	FGFR3	2261	Nintedanib	BIBF 1120, Vargatef	Nintedanib	56843413	N/A	inhibitor	VEGFR, FGFR, PDGFR, and FLT3 inhibitor	NCT01485874	Platinum-resistant or refractory ovarian cancer A Phase I-II Clinical Trial of Pegylated Liposomal Doxorubicin (Doxil) in Combination With BIBF 1120 in Patients With Ovarian Cancer: Hoosier Oncology Group GYN10-149	I/II	1	
FGFR	FGFR3	2261	Nintedanib	BIBF 1120, Vargatef	Nintedanib	56843413	N/A	inhibitor	VEGFR, FGFR, PDGFR, and FLT3 inhibitor	NCT01669798	Bevacizumab resistant recurrent ovarian cancer Phase II Evaluation of BIBF 1120 in the Treatment of Bevacizumab-Resistant, Persistent, or Recurrent Epithelial Ovarian, Fallopian Tube, or Primary Peritoneal Carcinoma	II	1	
FGFR	FGFR3	2261	ENMD-2076	N/A	ENMD-2076	16041424	N/A	inhibitor	Aurora A and VEGFR/FGFR kinase inhibitor	NCT01914510	Ovarian Clear Cell Carcinoma Phase II Study of Oral ENMD-2076 Administered to Patients With Ovarian Clear Cell Carcinomas	II	1	
FGFR	FGFR4	2264	Dovitinib	RTK inhibitor TKI258	Dovitinib	9886808	N/A	inhibitor	Multi-targeted RTK inhibitor	NCT01831726	Advanced Tumors With Mutations or Translocations of FGFR, PDGFR, VEGF, cKIT, FLT3, CSFR1, Trk and RET Dovitinib for Patients With Tumor Pathway Activations Inhibited by Dovitinib	I	1	
FGFR	FGFR4	2264	Nintedanib	BIBF 1120, Vargatef	Nintedanib	56843413	N/A	inhibitor	VEGFR, FGFR, PDGFR, and FLT3 inhibitor	NCT01485874	Platinum-resistant or refractory ovarian cancer A Phase I-II Clinical Trial of Pegylated Liposomal Doxorubicin (Doxil) in Combination With BIBF 1120 in Patients With Ovarian Cancer: Hoosier Oncology Group GYN10-149	I/II	1	
FGFR	FGFR4	2264	Nintedanib	BIBF 1120, Vargatef	Nintedanib	56843413	N/A	inhibitor	VEGFR, FGFR, PDGFR, and FLT3 inhibitor	NCT01669798	Bevacizumab resistant recurrent ovarian cancer Phase II Evaluation of BIBF 1120 in the Treatment of Bevacizumab-Resistant, Persistent, or Recurrent Epithelial Ovarian, Fallopian Tube, or Primary Peritoneal Carcinoma	II	1	
FGFR	FGFR4	2264	ENMD-2076	N/A	ENMD-2076	16041424	N/A	inhibitor	Aurora A and VEGFR/FGFR kinase inhibitor	NCT01914510	Ovarian Clear Cell Carcinoma Phase II Study of Oral ENMD-2076 Administered to Patients With Ovarian Clear Cell Carcinomas	II	1	
FKBP-12	FKBP1A	2280	Everolimus	Afinitor, Certican, RAD001, Zortress	Everolimus	6442177	N/A	inhibitor	mTOR inhibitor	NCT00610948	Advanced solid tumors A Sequential Phase I Study Of The Combination Of Everolimus (Rad001) With 5-Fu/Lv (De Gramont), Folfox6, And Folfox6/Panitumumab In Patients With Refractory Solid Malignancies	I	1	
FKBP-12	FKBP1A	2280	Everolimus	Afinitor, Certican, RAD001, Zortress	Everolimus	6442177	N/A	inhibitor	mTOR inhibitor	NCT01087554	Advanced solid tumors A Phase I Trial of Sirolimus (mTOR Inhibitor) and Vorinostat (Histone Deacetylase Inhibitor) in Patients With Advanced Cancer	I	1	
FKBP-12	FKBP1A	2280	Everolimus	Afinitor, Certican, RAD001, Zortress	Everolimus	6442177	N/A	inhibitor	mTOR inhibitor	NCT01122199	Metastatic solid tumor refractory to standard therapies Phase I Study of mTOR Inhibitor RAD001 in Combination With IGF-1R Inhibitor AMG479 for Patients With Advanced Solid Tumors	I	1	
FKBP-12	FKBP1A	2280	Everolimus	Afinitor, Certican, RAD001, Zortress	Everolimus	6442177	N/A	inhibitor	mTOR inhibitor	NCT01281514	Platinum-sensitive ovarian cancer at first relapse PHASE I STUDY OF CARBOPLATIN, PEGYLATED LIPOSOMAL DOXORUBICIN (PLD) AND EVEROLIMUS IN PATIENTS WITH PLATINUM-SENSITIVE EPITHELIAL OVARIAN, FALLOPIAN TUBE OR PRIMARY PERITONEAL CANCER IN FIRST RELAPSE	I	1	
FKBP-12	FKBP1A	2280	Everolimus	Afinitor, Certican, RAD001, Zortress	Everolimus	6442177	N/A	inhibitor	mTOR inhibitor	NCT01482156	Advanced Cancer Dose Finding Study of RAD001 (Everolimus, Afinitor) in Combination With BEZ235 in Patients With Advanced Solid Tumors	I	1	
FKBP-12	FKBP1A	2280	Everolimus	Afinitor, Certican, RAD001, Zortress	Everolimus	6442177	N/A	inhibitor	mTOR inhibitor	NCT01582191	Advanced cancers A Phase 1 Trial of Vandetanib (a Multi-kinase Inhibitor of EGFR, VEGFR and RET Inhibitor) in Combination With Everolimus (an mTOR Inhibitor) in Advanced Cancer	I	1	
FKBP-12	FKBP1A	2280	Everolimus	Afinitor, Certican, RAD001, Zortress	Everolimus	6442177	N/A	inhibitor	mTOR inhibitor	NCT01596140	B-RAF mutated advanced solid tumors A Phase I Dose-Escalation Study of the BRAF Inhibitor Vemurafenib (Zelboraf) in Combination With an mTOR Inhibitor, Everolimus (Afinitor) or Temsirolimus (Torisel), in Subjects With Advanced Cancer	I	1	
FKBP-12	FKBP1A	2280	Everolimus	Afinitor, Certican, RAD001, Zortress	Everolimus	6442177	N/A	inhibitor	mTOR inhibitor	NCT01624766	Advanced cancers A Phase I Trial of Anakinra (IL-1 Receptor Antagonist) or Denosumab (Anti-RANKL Monoclonal Antibody) in Combination With Everolimus (mTOR Inhibitor) in Patients With Advanced Malignancies	I	1	
FKBP-12	FKBP1A	2280	Everolimus	Afinitor, Certican, RAD001, Zortress	Everolimus	6442177	N/A	inhibitor	mTOR inhibitor	NCT01031381	Recurrent epithelial ovarian carcinoma Study of RAD001 and Bevacizumab in Recurrent Ovarian, Peritoneal, and Fallopian Tube Cancer (RADBEV)	II	1	
VEGFR2	FLK1	3791	Sorafenib	BAY 43-9006, BAY 43-9006 tosylate salt, Nexavar	Sorafenib	216239	N/A	inhibitors	RAF, VEGFR2, and PDGFR-beta inhibitors	NCT01303341	Advanced solid tumors A Phase I Trial of Riluzole and Sorafenib in Patients With Advanced Solid Tumors and Melanoma	I	1	
VEGFR1, 2, 3	FLK1	3791	Cediranib	AZD2171, Cediranib maleate, Recentin	Cediranib	9933475	N/A	inhibitor	VEGFR inhibitor	NCT01364051	Melanoma (Skin); Unspecified Adult Solid Tumor, Protocol Specific Cediranib Maleate and Selumetinib in Treating Patients With Solid Malignancies	I	1	
VEGFR1, 2, 3	FLK1	3791	Pazopanib	Votrient	Pazopani	10113978	N/A	inhibitor	VEFGR, c-Kit, and PDGFR inhibitor	NCT01438554	Advanced Cancer Study Determining the Safety and Tolerability of Combination Therapy With Pazopanib and GSK1120212 in Advanced Solid Tumors Enriched With Patients With Advanced Differentiated Thyroid Cancer	I	1	
VEGFR	FLK1	3791	Vandetanib	AZD6474, Zactima, ZD6474	Vandetanib	3081361	N/A	inhibitor	VEGFR, EGFR, and RET inhibitor	NCT01582191	Advanced cancers A Phase 1 Trial of Vandetanib (a Multi-kinase Inhibitor of EGFR, VEGFR and RET Inhibitor) in Combination With Everolimus (an mTOR Inhibitor) in Advanced Cancer	I	1	
VEGFR1, 2, 3	FLK1	3791	Pazopanib	Votrient	Pazopani	10113978	N/A	inhibitor	VEFGR, c-Kit, and PDGFR inhibitor	NCT01639911	Advanced solid tumors Phase I Study of Aurora A Kinase Inhibitor (MLN8237) Given in Combination With Selective VEGFR Inhibitor Pazopanib (Votrient) for Therapy in Solid Tumors	I	1	
VEGFR1, 2, 3	FLK1	3791	Pazopanib	Votrient	Pazopani	10113978	N/A	inhibitor	VEFGR, c-Kit, and PDGFR inhibitor	NCT01639911	Advanced Solid Tumors Phase I Study of Aurora A Kinase Inhibitor (MLN8237) Given in Combination With Selective VEGFR Inhibitor Pazopanib (Votrient) for Therapy in Solid Tumors	I	1	
VEGFR	FLK1	3791	Dovitinib	RTK inhibitor TKI258	Dovitinib	9886808	N/A	inhibitor	Multi-targeted RTK inhibitor	NCT01831726	Advanced Tumors With Mutations or Translocations of FGFR, PDGFR, VEGF, cKIT, FLT3, CSFR1, Trk and RET Dovitinib for Patients With Tumor Pathway Activations Inhibited by Dovitinib	I	1	
VEGFR	FLK1	3791	Nintedanib	BIBF 1120, Vargatef	Nintedanib	56843413	N/A	inhibitor	VEGFR, FGFR, PDGFR, and FLT3 inhibitor	NCT01485874	Platinum-resistant or refractory ovarian cancer A Phase I-II Clinical Trial of Pegylated Liposomal Doxorubicin (Doxil) in Combination With BIBF 1120 in Patients With Ovarian Cancer: Hoosier Oncology Group GYN10-149	I/II	1	
VEGFR1, 2, 3	FLK1	3791	Pazopanib	Votrient	Pazopani	10113978	N/A	inhibitor	VEFGR, c-Kit, and PDGFR inhibitor	NCT01610206	Recurrent ovarian cancer A Randomized Open Label Phase II Study of Weekly Gemcitabine Plus Pazopanib Versus Weekly Gemcitabine Alone in the Treatment of Patients With Persistent or Relapsed Epithelial Ovarian, Fallopian Tube or Primary Peritoneal Carcinoma	II	1	
VEGFR	FLK1	3791	Nintedanib	BIBF 1120, Vargatef	Nintedanib	56843413	N/A	inhibitor	VEGFR, FGFR, PDGFR, and FLT3 inhibitor	NCT01669798	Bevacizumab resistant recurrent ovarian cancer Phase II Evaluation of BIBF 1120 in the Treatment of Bevacizumab-Resistant, Persistent, or Recurrent Epithelial Ovarian, Fallopian Tube, or Primary Peritoneal Carcinoma	II	1	
VEGFR2	FLK1	3791	Cabozantanib	Cabozantinib, Cometriq	Cabozantinib	25102847	N/A	inhibitor	RTK, HGFR, VEGFR2, KIT, Flt3, and Tie-2 inhibitor	NCT01716715	Recurrent epithelial ovarian cancer A RANDOMIZED PHASE II STUDY OF NCI SUPPLIED CABOZANTINIB (NSC #761968 IND #116059) VERSUS WEEKLY PACLITAXEL (NSC #673089) IN THE TREATMENT OF PERSISTENT OR RECURRENT EPITHELIAL OVARIAN, FALLOPIAN TUBE OR PRIMARY PERITONEAL CANCER	II	1	
VEGFR1, 2, 3	FLK1	3791	Tivozanib	AV-951	tivozanib	9911830	N/A	inhibitor	VEGFR inhibitor	NCT01853644	Recurrent, Platinum-Resistant Ovarian, Fallopian Tube or Primary Peritoneal Cancer The Efficacy and Safety of Tivozanib in Recurrent, Platinum-Resistant Ovarian, Fallopian Tube or Primary Peritoneal Cancer	II	1	
VEGFR	FLK1	3791	ENMD-2076	N/A	ENMD 2076	16041424	N/A	inhibitor	Aurora A and VEGFR/FGFR kinase inhibitor	NCT01914510	Ovarian Clear Cell Carcinoma Phase II Study of Oral ENMD-2076 Administered to Patients With Ovarian Clear Cell Carcinomas	II	1	
VEGFR1, 2, 3	FLT1	2321	Cediranib	AZD2171, Cediranib maleate, Recentin	Cediranib	9933475	N/A	inhibitor	VEGFR inhibitor	NCT01364051	Melanoma (Skin); Unspecified Adult Solid Tumor, Protocol Specific Cediranib Maleate and Selumetinib in Treating Patients With Solid Malignancies	I	1	
VEGFR1, 2, 3	FLT1	2321	Pazopanib	Votrient	Pazopani	10113978	N/A	inhibitor	VEFGR, c-Kit, and PDGFR inhibitor	NCT01438554	Advanced Cancer Study Determining the Safety and Tolerability of Combination Therapy With Pazopanib and GSK1120212 in Advanced Solid Tumors Enriched With Patients With Advanced Differentiated Thyroid Cancer	I	1	
VEGFR	FLT1	2321	Vandetanib	AZD6474, Zactima, ZD6474	Vandetanib	3081361	N/A	inhibitor	VEGFR, EGFR, and RET inhibitor	NCT01582191	Advanced cancers A Phase 1 Trial of Vandetanib (a Multi-kinase Inhibitor of EGFR, VEGFR and RET Inhibitor) in Combination With Everolimus (an mTOR Inhibitor) in Advanced Cancer	I	1	
VEGFR1, 2, 3	FLT1	2321	Pazopanib	Votrient	Pazopani	10113978	N/A	inhibitor	VEFGR, c-Kit, and PDGFR inhibitor	NCT01639911	Advanced solid tumors Phase I Study of Aurora A Kinase Inhibitor (MLN8237) Given in Combination With Selective VEGFR Inhibitor Pazopanib (Votrient) for Therapy in Solid Tumors	I	1	
VEGFR1, 2, 3	FLT1	2321	Pazopanib	Votrient	Pazopani	10113978	N/A	inhibitor	VEFGR, c-Kit, and PDGFR inhibitor	NCT01639911	Advanced Solid Tumors Phase I Study of Aurora A Kinase Inhibitor (MLN8237) Given in Combination With Selective VEGFR Inhibitor Pazopanib (Votrient) for Therapy in Solid Tumors	I	1	
VEGFR	FLT1	2321	Dovitinib	RTK inhibitor TKI258	Dovitinib	9886808	N/A	inhibitor	Multi-targeted RTK inhibitor	NCT01831726	Advanced Tumors With Mutations or Translocations of FGFR, PDGFR, VEGF, cKIT, FLT3, CSFR1, Trk and RET Dovitinib for Patients With Tumor Pathway Activations Inhibited by Dovitinib	I	1	
VEGFR	FLT1	2321	Nintedanib	BIBF 1120, Vargatef	Nintedanib	56843413	N/A	inhibitor	VEGFR, FGFR, PDGFR, and FLT3 inhibitor	NCT01485874	Platinum-resistant or refractory ovarian cancer A Phase I-II Clinical Trial of Pegylated Liposomal Doxorubicin (Doxil) in Combination With BIBF 1120 in Patients With Ovarian Cancer: Hoosier Oncology Group GYN10-149	I/II	1	
VEGFR1, 2, 3	FLT1	2321	Pazopanib	Votrient	Pazopani	10113978	N/A	inhibitor	VEFGR, c-Kit, and PDGFR inhibitor	NCT01610206	Recurrent ovarian cancer A Randomized Open Label Phase II Study of Weekly Gemcitabine Plus Pazopanib Versus Weekly Gemcitabine Alone in the Treatment of Patients With Persistent or Relapsed Epithelial Ovarian, Fallopian Tube or Primary Peritoneal Carcinoma	II	1	
VEGFR	FLT1	2321	Nintedanib	BIBF 1120, Vargatef	Nintedanib	56843413	N/A	inhibitor	VEGFR, FGFR, PDGFR, and FLT3 inhibitor	NCT01669798	Bevacizumab resistant recurrent ovarian cancer Phase II Evaluation of BIBF 1120 in the Treatment of Bevacizumab-Resistant, Persistent, or Recurrent Epithelial Ovarian, Fallopian Tube, or Primary Peritoneal Carcinoma	II	1	
VEGFR1, 2, 3	FLT1	2321	Tivozanib	AV-951	tivozanib	9911830	N/A	inhibitor	VEGFR inhibitor	NCT01853644	Recurrent, Platinum-Resistant Ovarian, Fallopian Tube or Primary Peritoneal Cancer The Efficacy and Safety of Tivozanib in Recurrent, Platinum-Resistant Ovarian, Fallopian Tube or Primary Peritoneal Cancer	II	1	
VEGFR	FLT1	2321	ENMD-2076	N/A	ENMD 2076	16041424	N/A	inhibitor	Aurora A and VEGFR/FGFR kinase inhibitor	NCT01914510	Ovarian Clear Cell Carcinoma Phase II Study of Oral ENMD-2076 Administered to Patients With Ovarian Clear Cell Carcinomas	II	1	
VEGFR1, 2, 3	FLT4	2324	Cediranib	AZD2171, Cediranib maleate, Recentin	Cediranib	9933475	N/A	inhibitor	VEGFR inhibitor	NCT01364051	Melanoma (Skin); Unspecified Adult Solid Tumor, Protocol Specific Cediranib Maleate and Selumetinib in Treating Patients With Solid Malignancies	I	1	
VEGFR1, 2, 3	FLT4	2324	Pazopanib	Votrient	Pazopani	10113978	N/A	inhibitor	VEFGR, c-Kit, and PDGFR inhibitor	NCT01438554	Advanced Cancer Study Determining the Safety and Tolerability of Combination Therapy With Pazopanib and GSK1120212 in Advanced Solid Tumors Enriched With Patients With Advanced Differentiated Thyroid Cancer	I	1	
VEGFR	FLT4	2324	Vandetanib	AZD6474, Zactima, ZD6474	Vandetanib	3081361	N/A	inhibitor	VEGFR, EGFR, and RET inhibitor	NCT01582191	Advanced cancers A Phase 1 Trial of Vandetanib (a Multi-kinase Inhibitor of EGFR, VEGFR and RET Inhibitor) in Combination With Everolimus (an mTOR Inhibitor) in Advanced Cancer	I	1	
VEGFR1, 2, 3	FLT4	2324	Pazopanib	Votrient	Pazopani	10113978	N/A	inhibitor	VEFGR, c-Kit, and PDGFR inhibitor	NCT01639911	Advanced solid tumors Phase I Study of Aurora A Kinase Inhibitor (MLN8237) Given in Combination With Selective VEGFR Inhibitor Pazopanib (Votrient) for Therapy in Solid Tumors	I	1	
VEGFR1, 2, 3	FLT4	2324	Pazopanib	Votrient	Pazopani	10113978	N/A	inhibitor	VEFGR, c-Kit, and PDGFR inhibitor	NCT01639911	Advanced Solid Tumors Phase I Study of Aurora A Kinase Inhibitor (MLN8237) Given in Combination With Selective VEGFR Inhibitor Pazopanib (Votrient) for Therapy in Solid Tumors	I	1	
VEGFR	FLT4	2324	Dovitinib	RTK inhibitor TKI258	Dovitinib	9886808	N/A	inhibitor	Multi-targeted RTK inhibitor	NCT01831726	Advanced Tumors With Mutations or Translocations of FGFR, PDGFR, VEGF, cKIT, FLT3, CSFR1, Trk and RET Dovitinib for Patients With Tumor Pathway Activations Inhibited by Dovitinib	I	1	
VEGFR	FLT4	2324	Nintedanib	BIBF 1120, Vargatef	Nintedanib	56843413	N/A	inhibitor	VEGFR, FGFR, PDGFR, and FLT3 inhibitor	NCT01485874	Platinum-resistant or refractory ovarian cancer A Phase I-II Clinical Trial of Pegylated Liposomal Doxorubicin (Doxil) in Combination With BIBF 1120 in Patients With Ovarian Cancer: Hoosier Oncology Group GYN10-149	I/II	1	
VEGFR1, 2, 3	FLT4	2324	Pazopanib	Votrient	Pazopani	10113978	N/A	inhibitor	VEFGR, c-Kit, and PDGFR inhibitor	NCT01610206	Recurrent ovarian cancer A Randomized Open Label Phase II Study of Weekly Gemcitabine Plus Pazopanib Versus Weekly Gemcitabine Alone in the Treatment of Patients With Persistent or Relapsed Epithelial Ovarian, Fallopian Tube or Primary Peritoneal Carcinoma	II	1	
VEGFR	FLT4	2324	Nintedanib	BIBF 1120, Vargatef	Nintedanib	56843413	N/A	inhibitor	VEGFR, FGFR, PDGFR, and FLT3 inhibitor	NCT01669798	Bevacizumab resistant recurrent ovarian cancer Phase II Evaluation of BIBF 1120 in the Treatment of Bevacizumab-Resistant, Persistent, or Recurrent Epithelial Ovarian, Fallopian Tube, or Primary Peritoneal Carcinoma	II	1	
VEGFR1, 2, 3	FLT4	2324	Tivozanib	AV-951	tivozanib	9911830	N/A	inhibitor	VEGFR inhibitor	NCT01853644	Recurrent, Platinum-Resistant Ovarian, Fallopian Tube or Primary Peritoneal Cancer The Efficacy and Safety of Tivozanib in Recurrent, Platinum-Resistant Ovarian, Fallopian Tube or Primary Peritoneal Cancer	II	1	
VEGFR	FLT4	2324	ENMD-2076	N/A	ENMD 2076	16041424	N/A	inhibitor	Aurora A and VEGFR/FGFR kinase inhibitor	NCT01914510	Ovarian Clear Cell Carcinoma Phase II Study of Oral ENMD-2076 Administered to Patients With Ovarian Clear Cell Carcinomas	II	1	
