entrez_id	entrez_gene_symbol	entrez_gene_synonyms	ensembl_ids
386665	AURKAPS2	STK6LP	
414157	C10orf62	bA548K23.1	ENSG00000203942
474305	BW32		
647024	C6orf132	bA7K24.2	ENSG00000188112
100507651	LOC100507651		
84659	RNASE7		ENSG00000165799
390059	OR51M1	HOR5'Beta7,OR11-40	ENSG00000184698
100500864	MIR3929		
440243	LOC440243		
7842	IGKJ@	IGKJ	
100874001	NCBP2-AS1		
13	AADAC	CES5A1,DAC	ENSG00000114771
9811	CTIF	Gm672,KIAA0427	ENSG00000134030
7942	TFEB	ALPHATFEB,BHLHE35,TCFEB	ENSG00000112561
83478	ARHGAP24	FILGAP,RC-GAP72,RCGAP72,p73,p73RhoGAP	ENSG00000138639
597	BCL2A1	ACC-1,ACC-2,BCL2L5,BFL1,GRS,HBPA1	ENSG00000140379
4372	MRX8		
100873530	RNA5SP277	RN5S277	
100431168	MYL6P2		
28936	IGKV1-22	A25,IGKV122	
554234	RPL36AP40	RPL36A_15_1127	
25884	CHRDL2	BNF1,CHL2,FKSG37	ENSG00000054938
442317	LOC442317		
100533705	SLC9B1P5		
100189084	TRNAR9		
32	ACACB	ACC2,ACCB,HACC275	ENSG00000076555
378818	RPL37P3	RL37P,RPL37_13_1720	
443	ASPA	ACY2,ASP	ENSG00000108381
5611	DNAJC3	ERdj6,HP58,P58,P58IPK,PRKRI	ENSG00000102580
392374	GAPDHP26		
7338	UBE3AP1		
388574	FLJ43681		
284611	FAM102B		ENSG00000162636
145945	LOC145945		
727826	RPS11P5	RPS11_3_1298	
51327	AHSP	EDRF,ERAF	ENSG00000169877
644093	LOC644093		
100271521	RPL39P33	RPL39_14_1560	
55876	GSDMB	GSDML,PRO2521	ENSG00000073605
29785	CYP2S1		ENSG00000167600
100130495	RPS12P26	RPS12_12_1461	
503519	LOC503519		
280657	SSX6	SSXP2,dJ54B20.1,psiSSX2	
144363	LYRM5		ENSG00000205707
100192308	DEL2Q31		
846	CASR	CAR,EIG8,FHH,FIH,GPRC2A,HHC,HHC1,NSHPT,PCAR1	ENSG00000036828
100873489	RNA5SP231	RN5S231	
387361	USP9YP34		
440047	LOC440047		
100422429	LOC100422429		
100861542	LINC00554		
100128406	AZFP		
3484	IGFBP1	AFBP,IBP1,IGF-BP25,PP12,hIGFBP-1	ENSG00000146678
100033408	VN2R20P		
442092	ARVP6125		
26994	RNF11	SID1669	ENSG00000123091
645233	LOC645233		
8550	MAPKAPK5	MAPKAP-K5,MK-5,MK5,PRAK	ENSG00000089022
1553	CYP2A13	CPAD,CYP2A,CYPIIA13	ENSG00000197838
100419791	LOC100419791		
100846978	LINC00506		
100420159	LOC100420159		
81888	HYI	HT036	ENSG00000178922
100188841	CRCS2		
55131	RBM28		ENSG00000106344
23539	SLC16A8	MCT3,REMP	ENSG00000100156
100288016	LOC100288016		
100189182	TRNAK19		
100422687	LOC100422687		
163351	GBP6		ENSG00000183347
26049	FAM169A		ENSG00000198780
160418	TMTC3	SMILE	ENSG00000139324
27121	DKK4	DKK-4	ENSG00000104371
100847083	MIR548AV		
649446	DLGAP1-AS1	HsT914	
399900	LOC399900		
134266	GRPEL2	Mt-GrpE#2	ENSG00000164284
4507	MTAP	BDMF,DMSFH,DMSMFH,LGMBF,MSAP,c86fus	ENSG00000099810
100271236	RPS21P5	RPS21_3_1008	
100216544	DNM1P47	DNM1DN14-3,DNM1DN14@	
2890	GRIA1	GLUH1,GLUR1,GLURA,GluA1,HBGR1	ENSG00000155511
100289561	LOC100289561		
317647	FLJ11857		
100873591	RNA5SP325	RN5S325	
100189044	TRNAE9		
135	ADORA2A	ADORA2,RDC8,hA2aR	ENSG00000128271
9597	SMAD5-AS1	DAMS,SMAD5AS,SMAD5OS	
100874119	TCEAL3-AS1		
64318	NOC3L	AD24,C10orf117,FAD24	ENSG00000173145
145	PARP1P2	ADPRTP2,PPOLP2	
56656	OR2S2	OR37A,OST715	ENSG00000122718
10419	PRMT5	HRMT1L5,IBP72,JBP1,SKB1,SKB1Hs	ENSG00000100462
2674	GFRA1	GDNFR,GDNFRA,GFR-ALPHA-1,RET1L,RETL1,TRNR1	ENSG00000151892
51359	ERVH-4	HERV-HD1,HSU88895	
4605	MYBL2	B-MYB,BMYB	ENSG00000101057
100188789	HPC6		
26095	PTPN20B	bA42B19.1	ENSG00000183675
100302652	GPR75-ASB3		ENSG00000115239
100462776	RRAGAP1	RRAGAP	
100101112	CDC14BL		
23154	NCDN		ENSG00000020129
100874016	SYNPR-AS1		
283229	EFCAB4A	CRACR2B	ENSG00000177685
51301	GCNT4	C2GNT3	ENSG00000176928
6919	TCEA2	TFIIS	ENSG00000171703
11129	CLASRP	CLASP,SFRS16,SWAP2	ENSG00000104859
6456	SH3GL2	CNSA2,EEN-B1,SH3D2A,SH3P4	ENSG00000107295
100270939	RPL17P13	RPL17_7_285	
391168	RPS3AP7	RPS3A_5_169	
100499441	NCRNA00291	C14orf25	
100131582	LOC100131582		
1015	CDH17	CDH16,HPT-1,HPT1	ENSG00000079112
976	CD97	TM7LN1	ENSG00000123146
100188952	IBD12		
126147	NTN5		ENSG00000142233
28610	TRBV5-5	TCRBV5S3A2T,TCRBV5S5,TRBV55	
406914	MIR127	MIRN127,miRNA127	
170685	NUDT10	APS2,DIPP3a,hDIPP3alpha	ENSG00000122824
100421029	LOC100421029		
645166	LOC645166		
100130719	UQCRBP2		
9378	NRXN1	Hs.22998,PTHSL2,SCZD17	ENSG00000179915
28579	TRBV12-1	TCRBV12S1,TCRBV8S4P,TRBV121	
100996507	LOC100996507		
100505841	LOC100505841		
51096	UTP18	CGI-48,WDR50	ENSG00000011260
100287136	LOC100287136		
54877	ZCCHC2	C18orf49	ENSG00000141664
645630	RPS13P8	RPS13_5_1432	
100873196	MTND5P6		
6328	SCN3A	NAC3,Nav1.3	ENSG00000153253
25794	FSCN2	RFSN,RP30	ENSG00000186765
149465	WDR65	VWS2	ENSG00000243710
202151	RANBP3L		ENSG00000164188
100170218	SNAR-C2		
51233	C22orf43		ENSG00000189269
100506142	LOC100506142		
100126339	MIR941-2	MIRN941-2	
6232	RPS27	MPS-1,MPS1,S27	ENSG00000177954
390044	OR51F4P		
120126	UBTFL2		
81138	OR7E101P		
170503	CDC42P1	bK3216D2.3	
2287	FKBP3	FKBP-25,FKBP-3,FKBP25,PPIase	ENSG00000100442
10521	DDX17	P72,RH70	ENSG00000100201
574469	MIR519B	MIRN519B	
100421782	LOC100421782		
100874316	OBSCN-IT1		
340217	NANOGP3		
100288563	HMGB3P23		
51495	PTPLAD1	B-IND1,HACD3,HSPC121	ENSG00000074696
25906	ANAPC15	APC15,C11orf51	ENSG00000110200
752014	CEMP1	CP-23,CP23	ENSG00000205923
401320	LOC401320		
642361	LOC642361		
54429	TAS2R5	T2R5	ENSG00000127366
8672	EIF4G3	eIF-4G 3,eIF4G 3,eIF4GII	ENSG00000075151
100287549	LOC100287549		
100271224	RPL7P43	RPL7_23_1260	
55701	ARHGEF40	SOLO	ENSG00000165801
100616279	MIR3974		
100419620	LOC100419620		
7485	WRB	CHD5	ENSG00000182093
168374	ZNF92	HPF12,HTF12,TF12	ENSG00000146757
9404	LPXN	LDPL	ENSG00000110031
124871	FLJ40194		
29124	LGALS13	GAL13,PLAC8,PP13	ENSG00000105198
84067	FAM160A2	C11orf56	ENSG00000051009
23263	MCF2L	ARHGEF14,DBS,OST	ENSG00000126217
730020	LOC730020		
378955	RBMY2JP		
100652999	LOC100652999		
11313	LYPLA2	APT-2,DJ886K2.4	ENSG00000011009
100287825	LOC100287825		
3945	LDHB	LDH-B,LDH-H,LDHBD,TRG-5	ENSG00000111716
4214	MAP3K1	MAPKKK1,MEKK,MEKK 1,MEKK1,SRXY6	ENSG00000095015
729870	LOC729870		
51426	POLK	DINB1,DINP,POLQ	ENSG00000122008
449017	BMIQ6		
6615	SNAI1	SLUGH2,SNA,SNAH,SNAIL,SNAIL1,dJ710H13.1	ENSG00000124216
56648	EIF5A2	EIF-5A2,eIF5AII	ENSG00000163577
51163	DBR1		ENSG00000138231
100271016	RPL37P11	RPL37_3_203	
6496	SIX3	HPE2	ENSG00000138083
100189193	TRNAN19		
57523	NYNRIN	CGIN1,KIAA1305	ENSG00000205978
100131066	LOC100131066		
137362	GOT1L1		ENSG00000169154
646817	SETP18		
100240733	IBD23		
280655	IGBP1P1	C14orf19	
100419727	ZNF736P10Y		
392617	ELFN1	PPP1R28	ENSG00000225968
767603	SNORD114-23	14q(II-23)	
360021	PPP1R12BP1	PPP1R12BP,PPP1R12BPY1	
9975	NR1D2	BD73,EAR-1R,RVR	ENSG00000174738
387646	LRRC37A6P		
10000	AKT3	PKB-GAMMA,PKBG,PRKBG,RAC-PK-gamma,RAC-gamma,STK-2	ENSG00000117020
387046	RPL8P1	RPL2p,RPL8P,dJ15D7.1	
6474	SHOX2	OG12,OG12X,SHOT	ENSG00000168779,ENSG00000258518
441687	TEX21P		
84304	NUDT22		ENSG00000149761
8945	BTRC	BETA-TRCP,FBW1A,FBXW1,FBXW1A,FWD1,bTrCP,bTrCP1,betaTrCP	ENSG00000166167
100048903	MCCD1P1		
148713	PTPRVP	ESP,OST-PTP,PTPRV	
390101	LOC390101		
80059	LRRTM4		ENSG00000176204
84226	C2orf16		ENSG00000221843
79877	DCAKD		ENSG00000172992
23321	TRIM2	RNF86	ENSG00000109654
100151668	RNU7-71P	U7.71	
391767	LOC391767		
9537	TP53I11	PIG11	ENSG00000175274
729490	NCOR1P2		
286077	FAM83H	AI3	ENSG00000180921
100873981	ANO1-AS1		
100189025	TRNAR6		
192131	GOLGA4P1		
100048912	CDKN2B-AS1	ANRIL,CDKN2B-AS,CDKN2BAS,NCRNA00089,p15AS	
100129650	RPS26P55	RPS26_30_1651	
54107	POLE3	CHARAC17,CHRAC17,YBL1,p17	ENSG00000148229
10752	CHL1	CALL,L1CAM2	ENSG00000134121
100131961	ST13P19		
100421204	LOC100421204		
11140	CDC37	P50CDC37	ENSG00000105401
84333	PCGF5	RNF159	ENSG00000180628
392382	RPL31P43	RPL31_21_1004	
23344	ESYT1	FAM62A,MBC2	ENSG00000139641
256536	TCERG1L		ENSG00000176769
54443	ANLN	Scraps,scra	ENSG00000011426
100874479	HMGN2P35		
100271083	RPS20P12	RPS20_4_337	
5049	PAFAH1B2		ENSG00000168092
100653274	LOC100653274		
79414	LRFN3	FIGLER1,SALM4	ENSG00000126243
23764	MAFF	U-MAF,hMafF	ENSG00000185022
360027	GOLGA6L14P		
100129831	LOC100129831		
57461	ISY1	FSAP33	ENSG00000240682
100874350	HOXB-AS2		
2072	ERCC4	ERCC11,RAD1,XPF	ENSG00000175595
644035	NONOP1		
100533938	LOC100533938		
100359400	DFNB83		
8094	SMAL		
100130368	SNRPGP4		
100190926	IBD19		
152078	C3orf55		ENSG00000174899
54482	TRMT13	CCDC76	ENSG00000122435
440730	TRIM67	TNL	ENSG00000119283
127068	OR2T34		ENSG00000183310
677828	SNORA47	HBI-115	
139599	MAGEE2	HCA3	ENSG00000186675
5805	PTS	PTPS	ENSG00000150787
5790	PTPRCAP	CD45-AP,LPAP	ENSG00000213402
100271722	LOC100271722		
653545	DUX4L5		ENSG00000259063
5330	PLCB2		ENSG00000137841
653399	GSTTP2		
780919	HRPT3		
6986	TRGVA	TCRGVA,V5P	
285300	LOC285300		
100421113	CROCCP4		
100422999	MIR4278		
221178	SPATA13	ARHGEF29,ASEF2	ENSG00000182957
10167	CFM1		
6829	SUPT5H	SPT5,SPT5H,Tat-CT1	ENSG00000196235
100873305	RNA5SP71	RN5S71	
134728	IRAK1BP1	AIP70,SIMPL	ENSG00000146243
629	CFB	AHUS4,BF,BFD,CFAB,FB,FBI12,GBG,H2-Bf,PBF2	ENSG00000243649
9024	BRSK2	C11orf7,PEN11B,SAD1,STK29	ENSG00000174672
146852	ODF4	CT134,CT136,OPPO1	ENSG00000184650
27087	B3GAT1	CD57,GLCATP,GLCUATP,HNK1,LEU7,NK-1,NK1	ENSG00000109956
100310855	LOC100310855		
60370	AVPI1	PP5395,RP11-548K23.7,VIP32,VIT32	ENSG00000119986
100422007	LOC100422007		
442676	CICP8		
3041	HBAP1		
27302	BMP10		ENSG00000163217
100996656	LOC100996656		
100189113	TRNAE14		
389641	LOC389641		
84268	RPAIN	HRIP,RIP	ENSG00000129197
55737	VPS35	MEM3,PARK17	ENSG00000069329
100420038	LOC100420038		
100421245	LOC100421245		
100420097	LOC100420097		
25994	HIGD1A	HIG1	ENSG00000181061
344178	RPL5P7	RPL5_2_294	
100188884	BMND11		
414351	LINC00229	C22orf10,NCRNA00229,dJ474I12.C22.2	
26275	HIBCH	HIBYLCOAH	ENSG00000198130
4888	NPY6R	NPY1RL,PP2,Y2B	
1697	DFNB5		
84188	FAR1	MLSTD2,SDR10E1	ENSG00000197601
100129405	MSTO2P	MSTO2	
157708	SEC11B	SEC11L2,SPCS4B	
100996353	LOC100996353		
341757	MRPS31P2		
100505878	LOC100505878		
284898	LOC284898		
100421693	LOC100421693		
646255	RPL19P16	RPL19_5_1105	
406952	MIR17	MIR17-5p,MIR91,MIRN17,MIRN91,hsa-mir-17,miR-17,miR17-3p,miRNA17,miRNA91	
646719	LOC646719		
644601	BIN2P2		
28864	IGKV1OR2-9	IGKV1/OR2-9,IGKV1OR29	
9301	SNORD27	RNU27,U27	
100996272	LOC100996272		
26682	OR4F4	OLA-7501,OR4F18	ENSG00000177693
474190	BP30		
9107	MTMR6		ENSG00000139505
142684	RAB40A	RAR2,RAR2A	ENSG00000172476
100996867	LOC100996867		
440353	LOC440353		
153020	RASGEF1B	GPIG4	ENSG00000138670
2246	FGF1	AFGF,ECGF,ECGF-beta,ECGFA,ECGFB,FGF-1,FGF-alpha,FGFA,GLIO703,HBGF-1,HBGF1	ENSG00000113578
406238	ALS7		
117166	WFIKKN1	C16orf12,RJD2,WFIKKN	ENSG00000127578
130500	CISD1P1	CISD1B,ZCD1B	
100420955	LOC100420955		
100049587	SIGLEC14		ENSG00000254415
7705	ZNF146	OZF	ENSG00000167635
100533712	LOC100533712		
284194	LGALS9B		ENSG00000170298
6202	RPS8	S8	ENSG00000142937
100505390	AAA2		
100422363	LOC100422363		
643837	LOC643837		
2157	F8	AHF,DXS1253E,F8B,F8C,FVIII,HEMA	ENSG00000185010
646588	LOC646588		
100128512	FXYD6P2		
642373	LOC642373		
100506498	LOC100506498		
4886	NPY1R	NPY1-R,NPYR	ENSG00000164128
100616449	MIR4725		
100129517	RPL26P23	RPL26_13_865	
100037264	STQTL6		
100629121	LOC100629121		
100422608	LOC100422608		
100133310	HMGB1P28		
767568	SNORD113-8	14q(I-8)	
124790	HEXIM2		ENSG00000168517
100313787	PIRC31		
29770	SDHDP4		
641695	LOC641695		
2363	FRA1D		
647859	LOC647859		
646505	LOC646505		
5910	RAP1GDS1	GDS1,SmgGDS	ENSG00000138698
84270	C9orf89	BinCARD,bA370F5.1	ENSG00000165233
100420116	LOC100420116		
26240	FAM50B	D6S2654E,X5L	ENSG00000145945
354	KLK3	APS,KLK2A1,PSA,hK3	ENSG00000142515
89941	RHOT2	ARHT2,C16orf39,MIRO-2,MIRO2,RASL	ENSG00000140983
729451	LOC729451		
81462	OR2L9P		
55236	UBA6	E1-L2,MOP-4,UBE1L2	ENSG00000033178
10915	TCERG1	CA150,TAF2S,Urn1	ENSG00000113649
442132	LOC442132		
391622	USP17L6P	DUB4,USP17L6,vDUB4	
79838	TMC5		ENSG00000103534
100507166	LOC100507166		
11065	UBE2C	UBCH10,dJ447F3.2	ENSG00000175063
574475	MIR526A1	MIRN526A-1,MIRN526A1	
401207	C5orf63	YDR286C	ENSG00000164241
400123	LINC00548		
50613	UBQLN3	TUP-1	ENSG00000175520
85452	KIAA1751		ENSG00000142609
8218	CLTCL1	CHC22,CLH22,CLTCL,CLTD	ENSG00000070371
100128361	LOC100128361		
222068	TMED4	ERS25,HNLF	ENSG00000158604
55025	FLJ20712		
100422142	LOC100422142		
83452	RAB33B		ENSG00000172007
100420043	LOC100420043		
100507124	HMGN1P25		
100421675	ARL2BPP9		
140895	HSPE1P1	HSPEP1,bA101E14.1	
6574	SLC20A1	GLVR1,Glvr-1,PIT1,PiT-1	ENSG00000144136
644223	RPL9P4	RPL9_9_1348	
347252	IGFBPL1	IGFBP-RP4,IGFBPRP4,bA113O24.1	ENSG00000137142
284685	LOC284685		
100287856	LOC100287856		
100873749	RNU6-34		
79576	NKAP		ENSG00000101882
100418715	SEPT7P4		
100996303	LOC100996303		
100038747	SCA29	ACV,CLA4	
7369	UMOD	ADMCKD2,FJHN,HNFJ,HNFJ1,MCKD2,THGP,THP	ENSG00000169344
6765	ST8	OVC,OVCS	
4251	MGC1	MGCN	
63977	PRDM15	C21orf83,PFM15,ZNF298	ENSG00000141956
4809	NHP2L1	15.5K,FA-1,FA1,NHPX,OTK27,SNRNP15-5,SNU13,SPAG12,SSFA1	ENSG00000100138
100996788	LOC100996788		
100873569	RNA5SP518	RN5S518	
51270	TFDP3	CT30,DP4,HCA661	ENSG00000183434
9733	SART3	DSAP1,P100,RP11-13G14,TIP110,p110,p110(nrb)	ENSG00000075856
3804	KIR2DL3	CD158B2,CD158b,GL183,KIR-023GB,KIR-K7b,KIR-K7c,KIRCL23,NKAT,NKAT2,NKAT2A,NKAT2B,p58	ENSG00000243772
100188814	RSTSS		
100422349	LOC100422349		
100420850	LOC100420850		
100653390	DFNB81		
79528	OR4R1P		
100506631	LOC100506631		
100526776	CSNK1A1P3		
388327	C17orf100		ENSG00000212734
79981	FRMD1	bA164L23.1	ENSG00000153303
55815	TSNAXIP1	TXI1	ENSG00000102904
400099	LOC400099		
730190	LOC730190		
28806	IGLV3-6	IGLV36,V2-4P	
9758	FRMPD4	PDZD10,PDZK10	ENSG00000169933
100313910	PIRC69		
91754	NEK9	NERCC,NERCC1,Nek8	ENSG00000119638
91689	C22orf32	DDDD,dJ186O1.1	ENSG00000183172
4254	KITLG	FPH2,KL-1,Kitl,MGF,SCF,SF,SHEP7	ENSG00000049130
285593	LOC285593		
100420788	LOC100420788		
84926	SPRYD3		ENSG00000167778
100189242	TRNAH8		
10365	KLF2	LKLF	ENSG00000127528
326336	SSXP1	psiSSX1	
391048	LOC391048		
100873351	MTND4P19		
100189177	TRNAC13		
4853	NOTCH2	AGS2,HJCYS,hN2	ENSG00000134250
389119	FAM212A	C3orf54,INKA1	ENSG00000185614
7955	STL		
100131829	LOC100131829		
100133177	LOC100133177		
28954	REM1	GD:REM,GES,REM	ENSG00000088320
4543	MTNR1A	MEL-1A-R,MT1	ENSG00000168412
10959	TMED2	P24A,RNP24,p24	ENSG00000086598
388650	FAM69A		ENSG00000154511
351143	MRPL50P1		
220441	RNF152		ENSG00000176641
5242	MRXS5	PGS	
26343	OR5E1P	HSTPCR24,OR5E1,TPCR24	
100616148	MIR4760		
1796	DOK1	P62DOK	ENSG00000115325
54862	CC2D1A	FREUD-1,Freud-1/Aki1,MRT3	ENSG00000132024
245908	DEFB105A	BD-5,DEFB-5,DEFB105	ENSG00000186562
100616322	MIR4682		
646483	RPL6P19	RPL6_14_853	
254439	C11orf86		ENSG00000173237
9553	MRPL33	C2orf1,L33mt,MRP-L33,RPL33L	ENSG00000243147
100189530	TRNAP28P		
727915	LOC727915		
93034	NT5C1B	AIRP,CN-IB,CN1B	ENSG00000185013
23546	SYNGR4		ENSG00000105467
100131241	LOC100131241		
553194	MYP9		
91768	CABLES1	CABL1,CABLES,HsT2563,IK3-1	ENSG00000134508
5878	RAB5C	L1880,RAB5CL,RAB5L,RABL	ENSG00000108774
100996392	LOC100996392		
440482	ANKRD20A5P	ANKRD20A5	
89857	KLHL6		ENSG00000172578
7226	TRPM2	EREG1,KNP3,LTRPC2,NUDT9H,NUDT9L1,TRPC7	ENSG00000142185
137868	SGCZ	ZSG1	ENSG00000185053
831	CAST	BS-17	ENSG00000153113
645998	RPL10AP5	RPL10A_2_189	
5013	OTX1		ENSG00000115507
139067	SPANXN3	CT11.8,SPANX-N3	ENSG00000189252
100132773	LOC100132773		
344697	HNRNPA1P21	HNRNPA1P	
29883	CNOT7	CAF1,hCAF-1	ENSG00000198791
8303	SNN		ENSG00000184602
100287212	LOC100287212		
83447	SLC25A31	AAC4,ANT4,SFEC35kDa	ENSG00000151475
100873492	RNA5SP234	RN5S234	
100419081	LOC100419081		
54676	GTPBP2		ENSG00000172432
9204	ZMYM6	Buster2,MYM,ZNF198L4,ZNF258	ENSG00000163867
100270957	RPL22P8	RPL22_4_256	
56257	MEPCE	BCDIN3	ENSG00000146834
1027	CDKN1B	CDKN4,KIP1,MEN1B,MEN4,P27KIP1	ENSG00000111276
81081	OR7A18P		
115584	SLC5A11	KST1,RKST1,SGLT6,SMIT2	ENSG00000158865
2757	GLYB		
158696	LOC158696		
440973	LOC440973		
642975	LOC642975		
387570	DUH		
7011	TEP1	TLP1,TP1,TROVE1,VAULT2,p240	ENSG00000129566
100873619	RNA5SP360	RN5S360	
406945	MIR153-2	MIRN153-2	
54433	GAR1	NOLA1	ENSG00000109534
90957	DHX57	DDX57	ENSG00000163214
100421943	CBX3P5		
6400	SEL1L	PRO1063,SEL1-LIKE,SEL1L1	ENSG00000071537
81243	OR52U1P		
387315	MTND2P1		
133874	C5orf58		ENSG00000234511
152663	RPL7AP27	RPL7A_11_540	
200132	TCTEX1D1	RP11-266I14.2	ENSG00000152760
11019	LIAS	LAS,LIP1,LS,PDHLD	ENSG00000121897
8438	RAD54L	HR54,RAD54A,hHR54,hRAD54	ENSG00000085999
100113404	LINC00583	C9orf146	
23181	DIP2A	C21orf106,DIP2	ENSG00000160305
400797	LINC00083	NCRNA00083	
100533661	LOC100533661		
100293516	ZNF587B		ENSG00000198466
7908	EOS		
646083	PA2G4P6	PA2G4L3	
100288203	LOC100288203		
643160	CYMP		
442164	DDX18P3		
64708	COPS7B	CSN7B	ENSG00000144524
56247	FMR3		
100874237	CACNA2D3-AS1		
100507386	LOC100507386		
100420172	LOC100420172		
100313896	MIR320D1	MIR320D-1,MIRN320D1	
100507672	LOC100507672		
170815	BMIQ1		
100616355	MIR4531		
10536	LEPREL2	GRCB,HSU47926,P3H3	ENSG00000110811
100127206	KIAA1024L		ENSG00000186367
1906	EDN1	ET1,HDLCQ7,PPET1	ENSG00000078401
100126095	SAX2	SATX2,SPAX2	
9245	GCNT3	C2/4GnT,C24GNT,C2GNT2,C2GNTM,GNTM	ENSG00000140297
3235	HOXD9	HOX4,HOX4C,Hox-4.3,Hox-5.2	ENSG00000128709
100874363	HOXC-AS1		
646688	RPL4P2	RPL4_1_115	
254295	PHYHD1		ENSG00000175287
100131785	LOC100131785		
100128136	LOC100128136		
654382	RPL19P2	RPL19_3_373	
8787	RGS9	PERRS,RGS9L	ENSG00000108370
100422371	RIMKLBP2		
391195	OR2T33	OR1-56	ENSG00000177212
4435	CITED1	MSG1	ENSG00000125931
100421267	LOC100421267		
100189305	TRNAC21		
646884	RPL29P28	RPL29_17_1307	
442160	RPL21P62	RPL21_23_656	
2327	FMO2	FMO1B1	ENSG00000094963
100873608	RNA5SP346	RN5S346	
56108	PCDHGA7	PCDH-GAMMA-A7	ENSG00000253537
100418683	LOC100418683		
359755	MRPS15P1		
100420476	SSR1P1		
6977	TRGV4	TCRGV4,V1S4	
100131821	LOC100131821		
51699	VPS29	DC15,PEP11	ENSG00000111237
728195	LOC728195		
90379	DCAF15	C19orf72	ENSG00000132017
4763	NF1	NFNS,VRNF,WSS	ENSG00000196712
100132057	LOC100132057		
253650	ANKRD18A		ENSG00000180071
100126509	TRNAQ-UUG		
349842	MRPS18CP4		
1432	MAPK14	CSBP,CSBP1,CSBP2,CSPB1,EXIP,Mxi2,PRKM14,PRKM15,RK,SAPK2A,p38,p38ALPHA	ENSG00000112062
84319	C3orf26		ENSG00000184220
100852393	MRT29		
100533722	LOC100533722		
284561	LOC284561		
8739	HRK	DP5,HARAKIRI	ENSG00000135116
5382	PMS2P4	PMS2L4,PMS6	
100270970	RPL27P9	RPL27_4_375	
100873452	RNA5SP190	RN5S190	
442911	MIR346	MIRN346,hsa-mir-346,miR-346,miRNA346	
6089	RNY4P3	hY4.F2	
79345	OR51B2	HOR5'Beta3,OR51B1P	ENSG00000184881
400684	LOC400684		
100996528	LOC100996528		
4425	MRX62		
677846	SNORA80	ACA67	
378706	RN7SL2	7L1C,7L30.1,7SL1c,RNSRP2	
100301525	DUH2		
400590	LOC400590		
100129118	LOC100129118		
100996838	LOC100996838		
317762	CCDC85C		ENSG00000205476
401492	FLJ41200		
2742	GLRA2	GLR	ENSG00000101958
100616479	MIR4635		
5909	RAP1GAP	RAP1GA1,RAP1GAP1,RAP1GAPII,RAPGAP	ENSG00000076864
2473	FRA22A		
56144	PCDHA4	CNR1,CNRN1,CRNR1,PCDH-ALPHA4	ENSG00000204967
503569	FLJ35946		
147808	ZNF784		ENSG00000179922
642585	VDAC1P1	VDAC1P	
2921	CXCL3	CINC-2b,GRO3,GROg,MIP-2b,MIP2B,SCYB3	ENSG00000163734
161502	C15orf26		ENSG00000156206
504190	OR8U9		
435	ASL	ASAL	ENSG00000126522
100421411	LOC100421411		
201140	DHRS7C	SDR32C2	ENSG00000184544
28895	IGKV1D-35	IGKV1D35,O6	
10652	YKT6		ENSG00000106636
345462	ZNF879	DKFZp686E2433	ENSG00000234284
442042	LOC442042		
51593	SRRT	ARS2,ASR2,serrate	ENSG00000087087
54541	DDIT4	Dig2,REDD-1,REDD1	ENSG00000168209
100130106	RPS23P7		
728730	LOC728730		
406978	MIR199B	MIRN199B,mir-199b	
100270709	FTH1P27		
100422934	MIR3143		
100527945	NDUFA12P1		
440297	LOC440297		
319090	OTSC6		
7772	ZNF229		ENSG00000167383
28449	IGHV3-13	IGHV313	
829	CAPZA1	CAPPA1,CAPZ,CAZ1	ENSG00000116489
100271197	RPL31P42	RPL31_13_966	
286382	LOC286382		
28660	TRAV23DV6	TCRAV17S1,TRAV23/DV6,hADV23S1	
644006	LOC644006		
26024	PTCD1		ENSG00000106246
55837	EAPP	BM036,C14orf11	ENSG00000129518
9383	TSIX	LINC00013,NCRNA00013,XIST-AS,XIST-AS1,XISTAS	
9047	SH2D2A	F2771,SCAP,TSAD,VRAP	ENSG00000027869
80267	EDEM3	C1orf22	ENSG00000116406
100421289	LOC100421289		
9179	AP4M1	CPSQ3,MU-4,MU-ARP2,SPG50	ENSG00000221838
85013	TMEM128		ENSG00000132406
730198	MEIS1-AS3		
646870	LOC646870		
145814	PGPEP1L		ENSG00000183571
10514	MYBBP1A	P160,PAP2	ENSG00000132382
100419702	LOC100419702		
100132363	LOC100132363		
100169951	SNAR-A3		
100418961	LOC100418961		
283485	LOC283485		
146198	ZFP90	NK10,ZNF756	ENSG00000184939
51475	CABP2		ENSG00000167791
100420438	LOC100420438		
4152	MBD1	CXXC3,PCM1,RFT	ENSG00000141644
100533900	LOC100533900		
11022	TDRKH	TDRD2	ENSG00000182134
5407	PNLIPRP1	PLRP1	ENSG00000187021
7757	ZNF208	PMIDP,ZNF95	ENSG00000160321
100292239	LOC100292239		
83873	GPR61	BALGR,GPCR3	ENSG00000156097
7386	UQCRFS1	RIP1,RIS1,RISP,UQCR5	ENSG00000169021
267009	RPS9P2	RPS9_3_1753,bA12M9.1	
9577	BRE	BRCC4,BRCC45	ENSG00000158019
100421846	LOC100421846		
100873975	CNTN4-AS1		
7036	TFR2	HFE3,TFRC2	ENSG00000106327
387521	TMEM189	KUA	ENSG00000240849
692234	SNORD103A	U103	
113277	TMEM106A		ENSG00000184988
643831	PDCL3P2		
100873625	RNA5SP366	RN5S366	
100500914	MIR3610		
100129775	LOC100129775		
