"compound_id","compound_name","gene_names","pubmed_id","ep_action_mode","activity_comment"
"CHEMBL483158","ALISERTIB","FRK","","","active"
"CHEMBL485832","GUANIDINONALTRINDOLE","EHMT2","","","Active"
"CHEMBL1517425","ACETOCHLOR","ALDH1A1","","","Active"
"CHEMBL354318","2,4-DINITRO-PHENYLAMINE","RORC","","","active"
"CHEMBL1201173","MEDRYSONE","NFE2L2","","","Active"
"CHEMBL418971","BISPHENOL A","NFE2L2","","","active"
"CHEMBL917","FLOXURIDINE","ABCC5","20930123","","Active"
"CHEMBL418068","RHEIN","HSP90AA1, HSP90AB1","","","Active"
"CHEMBL111654","2-MERCAPTOBENZOTHIAZOLE","IDO1","24262887","","Active"
"CHEMBL85139","RUTAECARPINE","NPC1","","","Active"
"CHEMBL234338","5,6,7,8,4'-PENTAHYDROXYFLAVONE","RAPGEF3","","","active"
"CHEMBL1287983","NSC-693571","ATXN2","","","active"
"CHEMBL56542","AG-528","EHMT2","","","Active"
"CHEMBL551842","LOBARIC ACID","SLC5A7","","","active"
"CHEMBL1669042","TERPESTACIN","UQCRB","21215626","","Active"
"CHEMBL88","CYCLOPHOSPHAMIDE","EHMT2","","","Active"
"CHEMBL270299","BAY-11-7085","ATXN2","","","active"
"CHEMBL1272","REPAGLINIDE","AR","","","active"
"CHEMBL1172911","NSC-127133","CDC25B","22524450","","Active"
"CHEMBL24828","VANDETANIB","FGFR1","","","active"
"CHEMBL497","CLIOQUINOL","TP53","","","Active"
"CHEMBL1173445","LARGAZOLE","HDAC6","21936551","","Active"
"CHEMBL2105318","OXABOLONE CIPIONATE","AR","","","active"
"CHEMBL577660","GNF-PF-5183","NFE2L2","","","active"
"CHEMBL1505471","LOMOFUNGIN","KDM4A","","","Active"
"CHEMBL520095","2,7-BIS[3-(PIPERAZINO)PROPIONAMIDO]ANTHRAQUINONE","TERT","18571928","","Active"
"CHEMBL572878","TOZASERTIB","PLK4","19035792","inhibition","Active"
"CHEMBL164449","5-NITROQUINOLINE","VDR","","","active"
"CHEMBL1084546","PF-562271","STK17A","","","active"
"CHEMBL107","COLCHICINE","TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8","24502232","","Active"
"CHEMBL1228","OXYPHENBUTAZONE","ATXN2","","","active"
"CHEMBL583912","(-)-EPICATECHIN","F2","","","Active"
"CHEMBL67535","AG-537","EHMT2","","","Active"
"CHEMBL9387","L-365260","CCKBR","20235611","","Active"
"CHEMBL157946","PD-123319","CYP2C9","","","Active"
"CHEMBL276711","SEMAXANIB","YES1","","","active"
"CHEMBL443462","DEMETHYLENCECALIN","HPGD","","","Active"
"CHEMBL600747","GNF-PF-3350","MAPT","","","Active"
"CHEMBL1790006","TOLONIUM CHLORIDE","ATM","","","Active"
"CHEMBL250450","ISOQUERCETIN","KDM4E","","","Active"
"CHEMBL211670","D-DOPA","BLM","","","Active"
"CHEMBL553503","NCG-C00094421-01","GALR3","","","active"
"CHEMBL31965","CANERTINIB","YES1","","","active"
"CHEMBL1084546","PF-562271","MAP2K2","","","active"
"CHEMBL463210","CHLORPYRIFOS","PLK1","","","active"
"CHEMBL871","ETIDRONIC ACID","CYP2C19","22931300","","Active"
"CHEMBL496","HEXACHLOROPHENE","TP53","","","active"
"CHEMBL1504679","DNDI1417156","CASP3","","","active"
"CHEMBL356918","ENILCONAZOLE","AR","","","active"
"CHEMBL261514","MESTANOLONE","AR","","","active"
"CHEMBL418068","RHEIN","RORC","","","active"
"CHEMBL418995","AMINEPTINE","JUN","","","active"
"CHEMBL1253830","ISOBONDUCELLIN","TERT","20813535","","Active"
"CHEMBL1201109","DESONIDE","AR","","","active"
"CHEMBL1201001","MECHLORETHAMINE HYDROCHLORIDE","TP53","","","Active"
"CHEMBL1608183","ISOFLUPREDONE ACETATE","NFE2L2","","","Active"
"CHEMBL601550","GNF-PF-4612","NFE2L2","","","active"
"CHEMBL1530911","DNDI1417457","IDH1","","","active"
"CHEMBL1170","TESTOSTERONE PROPIONATE","ESR1","","","active"
"CHEMBL517427","NILVADIPINE","AR","","","active"
"CHEMBL1029","MIGLUSTAT","GANAB","21292481","","Active"
"CHEMBL1981438","CLOFLUCARBAN","AR","","","active"
"CHEMBL316034","PYRIDINE-2,4-DICARBOXYLIC ACID","KDM4A","","","Active"
"CHEMBL497","CLIOQUINOL","NFE2L2","","","active"
"CHEMBL591628","SJ000014858","ALDH1A1","","","Active"
"CHEMBL1084546","PF-562271","GSK3A","","","active"
"CHEMBL2003658","NSC-279835","CDC25B","22524450","","Active"
"CHEMBL1464","WARFARIN","ALB","17560104","","Active"
"CHEMBL446452","ARUNDINE","MAPT","","","Active"
"CHEMBL2010872","CEP-11981","AKT1","22148921","","Active"
"CHEMBL601322","GNF-PF-4832","POLB","","","Active"
"CHEMBL278041","SB-202190","MAPK14","","","active"
"CHEMBL570176","KMN-21","OPRK1","19892550","","Active"
"CHEMBL591876","SJ000032154","TARDBP","","","active"
"CHEMBL6246","ELLAGIC ACID","SMAD3","","","Active"
"CHEMBL1740","RACEPINEPHRINE","POLK","","","active"
"CHEMBL574738","AST-487","NTRK3","","","active"
"CHEMBL1421","DASATINIB","MAP4K5","","","active"
"CHEMBL415324","TRANILAST","NPC1","","","Active"
"CHEMBL258756","N-(4-CARBOXYMETHENE)PHENYLPYRROLE","BAZ2B","","","active"
"CHEMBL127516","BUTAMBEN","CYP1A2","","","Active"
"CHEMBL531048","PHANQUONE","USP1","","","active"
"CHEMBL1368322","PARAROSANILINE","IDH1","","","active"
"CHEMBL1972216","DNDI1417478","AGTR1","","","Active"
"CHEMBL296411","TRISMETHOXYRESVERATROL","PRKCA","21880495","","Active"
"CHEMBL727","THIOGUANINE","IDH1","","","active"
"CHEMBL480","LANSOPRAZOLE","NPC1","","","Active"
"CHEMBL895","NALBUPHINE","CYP2D6","22931300","","Active"
"CHEMBL334255","CETYLPYRIDINIUM BROMIDE","PLA2G1B","","","active"
"CHEMBL509032","TAE-684","MAPK8","","","active"
"CHEMBL104","CLOTRIMAZOLE","CYP1A2","","","Active"
"CHEMBL1213480","(S)-FTY720P","S1PR1","19430484","","Active"
"CHEMBL111545","MRS-1523","DRD1","","","Active"
"CHEMBL514409","HESPERADIN","SLK","19035792","inhibition","Active"
"CHEMBL414890","PROTOAPIGENONE","CCNB1","","","Active"
"CHEMBL1441961","SOFALCONE","NFE2L2","","","active"
"CHEMBL475251","TAMATINIB","PRKACA","","","active"
"CHEMBL111","RIMONABANT","GMNN","","","active"
"CHEMBL1076347","TRICLOCARBAN","AR","","","active"
"CHEMBL1698","BUPROPION HYDROCHLORIDE","JUN","","","active"
"CHEMBL557555","CIPROFIBRATE","MPHOSPH8","","","Active"
"CHEMBL1620","DIPHENHYDRAMINE HYDROCHLORIDE","MAPK1","","","Active"
"CHEMBL8260","BAICALEIN","MAPT","","","Active"
"CHEMBL84685","2-AMINO-ANTHRAQUINONE","NFE2L2","","","active"
"CHEMBL269538","HARMINE","CLK1","22998443","","Active"
"CHEMBL533293","GNF-PF-1852","POLH","","","active"
"CHEMBL411","DIETHYLSTILBESTROL","RORC","","","active"
"CHEMBL1725279","SP-600125","PIM3","","","active"
"CHEMBL244948","DAPHNETIN","APEX1","","","Active"
"CHEMBL76904","TYRPHOSTIN 23","ALPL","","","Active"
"CHEMBL469424","ASTERRIC ACID","SUMO1","","","active"
"CHEMBL601757","GNF-PF-2272","ATAD5","","","Active"
"CHEMBL6966","VERAPAMIL","ABCB1","25686592","","Active"
"CHEMBL533226","TCMDC-123764","BAZ2B","","","Active"
"CHEMBL210208","PYROGALLOL RED","FASN","","","active"
"CHEMBL493863","TCMDC-123916","NTSR1","","","Active"
"CHEMBL90852","N-OXALYLGLYCINE ","KDM4A","19359167","","Active"
"CHEMBL1824581","SOPHORIDINE","TOP1","21807514","","Active"
"CHEMBL429095","NSC-95397","KDM4A","","","Active"
"CHEMBL93353","ARISTOLOCHIC ACID","NFE2L2","","","Active"
"CHEMBL932","DIPYRIDAMOLE","GMNN","","","active"
"CHEMBL161343","ARACHIDONOYL GLYCINE","HPGD","","","Active"
"CHEMBL533602","TCMDC-125544","IDH1","","","active"
"CHEMBL1222498","PROPANIL","CYP3A4","","","Active"
"CHEMBL574738","AST-487","PRKACA","","","active"
"CHEMBL323356","SB-204741","NPC1","","","Active"
"CHEMBL295416","PIRINIXIC ACID","PPARA","17228882","","Active"
"CHEMBL53898","AG-555","EHMT2","","","Active"
"CHEMBL583351","GNF-PF-4789","NFE2L2","","","active"
"CHEMBL21241","GW7647","POLH","","","active"
"CHEMBL1368146","HALAZONE","AR","","","active"
"CHEMBL527336","GNF-PF-4576","KDM4A","","","Active"
"CHEMBL275084","ISOBUTYLMETHYLXANTHINE","CYP3A4","","","Active"
"CHEMBL296586","KENPAULLONE","SMN1, SMN2","","","Active"
"CHEMBL579837","GNF-PF-1295","SMAD3","","","active"
"CHEMBL51931","9,10-PHENANTHRENEQUINONE","GALK1","","","Active"
"CHEMBL223228","EFAVIRENZ","ABCC1","17172311","","Active"
"CHEMBL459","METHYLDOPA","BAZ2B","","","Active"
"CHEMBL1586","BECLOMETHASONE","NFE2L2","","","Active"
"CHEMBL509523","IOXYNIL","NFE2L2","","","active"
"CHEMBL2059274","NSC-117023","CDC25B","22524450","","Active"
"CHEMBL171637","PHYSODIC ACID","POLK","","","active"
"CHEMBL428647","PACLITAXEL","TUBA1A, TUBA1B, TUBA1C, TUBA3C, TUBA3D, TUBA3E, TUBA4A, TUBB, TUBB1, TUBB2A, TUBB2B, TUBB3, TUBB4A, TUBB4B, TUBB6, TUBB8","23387901","","Active"
"CHEMBL153062","4-NONYLPHENOL","ESR1","","","active"
"CHEMBL223360","LINIFANIB","CSNK1G1","","","active"
"CHEMBL581152","TCMDC-125298","GMNN","","","active"
"CHEMBL97858","U-0124","VDR","","","active"
"CHEMBL1551165","IOPHENOXIC ACID","VDR","","","active"
"CHEMBL244888","NIFUROXAZIDE","NPSR1","","","Active"
"CHEMBL564085","TROLEANDOMYCIN","CYP2D6","22931300","","Active"
"CHEMBL1153","DIGOXIGENIN","SMAD3","","","active"
"CHEMBL76447","NOBILETIN","CYP3A4","","","Active"
"CHEMBL1481974","NSC-119915","HPGD","","","Active"
"CHEMBL716","QUETIAPINE","CYP3A4","","","Active"
"CHEMBL3402762","TEPOTINIB","MET","25736998","","Active"
"CHEMBL458328","5,8,11,14-EICOSATETRAYNOIC ACID","BLM","","","Active"
"CHEMBL84567","TRACAZOLATE","CYP2D6","","","Active"
"CHEMBL506247","TANNIC ACID","BAZ2B","","","Active"
"CHEMBL282042","SAQUINAVIR MESYLATE","AR","","","active"
"CHEMBL932","DIPYRIDAMOLE","BRCA1","","","Active"
"CHEMBL572878","TOZASERTIB","LTK","","","active"
"CHEMBL1201356","METHYLERGONOVINE","VDR","","","active"
"CHEMBL1797712","DIETHYL-2-TETRADECYLMALONATE","CREBBP","21292492","","Active"
"CHEMBL110094","MELITRACEN","USP1","","","active"
"CHEMBL600734","GNF-PF-1644","EHMT2","","","Active"
"CHEMBL576208","GNF-PF-5151","GMNN","","","active"
"CHEMBL1967878","CENISERTIB","MKNK2","","","active"
"CHEMBL43078","N-2-NAPHTHYLIMIDODICARBONIMIDIC DIAMIDE","BAZ2B","","","Active"
"CHEMBL49120","PD-0166285","PRKD3","","","active"
"CHEMBL17127","SCH-58261","HSD17B10","","","Active"
"CHEMBL72","DESIPRAMINE","THPO","","","Active"
"CHEMBL465980","ONONIN","TP53","","","active"
"CHEMBL297304","BENZO[D]ISOTHIAZOL-3-ONE","KDM4A","","","Active"
"CHEMBL21241","GW7647","CYP3A4","","","Active"
"CHEMBL142130","CYPROTERONE","CYP2D6","22931300","","Active"
"CHEMBL242341","FORMONONETIN","HSD17B10","","","Active"
"CHEMBL586135","TCMDC-123713","ATXN2","","","active"
"CHEMBL1440119","IRIGINOL HEXAACEATATE","KDM4E","","","Active"
"CHEMBL284328","HOMIDIUM BROMIDE","GLP1R","","","active"
"CHEMBL50894","ALSTERPAULLONE","SRC","","","active"
"CHEMBL602213","GNF-PF-3464","POLB","","","Active"
"CHEMBL59030","GW3965","NR1H2","18800767","","Active"
"CHEMBL129","ZIDOVUDINE","CYP2C9","22931300","","Active"
"CHEMBL572878","TOZASERTIB","AURKB","23808327","","Active"
"CHEMBL591630","SJ000002502","EHMT2","","","Active"
"CHEMBL7976","CHALCONE","VDR","","","active"
"CHEMBL66953","PURPUROGALLIN","WRN","","","active"
"CHEMBL1980391","RG-1530","ERBB4","","","active"
"CHEMBL88272","RS-17053","CYP3A4","","","Active"
"CHEMBL1520512","DEHYDROVARIABILIN","SMN1, SMN2","","","Active"
"CHEMBL460273","JNJ-1661010","ATAD5","","","Active"
"CHEMBL1751","DIGOXIN","GMNN","","","active"
"CHEMBL6966","VERAPAMIL","ABCB1","21856049","","Active"
"CHEMBL172064","E324","ALOX15","","","Active"
"CHEMBL458328","5,8,11,14-EICOSATETRAYNOIC ACID","KAT2A","","","Active"
"CHEMBL541887","IRINOTECAN HYDROCHLORIDE","AR","","","active"
"CHEMBL43","AMSACRINE","EHMT2","","","Active"
"CHEMBL189753","XCT790","USP1","","","active"
"CHEMBL587579","TCMDC-124685","IDH1","","","active"
"CHEMBL129795","ISOLIQUIRITIGENIN","IDH1","","","active"
"CHEMBL528807","TCMDC-125580","MAPT","","","Active"
"CHEMBL51","KETANSERIN","EHMT2","","","Active"
"CHEMBL493863","TCMDC-123916","MAPT","","","Active"
"CHEMBL600306","GNF-PF-3352","APOBEC3G","","","active"
"CHEMBL86754","IODOQUINOL","VDR","","","active"
"CHEMBL150","KAEMPFEROL","MAPT","","","Active"
"CHEMBL93","ZILEUTON","MMP2","24074025","","Active"
"CHEMBL92484","APTIGANEL","CYP2D6","","","Active"
"CHEMBL399043","THIOLACTOMYCIN","POLH","","","active"
"CHEMBL53463","DOXORUBICIN","TOP1","19053767","","Active"
"CHEMBL587923","TCMDC-124634","KCNH2","","","Active"
"CHEMBL64894","GENTIAN VIOLET","USP2","","","Active"
"CHEMBL253969","OSI-632","SRMS","","","active"
"CHEMBL1421","DASATINIB","ERBB2","","","active"
"CHEMBL1200586","PRILOCAINE HYDROCHLORIDE","ADRB2","","","Active"
"CHEMBL475251","TAMATINIB","LYN","","","active"
"CHEMBL531322","TCMDC-124544","MAPT","","","Active"
"CHEMBL1624","LEVOTHYROXINE","THRB","","","active"
"CHEMBL1425","MERCAPTOPURINE","CYP2C19","22931300","","Active"
"CHEMBL1224312","S-(4-CHLOROBENZYL)ISOTHIOUREA HCL","IDO1","20688518","","Active"
"CHEMBL188","WIN-552122","GLRA1","20346682","","Active"
"CHEMBL621","TRAZODONE","DRD1","","","Active"
"CHEMBL112302","SODIUM SELENITE","JUN","","","active"
"CHEMBL1334465","SB-408124","CYP2C19","","","Active"
"CHEMBL525098","TCMDC-123947","GMNN","","","active"
"CHEMBL56542","AG-528","BAZ2B","","","Active"
"CHEMBL454246","REDIOCIDE A","PRKCA","22650618","","Active"
"CHEMBL256087","MENTHOL","TRPM8","17293875","","Active"
"CHEMBL295337","PENT-1-ENE","NFE2L2","","","active"
"CHEMBL34412","LOMETREXOL","GART","22243528","","Active"
"CHEMBL210868","AURIN","IDH1","","","active"
"CHEMBL505670","NSC-228155","SMAD3","","","active"
"CHEMBL150","KAEMPFEROL","HSD17B10","","","Active"
"CHEMBL1694","BENAZEPRIL HYDROCHLORIDE","AR","","","active"
"CHEMBL491820","AMORFRUTIN A","PLK1","","","active"
"CHEMBL63440","ALOXISTATIN","ATXN2","","","active"
"CHEMBL105712","PHENACYL CHLORIDE","NFE2L2","","","active"
"CHEMBL311498","CIANIDANOL","FEN1","","","active"
"CHEMBL469424","ASTERRIC ACID","KDM4A","","","Active"
"CHEMBL537087","TCMDC-124062","KCNH2","","","Active"
"CHEMBL1171837","PONATINIB","YES1","","","active"
"CHEMBL191","LOSARTAN","AGTR1","16509571","","Active"
"CHEMBL275938","AURINTRICARBOXYLIC ACID","CBFB, RUNX1","","","active"
"CHEMBL1308677","DNDI1417484","RAB9A","","","Active"
"CHEMBL1200916","THIORIDAZINE HYDROCHLORIDE","RAD52","","","active"
"CHEMBL1082607","SALMETEROL XINAFOATE","IDH1","","","active"
"CHEMBL1484","NICARDIPINE","EHMT2","","","Active"
"CHEMBL1423","PIMOZIDE","AR","","","active"
"CHEMBL507361","PD-0325901","MAP2K1, MAP2K2","23398453","","Active"
"CHEMBL90568","DIOSMETIN","NFKB1, NFKB2, RELA","25190466","","Active"
"CHEMBL1967878","CENISERTIB","PAK1","","","active"
"CHEMBL379975","681640","KDR","","","active"
"CHEMBL18824","L-NOREPINEPHRINE","RECQL","","","Active"
"CHEMBL191003","JNJ-7706621","PRKD3","","","active"
"CHEMBL56393","AG-538","USP2","","","Active"
"CHEMBL269538","HARMINE","ALDH1A1","","","Active"
"CHEMBL283552","FLUOROSALAN","HTT","","","Active"
"CHEMBL582715","GNF-PF-3012","TP53","","","Active"
"CHEMBL29197","PD-153035","MAPK1","","","Active"
"CHEMBL210208","PYROGALLOL RED","MMP14","","","active"
"CHEMBL215152","AZD-1152-HQPA","MAP4K2","","","active"
"CHEMBL1980391","RG-1530","GSK3B","","","active"
"CHEMBL1486690","PYRONIN Y","WRN","","","active"
"CHEMBL1194287","CHLOROPYRAMINE","CYP2C19","","","Active"
"CHEMBL581880","GNF-PF-3286","ATAD5","","","Active"
"CHEMBL259784","CID 1540545","TP53","","","Active"
"CHEMBL1084643","PROSTAGLANDIN A2","ALDH1A1","","","Active"
"CHEMBL1115","PYRIDOSTIGMINE","CYP2D6","22931300","","Active"
"CHEMBL601400","SJ000072878","IDH1","","","active"
"CHEMBL1288013","NSC-24047","CYP1A2","","","Active"
"CHEMBL7463","GF-109203","RECQL","","","Active"
"CHEMBL1257030","LONIDAMINE","NFE2L2","","","active"
"CHEMBL1255647","CNQX DISODIUM","KDM4A","","","Active"
"CHEMBL36","PYRIMETHAMINE","HEXA","25984755","","Active"
"CHEMBL376408","ABT-737","BCL2L1","22386982","","Active"
"CHEMBL50894","ALSTERPAULLONE","CSNK1G1","","","active"
"CHEMBL39","SEROTONIN","EHMT2","","","Active"
"CHEMBL1287867","NSC-640566","NQO2","21074425","","Active"
"CHEMBL41092","CHRYSOPHANOL","NFE2L2","","","active"
"CHEMBL581194","TCMDC-123781","MAPK1","","","Active"
"CHEMBL304818","DOCEBENONE","BAZ2B","","","Active"
"CHEMBL2088301","8-(3-BROMOPHENOXYMETHYL)CAFFEINE","MAOA","22705191","","Active"
"CHEMBL512908","NSC-133896","CYP2C19","","","Active"
"CHEMBL274070","9-AMINOCAMPTOTHECIN","POLH","","","active"
"CHEMBL477936","NSC-74859","POLH","","","active"
"CHEMBL172513","CARNITINE","SLC22A5","21422191","","Active"
"CHEMBL508102","CARBIMAZOLE","CYP1A2","22931300","","Active"
"CHEMBL375781","NEOCUPROINE","IDH1","","","active"
"CHEMBL1351","CARBOPLATIN","HSD17B10","","","Active"
"CHEMBL22373","CL-976","USP1","","","active"
"CHEMBL130835","PIPERTRAMINE AMIDE","CHRM4","","","Active"
"CHEMBL547269","TCMDC-123598","KCNH2","","","Active"
"CHEMBL546475","TCMDC-124570","GMNN","","","active"
"CHEMBL8659","OLEIC ACID","PPARA","","","active"
"CHEMBL1255781","SB-203186","CYP2C9","","","Active"
"CHEMBL363648","TAK-715","SLK","","","active"
"CHEMBL477936","NSC-74859","POLK","","","active"
"CHEMBL1256984","GYKI-52895","EHMT2","","","Active"
"CHEMBL539904","CHLOROBENZILATE","AR","","","active"
"CHEMBL483206","NSC-36398","POLI","","","active"
"CHEMBL156263","SB-376719","YES1","","","active"
"CHEMBL548615","TCMDC-123868","BAZ2B","","","Active"
"CHEMBL220241","GSK-269962A","MARK2","","","active"
"CHEMBL1537417","DNDI1417181","ATAD5","","","Active"
"CHEMBL597246","GNF-PF-4097","TSHR","","","Active"
"CHEMBL43","AMSACRINE","TOP2A","17911018","","Active"
"CHEMBL29197","PD-153035","EGFR","20095624","","Active"
"CHEMBL482050","ALPHA,BETA-DEHYDROCURVULARIN","SMAD3","","","active"
"CHEMBL259084","MLN-8054","PAK1","","","active"
"CHEMBL265502","SURAMIN","USP2","","","Active"
"CHEMBL44657","ETOPOSIDE","TOP2A","","","Active"
"CHEMBL8260","BAICALEIN","KDM4E","","","Active"
"CHEMBL502775","NSC-119911","GAPDH","","","Active"
"CHEMBL1236602","4-IMIDAZOLEACRYLIC ACID","EHMT2","","","Active"
"CHEMBL601543","GNF-PF-1947","NLRP3","","","Active"
"CHEMBL510279","DIHYDROXANTHOHUMOL","SENP6","","","Active"
"CHEMBL1645462","AC-480","EGFR, ERBB2","19821562","","Active"
"CHEMBL324842","ROSMARINIC ACID","POLB","","","Active"
"CHEMBL1200906","OXYPHENONIUM BROMIDE","NFE2L2","","","Active"
"CHEMBL1981679","STROPHANTHIDIN ACETATE","SMAD3","","","active"
"CHEMBL79513","NSC-341622","TOP1","24502276","","Active"
"CHEMBL273386","2,4-DINITROPHENOL","GPR35","","","Active"
"CHEMBL1477383","NSC-116702","HSD17B10","","","Active"
"CHEMBL24944","TRIBROMSALAN","AR","","","active"
"CHEMBL1326877","DIOXYBENZONE","HIF1A","","","Active"
"CHEMBL475251","TAMATINIB","ERBB2","","","active"
"CHEMBL211471","NEOSTIGMINE METHYLSULFATE","NFE2L2","","","Active"
"CHEMBL1952329","SGI-1776","YES1","","","active"
"CHEMBL22077","HYCANTHONE","PPARD","","","active"
"CHEMBL588","FENOLDOPAM","RECQL","","","Active"
"CHEMBL601543","GNF-PF-1947","BAZ2B","","","Active"
"CHEMBL172350","EUPAFOLIN","POLB","","","Active"
"CHEMBL1519374","NSC-102742","KDM4E","","","Active"
"CHEMBL1593717","ICI-162846","CYP2D6","","","Active"
"CHEMBL1200383","BENZTROPINE MESYLATE","KCNH2","","","active"
"CHEMBL462861","1,2-DIPHENYLDISULFANE","MAPT","","","Active"
"CHEMBL522892","DOVITINIB","CLK4","","","active"
"CHEMBL16","PHENYTOIN","CYP2C19","22931300","","Active"
"CHEMBL514409","HESPERADIN","HCK","19035792","inhibition","Active"
"CHEMBL501562","DICARBONODITHIOIMIDIC DIAMIDE","HSPB1","","","active"
"CHEMBL116438","CURCUMIN","DNMT1","19112019","","Active"
"CHEMBL592588","SJ000027778","BAZ2B","","","Active"
"CHEMBL1605629","NSC-135810","EHMT2","","","Active"
"CHEMBL1082354","TENONITROZOLE","SLC5A7","","","active"
"CHEMBL1351","CARBOPLATIN","MAPT","","","Active"
"CHEMBL530280","TCMDC-123730","BLM","","","Active"
"CHEMBL2171793","3-HYDROXYEVODIAMINE","TOP1","22867019","","Active"
"CHEMBL964","DISULFIRAM","HSP90AA1","","","active"
"CHEMBL1084546","PF-562271","CDK5","","","active"
"CHEMBL1173445","LARGAZOLE","HDAC1","20491440","","Active"
"CHEMBL288376","PARAPLATIN","VDR","","","active"
"CHEMBL290914","EMODIC ACID","APEX1","","","Active"
"CHEMBL1740","RACEPINEPHRINE","DRD1","","","active"
"CHEMBL259615","CID2350207","RAB9A","","","Active"
"CHEMBL53898","AG-555","HPGD","","","Active"
"CHEMBL296586","KENPAULLONE","PLK4","","","active"
"CHEMBL8260","BAICALEIN","THRB","","","Active"
"CHEMBL428676","AMONAFIDE","TOP2A","17658777","","Active"
"CHEMBL1084546","PF-562271","EPHA2","","","active"
"CHEMBL164","MYRICETIN","POLH","","","active"
"CHEMBL105310","2',4'-DIHYDROXYCHALCONE","HPGD","","","Active"
"CHEMBL257991","SRT-1720","FEN1","","","active"
"CHEMBL812","PYRIDOSTIGMINE BROMIDE","AR","","","active"
"CHEMBL334255","CETYLPYRIDINIUM BROMIDE","ATG4B","","","Active"
"CHEMBL297453","EPIGALOCATECHIN GALLATE","MAPT","","","Active"
"CHEMBL223228","EFAVIRENZ","ABCC3","17172311","","Active"
"CHEMBL65","CAMPTOTHECIN","TOP1","24099994","","Active"
"CHEMBL509032","TAE-684","FLT1","","","active"
"CHEMBL1200347","ISOPROPAMIDE IODIDE","KDM4A","","","Active"
"CHEMBL43","AMSACRINE","CBX1","","","Active"
"CHEMBL38943","GW501516","PPARD","20403648","","Active"
"CHEMBL425","OLSALAZINE","KMT2A, MEN1","","","Active"
"CHEMBL71851","SCOPOLETIN","KAT2A","","","Active"
"CHEMBL2105059","MORNIFLUMATE","NFE2L2","","","active"
"CHEMBL429095","NSC-95397","PLK1","","","active"
"CHEMBL1534","RIBOFLAVIN","BRCA1","","","Active"
"CHEMBL482967","CYC-116","GSK3A","","","active"
"CHEMBL388676","CAPTAN","HPGD","","","Active"
"CHEMBL1256865","GR-89696","EHMT2","","","Active"
"CHEMBL1098875","8-FLUOROTRYPTANTHRIN","NFE2L2","","","Active"
"CHEMBL260213","CID 670282","RAB9A","","","Active"
"CHEMBL1442660","BUTINOLINE","JUN","","","active"
"CHEMBL1303948","DNDI1417195","RAB9A","","","Active"
"CHEMBL388979","1-BENZYLMALEIMIDE","NFE2L2","","","Active"
"CHEMBL605003","SU-6656","STAT6","","","Active"
"CHEMBL455368","ANACARDIC ACID","KAT2A","19099397","","Active"
"CHEMBL585622","MMV006513","BAZ2B","","","Active"
"CHEMBL614","PYRAZINAMIDE","CYP1A2","22931300","","Active"
"CHEMBL335741","BUTANE-2,3-DIONE MONOOXIME","CYP2D6","","","Active"
"CHEMBL180239","CURCUMIN PYRAZOLE","MMP9","19128977","","Active"
"CHEMBL278315","GELDANAMYCIN","HSP90AA1, HSP90AB1","25756299","","Active"
"CHEMBL34412","LOMETREXOL","FOLR1","20085328","","Active"
"CHEMBL1256752","FLUPIRTINE MALEATE","PLK1","","","active"
"CHEMBL81","RALOXIFENE","CYP3A4","21447734","","Active"
"CHEMBL1438439","IRIGENOL","CBFB, RUNX1","","","Active"
"CHEMBL1201022","PHENAZOPYRIDINE HYDROCHLORIDE","NR1H4","","","active"
"CHEMBL643","PROMETHAZINE","HTT","","","Active"
"CHEMBL1980391","RG-1530","KIT","","","active"
"CHEMBL461579","GNF-PF-254","SMAD3","","","active"
"CHEMBL53898","AG-555","HSP90AA1, HSP90AB1","","","Active"
"CHEMBL338474","HELENALIN","SMAD3","","","active"
"CHEMBL1412305","BENFLUOREX HYDROCHLORIDE","AR","","","active"
"CHEMBL1606022","SAPPANONE A TRIMETHYL ETHER","CYP3A4","","","Active"
"CHEMBL1230122","R-1487","PRKD2","","","active"
"CHEMBL1079460","LY-367265","CYP3A4","","","Active"
"CHEMBL305686","CORDYCEPIN","ADA","24283924","","Active"
"CHEMBL1256921","SB-206553","EHMT2","","","Active"
"CHEMBL1451216","NSC-9037","THRB","","","Active"
"CHEMBL341898","(R,S)-INDATRALINE","TP53","","","Active"
"CHEMBL530733","TCMDC-124059","CYP1A2","","","Active"
"CHEMBL66089","ABT-702","ATAD5","","","Active"
"CHEMBL354349","ACRIFLAVINE CHLORIDE","PLK1","","","active"
"CHEMBL1399124","SYROSINGOPINE","EHMT2","","","Active"
"CHEMBL415049","BARASERTIB","KIT","","","active"
"CHEMBL546797","TCMDC-125758","ROCK1","","","active"
"CHEMBL358043","HETEROCODEINE","ABCB1","18311899","","Active"
"CHEMBL69863","PICEATANNOL","KDM4A","","","Active"
"CHEMBL1117","IDARUBICIN","THRB","","","Active"
"CHEMBL786","TAMOXIFEN CITRATE","CYP2C19","","","Active"
"CHEMBL600738","GNF-PF-2755","BAZ2B","","","Active"
"CHEMBL33864","LIPOIC ACID, ALPHA","HSD17B10","","","Active"
"CHEMBL210208","PYROGALLOL RED","RAPGEF3","","","active"
