ensembl_id	ensembl_gene_symbol	ensembl_gene_biotype
ENSG00000251186	RP11-689P11.3	ANTISENSE
ENSG00000146072	TNFRSF21	PROTEIN_CODING
ENSG00000256301	AC138031.2	PSEUDOGENE
ENSG00000235372	ETF1P1	PSEUDOGENE
ENSG00000170606	HSPA4	PROTEIN_CODING
ENSG00000182326	C1S	PROTEIN_CODING
ENSG00000228254	HLA-DQB2	PROTEIN_CODING
ENSG00000169621	APLF	PROTEIN_CODING
ENSG00000166086	JAM3	PROTEIN_CODING
ENSG00000231501	MTND4LP1	PSEUDOGENE
ENSG00000199709	U4	SNRNA
ENSG00000264039	AC114296.1	MIRNA
ENSG00000176595	KBTBD11	PROTEIN_CODING
ENSG00000141543	EIF4A3	PROTEIN_CODING
ENSG00000235039	MTND6P12	PSEUDOGENE
ENSG00000266564	MIR4418	MIRNA
ENSG00000114127	XRN1	PROTEIN_CODING
ENSG00000235848	AC016689.1	ANTISENSE
ENSG00000253957	IGHV3-22	IG_V_PSEUDOGENE
ENSG00000198795	ZNF521	PROTEIN_CODING
ENSG00000169155	ZBTB43	PROTEIN_CODING
ENSG00000257899	RP11-125N22.3	PSEUDOGENE
ENSG00000261295	RP11-524D16__A.3	ANTISENSE
ENSG00000149635	OCSTAMP	PROTEIN_CODING
ENSG00000264429	MIR3183	MIRNA
ENSG00000199470	SNORA64	SNORNA
ENSG00000259370	RP11-1069G10.1	ANTISENSE
ENSG00000264593	METAZOA_SRP	MISC_RNA
ENSG00000228120	AP001631.10	PROTEIN_CODING
ENSG00000257869	CTD-2591A6.2	LINCRNA
ENSG00000130675	MNX1	PROTEIN_CODING
ENSG00000203305	AC010525.1	PSEUDOGENE
ENSG00000244274	DBNDD2	PROTEIN_CODING
ENSG00000100722	ZC3H14	PROTEIN_CODING
ENSG00000265739	RP11-354P11.3	ANTISENSE
ENSG00000236552	RPL13AP5	PSEUDOGENE
ENSG00000261558	CTD-2291D10.2	LINCRNA
ENSG00000189212	DPY19L2P1	PSEUDOGENE
ENSG00000249987	CTD-2632B17.2	PSEUDOGENE
ENSG00000226744	AC079781.5	PSEUDOGENE
ENSG00000227792	RP13-210D15.6	PSEUDOGENE
ENSG00000254892	RP11-334E6.4	PSEUDOGENE
ENSG00000238058	RP11-432J22.2	ANTISENSE
ENSG00000197099	RP11-573D15.8	ANTISENSE
ENSG00000204790	CBWD6	PROTEIN_CODING
ENSG00000266126	RP11-209D14.4	SENSE_INTRONIC
ENSG00000201579	U6	SNRNA
ENSG00000197576	HOXA4	PROTEIN_CODING
ENSG00000143155	TIPRL	PROTEIN_CODING
ENSG00000211681	IGLJ5	IG_J_GENE
ENSG00000231910	GAMTP2	PSEUDOGENE
ENSG00000262222	RP11-876N24.4	ANTISENSE
ENSG00000264087	RP11-138I1.1	ANTISENSE
ENSG00000232841	AC098592.8	PSEUDOGENE
ENSG00000225581	TRIM53AP	PSEUDOGENE
ENSG00000202261	SNORD115-44	SNORNA
ENSG00000184471	C1QTNF8	PROTEIN_CODING
ENSG00000201937	SNORD115-26	SNORNA
ENSG00000226837	HMGB1P32	PSEUDOGENE
ENSG00000254261	RP11-18A15.1	LINCRNA
ENSG00000231157	SUCLA2P1	PSEUDOGENE
ENSG00000144785	RP11-977G19.10	PROTEIN_CODING
ENSG00000125538	IL1B	PROTEIN_CODING
ENSG00000256258	RP11-495K9.9	LINCRNA
ENSG00000255113	OR4A48P	PSEUDOGENE
ENSG00000243721	RP11-472I20.1	PSEUDOGENE
ENSG00000235994	RP3-470B24.5	ANTISENSE
ENSG00000243701	RP11-446H18.3	LINCRNA
ENSG00000158691	ZSCAN12	PROTEIN_CODING
ENSG00000255280	CTD-2530H12.5	PSEUDOGENE
ENSG00000215952	MIR921	MIRNA
ENSG00000119446	RBM18	PROTEIN_CODING
ENSG00000251840	7SK	MISC_RNA
ENSG00000260552	RP11-49I11.1	ANTISENSE
ENSG00000254708	RP1-145M24.1	PSEUDOGENE
ENSG00000257860	RP11-552I14.1	PROTEIN_CODING
ENSG00000188991	SLC15A5	PROTEIN_CODING
ENSG00000240739	RP11-69M1.1	PSEUDOGENE
ENSG00000249875	RP11-51M24.1	LINCRNA
ENSG00000213335	CLNS1AP1	PSEUDOGENE
ENSG00000115290	GRB14	PROTEIN_CODING
ENSG00000259158	ADAM20P1	LINCRNA
ENSG00000254184	TYW1B	PSEUDOGENE
ENSG00000234402	ELK2BP	PSEUDOGENE
ENSG00000226172	RP4-712E4.1	LINCRNA
ENSG00000236859	AC018737.1	LINCRNA
ENSG00000147677	EIF3H	PROTEIN_CODING
ENSG00000172940	SLC22A13	PROTEIN_CODING
ENSG00000241316	RP11-81N13.1	LINCRNA
ENSG00000250657	RP11-1E6.1	LINCRNA
ENSG00000157593	SLC35B2	PROTEIN_CODING
ENSG00000200406	SNORD114-23	SNORNA
ENSG00000199577	U6	SNRNA
ENSG00000215790	SLC35E2	PROTEIN_CODING
ENSG00000115514	TXNDC9	PROTEIN_CODING
ENSG00000240627	CTD-2312P21.1	PSEUDOGENE
ENSG00000264410	AL121931.1	MIRNA
ENSG00000231173	AC116609.3	LINCRNA
ENSG00000261374	RP11-64K12.10	SENSE_OVERLAPPING
ENSG00000131018	SYNE1	PROTEIN_CODING
ENSG00000102359	SRPX2	PROTEIN_CODING
ENSG00000264985	RP11-449L23.2	ANTISENSE
ENSG00000260852	FBXL19-AS1	ANTISENSE
ENSG00000265984	RP11-699A5.2	PROCESSED_TRANSCRIPT
ENSG00000260515	CTD-2199O4.3	LINCRNA
ENSG00000181218	HIST3H2A	PROTEIN_CODING
ENSG00000164743	C8ORF48	PROTEIN_CODING
ENSG00000172476	RAB40A	PROTEIN_CODING
ENSG00000263816	MIR548AW	MIRNA
ENSG00000172070	SRXN1	PROTEIN_CODING
ENSG00000231752	EMBP1	PSEUDOGENE
ENSG00000207727	MIR612	MIRNA
ENSG00000207422	U6	SNRNA
ENSG00000241661	PPP1R2P6	PSEUDOGENE
ENSG00000263414	MIR3187	MIRNA
ENSG00000266117	LOC732538	PSEUDOGENE
ENSG00000134748	PRPF38A	PROTEIN_CODING
ENSG00000254788	CKLF-CMTM1	PROTEIN_CODING
ENSG00000232062	HLA-DQA1	PROTEIN_CODING
ENSG00000266837	Z97055.1	MIRNA
ENSG00000250392	RP11-700N1.1	PROCESSED_TRANSCRIPT
ENSG00000237675	RP11-118H17.1	ANTISENSE
ENSG00000262907	KIF5C	PROTEIN_CODING
ENSG00000239465	RP11-330L19.2	PSEUDOGENE
ENSG00000206932	U6	SNRNA
ENSG00000207215	U3	SNORNA
ENSG00000211579	MIR759	MIRNA
ENSG00000215159	RP11-629N8.3	ANTISENSE
ENSG00000224968	RP1-35C21.1	LINCRNA
ENSG00000196267	ZNF836	PROTEIN_CODING
ENSG00000204248	COL11A2	PROTEIN_CODING
ENSG00000260444	RP11-483E23.7	PSEUDOGENE
ENSG00000231132	RP11-40C11.2	ANTISENSE
ENSG00000205810	KLRC3	PROTEIN_CODING
ENSG00000205971	AC074389.6	PROTEIN_CODING
ENSG00000228865	RP11-463P17.3	ANTISENSE
ENSG00000186635	ARAP1	PROTEIN_CODING
ENSG00000258818	RNASE4	PROTEIN_CODING
ENSG00000229771	RP4-644L1.2	LINCRNA
ENSG00000242727	RP11-123J14.1	PSEUDOGENE
ENSG00000234039	RP6-145B8.2	PSEUDOGENE
ENSG00000234948	RP4-723E3.1	PROCESSED_TRANSCRIPT
ENSG00000249956	RP11-790I12.2	PSEUDOGENE
ENSG00000197322	C17ORF102	PROTEIN_CODING
ENSG00000227495	AC109333.10	ANTISENSE
ENSG00000243040	RBMY2FP	PSEUDOGENE
ENSG00000148584	A1CF	PROTEIN_CODING
ENSG00000259885	SH2B2	PROTEIN_CODING
ENSG00000254753	RP11-480O10.1	LINCRNA
ENSG00000221443	AC017083.3	MIRNA
ENSG00000264746	AC004552.1	MIRNA
ENSG00000115380	EFEMP1	PROTEIN_CODING
ENSG00000227005	AC011718.3	LINCRNA
ENSG00000224865	AC009518.5	LINCRNA
ENSG00000261429	RP11-249C24.3	PSEUDOGENE
ENSG00000240189	METAZOA_SRP	MISC_RNA
ENSG00000221489	AC007358.1	MIRNA
ENSG00000214278	CTD-2228K2.2	PSEUDOGENE
ENSG00000158077	NLRP14	PROTEIN_CODING
ENSG00000266809	RP11-449D8.3	PSEUDOGENE
ENSG00000204007	GLT6D1	PROTEIN_CODING
ENSG00000249731	RP11-259O2.3	LINCRNA
ENSG00000164669	INTS4L1	PSEUDOGENE
ENSG00000134333	LDHA	PROTEIN_CODING
ENSG00000262663	RP11-497H17.1	NON_CODING
ENSG00000258071	ARL2BPP2	PSEUDOGENE
ENSG00000242629	RP11-89C21.2	PROCESSED_TRANSCRIPT
ENSG00000126460	PRRG2	PROTEIN_CODING
ENSG00000234611	OR2AT2P	PSEUDOGENE
ENSG00000255963	PPIAL4A	PROTEIN_CODING
ENSG00000202560	MIR539	MIRNA
ENSG00000232116	RP11-187C18.2	LINCRNA
ENSG00000149131	SERPING1	PROTEIN_CODING
ENSG00000224378	MICB	PROTEIN_CODING
ENSG00000260660	RP11-69H7.2	ANTISENSE
ENSG00000251906	U6	SNRNA
ENSG00000248485	PCP4L1	PROTEIN_CODING
ENSG00000186094	AGBL4	PROTEIN_CODING
ENSG00000232719	RP11-13J8.1	LINCRNA
ENSG00000235626	RP11-441F11.1	PSEUDOGENE
ENSG00000250775	RP11-12K22.1	LINCRNA
ENSG00000228643	AC079779.4	PROCESSED_TRANSCRIPT
ENSG00000232832	LMLN-AS1	ANTISENSE
ENSG00000200175	U6	SNRNA
ENSG00000241015	CTD-2224J9.2	PSEUDOGENE
ENSG00000139505	MTMR6	PROTEIN_CODING
ENSG00000225981	AC102953.4	ANTISENSE
ENSG00000231787	RP11-370B6.1	PSEUDOGENE
ENSG00000244740	RP11-463H24.1	PSEUDOGENE
ENSG00000214894	LINC00243	LINCRNA
ENSG00000227036	LINC00511	LINCRNA
ENSG00000212022	AC080032.1	MIRNA
ENSG00000264060	MIR4316	MIRNA
ENSG00000243758	RP11-535A15.1	PSEUDOGENE
ENSG00000149948	HMGA2	PROTEIN_CODING
ENSG00000234952	RP11-328K15.1	LINCRNA
ENSG00000248990	RP11-960D24.1	LINCRNA
ENSG00000188365	AC092171.2	ANTISENSE
ENSG00000149532	CPSF7	PROTEIN_CODING
ENSG00000238056	PRRT1	PROTEIN_CODING
ENSG00000229727	AC013460.1	LINCRNA
ENSG00000207265	Y_RNA	MISC_RNA
ENSG00000100150	DEPDC5	PROTEIN_CODING
ENSG00000264090	MIR4666B	MIRNA
ENSG00000240707	RP13-137A17.6	LINCRNA
ENSG00000256392	RP11-347I19.3	PROCESSED_TRANSCRIPT
ENSG00000156931	VPS8	PROTEIN_CODING
ENSG00000224514	AC093611.1	ANTISENSE
ENSG00000173218	VANGL1	PROTEIN_CODING
ENSG00000224547	AC023669.2	PSEUDOGENE
ENSG00000217120	RP1-76C18.1	PSEUDOGENE
ENSG00000125084	WNT1	PROTEIN_CODING
ENSG00000259363	CTD-2054N24.2	PROTEIN_CODING
ENSG00000196116	TDRD7	PROTEIN_CODING
ENSG00000229743	AC018730.3	ANTISENSE
ENSG00000207595	MIR181A2	MIRNA
ENSG00000216306	KRT19P2	PSEUDOGENE
ENSG00000197816	C9ORF174	PROTEIN_CODING
ENSG00000223282	7SK	MISC_RNA
ENSG00000227307	RP11-95I16.2	LINCRNA
ENSG00000177469	PTRF	PROTEIN_CODING
ENSG00000196683	TOMM7	PROTEIN_CODING
ENSG00000212542	RN5S496	RRNA
ENSG00000169047	IRS1	PROTEIN_CODING
ENSG00000254270	ERHP1	PSEUDOGENE
ENSG00000172116	CD8B	PROTEIN_CODING
ENSG00000100162	CENPM	PROTEIN_CODING
ENSG00000106399	RPA3	PROTEIN_CODING
ENSG00000258644	RP11-718G2.3	PROCESSED_TRANSCRIPT
ENSG00000223075	7SK	MISC_RNA
ENSG00000108785	HSD17B1P1	PROTEIN_CODING
ENSG00000185252	ZNF74	PROTEIN_CODING
ENSG00000074211	PPP2R2C	PROTEIN_CODING
ENSG00000169905	TOR1AIP2	PROTEIN_CODING
ENSG00000161010	C5ORF45	PROTEIN_CODING
ENSG00000207956	MIR579	MIRNA
ENSG00000259346	RP11-349G13.2	PSEUDOGENE
ENSG00000253512	CTC-535M15.1	PSEUDOGENE
ENSG00000163625	WDFY3	PROTEIN_CODING
ENSG00000254230	RP11-582J16.3	ANTISENSE
ENSG00000229225	AL162400.1	LINCRNA
ENSG00000254150	RP11-379I19.2	PSEUDOGENE
ENSG00000231667	OR7E111P	PSEUDOGENE
ENSG00000253053	7SK	MISC_RNA
ENSG00000226103	C6ORF47	PROTEIN_CODING
ENSG00000220391	HCG4P6	PSEUDOGENE
ENSG00000240370	RPL13P5	PSEUDOGENE
ENSG00000198088	NUP62CL	PROTEIN_CODING
ENSG00000172969	FRG2C	PROTEIN_CODING
ENSG00000259620	RP11-133L19.1	ANTISENSE
ENSG00000215457	RPS8P3	PSEUDOGENE
ENSG00000228858	RP11-95K23.5	ANTISENSE
ENSG00000007171	NOS2	PROTEIN_CODING
ENSG00000232272	XXBAC-BCX196D17.5	PROCESSED_TRANSCRIPT
ENSG00000211900	IGHJ6	IG_J_GENE
ENSG00000107816	LZTS2	PROTEIN_CODING
ENSG00000255508	MIR3654	PROTEIN_CODING
ENSG00000241975	TCEB1P19	PSEUDOGENE
ENSG00000199200	Y_RNA	MISC_RNA
ENSG00000091947	TMEM101	PROTEIN_CODING
ENSG00000252350	RNASEP_NUC	MISC_RNA
ENSG00000167523	C16ORF55	PROTEIN_CODING
ENSG00000258388	XXBAC-BPG300A18.12	PROTEIN_CODING
ENSG00000196937	FAM3C	PROTEIN_CODING
ENSG00000257506	RP11-231C14.5	PSEUDOGENE
ENSG00000138604	GLCE	PROTEIN_CODING
ENSG00000112146	FBXO9	PROTEIN_CODING
ENSG00000236189	RPL18AP15	PSEUDOGENE
ENSG00000201778	Y_RNA	MISC_RNA
ENSG00000215771	LRRC37A14P	PSEUDOGENE
ENSG00000102760	RGCC	PROTEIN_CODING
ENSG00000221020	AC107993.1	MIRNA
ENSG00000201142	U1	SNRNA
ENSG00000001461	NIPAL3	PROTEIN_CODING
ENSG00000227083	L29074.3	ANTISENSE
ENSG00000197901	SLC22A6	PROTEIN_CODING
ENSG00000146143	PRIM2	PROCESSED_TRANSCRIPT
ENSG00000186268	OR10D4P	PSEUDOGENE
ENSG00000178932	AC087289.1	PROTEIN_CODING
ENSG00000214754	AC004870.5	PSEUDOGENE
ENSG00000231702	RP11-54O7.10	PSEUDOGENE
ENSG00000262489	RRAS2	PROTEIN_CODING
ENSG00000206857	U6	SNRNA
ENSG00000205544	C17ORF61	PROTEIN_CODING
ENSG00000250173	RP11-661C8.3	PROTEIN_CODING
ENSG00000207080	Y_RNA	MISC_RNA
ENSG00000263729	RP11-746M1.8	PSEUDOGENE
ENSG00000228561	RP11-114M1.1	LINCRNA
ENSG00000136238	RAC1	PROTEIN_CODING
ENSG00000164816	DEFA5	PROTEIN_CODING
ENSG00000238871	SNOU13	SNORNA
ENSG00000236619	HCG9P5	PSEUDOGENE
ENSG00000185028	LRRC14B	PROTEIN_CODING
ENSG00000232240	RP5-1125M8.3	PSEUDOGENE
ENSG00000176438	SYNE3	PROTEIN_CODING
ENSG00000266179	RP11-1113L8.6	PSEUDOGENE
ENSG00000239991	RP11-889D3.1	LINCRNA
ENSG00000223279	RNU4-5P	SNRNA
ENSG00000252582	SNORA31	SNORNA
ENSG00000250231	RP11-1286E23.11	PSEUDOGENE
ENSG00000235232	MRPS18BP2	PSEUDOGENE
ENSG00000248608	RP11-206P5.2	PSEUDOGENE
ENSG00000257565	AC217770.2	PSEUDOGENE
ENSG00000232855	AF131217.1	LINCRNA
ENSG00000233333	RP11-472F19.2	PSEUDOGENE
ENSG00000220132	AF238380.8	PSEUDOGENE
ENSG00000224412	RP11-351O1.3	PSEUDOGENE
ENSG00000199337	RN5S3	RRNA
ENSG00000165475	CRYL1	PROTEIN_CODING
ENSG00000231927	AC102953.6	ANTISENSE
ENSG00000151224	MAT1A	PROTEIN_CODING
ENSG00000224089	CT47A10	PROTEIN_CODING
ENSG00000183653	GRIK1-AS2	PROTEIN_CODING
ENSG00000237434	RP11-15P13.1	PSEUDOGENE
ENSG00000226183	RANP7	PSEUDOGENE
ENSG00000265592	METAZOA_SRP	MISC_RNA
ENSG00000231113	RP3-475N16.1	ANTISENSE
ENSG00000260643	RP11-303E16.8	PROCESSED_TRANSCRIPT
ENSG00000200686	RNY3P3	MISC_RNA
ENSG00000249233	ZNF154	PROCESSED_TRANSCRIPT
ENSG00000251574	RP11-6N13.1	LINCRNA
ENSG00000232654	FAM136BP	PSEUDOGENE
ENSG00000125484	GTF3C4	PROTEIN_CODING
ENSG00000244253	AC005205.2	PSEUDOGENE
ENSG00000254244	PAICSP4	PSEUDOGENE
ENSG00000247473	CARS-AS1	ANTISENSE
ENSG00000128000	ZNF780B	PROTEIN_CODING
ENSG00000088356	PDRG1	PROTEIN_CODING
ENSG00000235761	RP11-293G6__B.2	PSEUDOGENE
ENSG00000236930	RP11-852E15.1	PSEUDOGENE
ENSG00000229262	RP4-726N1.2	ANTISENSE
ENSG00000155367	PPM1J	PROTEIN_CODING
ENSG00000257576	RP11-153M3.1	PSEUDOGENE
ENSG00000226133	RP4-683M8.2	LINCRNA
ENSG00000111860	CEP85L	PROTEIN_CODING
ENSG00000227868	RP4-805N21.1	PROTEIN_CODING
ENSG00000178719	GRINA	PROTEIN_CODING
ENSG00000262629	LENG1	PROTEIN_CODING
ENSG00000259400	ELMO2P1	PSEUDOGENE
ENSG00000254391	CTC-529G1.1	ANTISENSE
ENSG00000179909	ZNF154	PROTEIN_CODING
ENSG00000215388	ACTG1P3	PSEUDOGENE
ENSG00000196659	TTC30B	PROTEIN_CODING
ENSG00000179855	GIPC3	PROTEIN_CODING
ENSG00000264430	RP11-495P10.5	LINCRNA
ENSG00000213352	GAPDHP44	PSEUDOGENE
ENSG00000238502	SNOU13	SNORNA
ENSG00000171105	INSR	PROTEIN_CODING
ENSG00000199509	RN5S477	RRNA
ENSG00000118257	NRP2	PROTEIN_CODING
ENSG00000251572	AF213884.1	PSEUDOGENE
ENSG00000204121	ECEL1P2	PSEUDOGENE
ENSG00000183597	C22ORF25	PROTEIN_CODING
ENSG00000223460	GAPDHP69	PSEUDOGENE
ENSG00000237016	AC013410.1	PSEUDOGENE
ENSG00000106006	HOXA6	PROTEIN_CODING
ENSG00000166736	HTR3A	PROTEIN_CODING
ENSG00000106013	ANKRD7	PROTEIN_CODING
ENSG00000260771	RP1-39J2.1	LINCRNA
ENSG00000167083	GNGT2	PROTEIN_CODING
ENSG00000258804	RP11-322L20.1	PROTEIN_CODING
ENSG00000227403	AC009299.3	LINCRNA
ENSG00000164120	HPGD	PROTEIN_CODING
ENSG00000126010	GRPR	PROTEIN_CODING
ENSG00000083842	ZNF8	PROTEIN_CODING
ENSG00000138395	CDK15	PROTEIN_CODING
ENSG00000105696	TMEM59L	PROTEIN_CODING
ENSG00000236227	BRD2	PROTEIN_CODING
ENSG00000236533	AC009413.2	PSEUDOGENE
ENSG00000163738	MTHFD2L	PROTEIN_CODING
ENSG00000124383	MPHOSPH10	PROTEIN_CODING
ENSG00000251112	RP11-419C19.3	PSEUDOGENE
ENSG00000259231	CTD-2014N11.2	PSEUDOGENE
ENSG00000212994	RPS26P6	PSEUDOGENE
ENSG00000233491	AC010091.1	PROCESSED_TRANSCRIPT
ENSG00000252936	RN5S423	RRNA
ENSG00000204941	PSG5	PROTEIN_CODING
ENSG00000245662	RP11-184E9.1	LINCRNA
ENSG00000223892	HCG4P3	PSEUDOGENE
ENSG00000205302	SNX2	PROTEIN_CODING
ENSG00000259599	CTD-2647L4.3	3PRIME_OVERLAPPING_NCRNA
ENSG00000256902	RP11-986G18.1	PSEUDOGENE
ENSG00000143398	PIP5K1A	PROTEIN_CODING
ENSG00000232230	RP11-316M21.8	PSEUDOGENE
ENSG00000229414	KCNQ1-AS1	PROCESSED_TRANSCRIPT
ENSG00000236247	RP11-292B8.2	PSEUDOGENE
ENSG00000202336	U6	SNRNA
ENSG00000261873	RP11-515E23.1	LINCRNA
ENSG00000225174	OSTM1-AS1	LINCRNA
ENSG00000235561	HCG19P	PSEUDOGENE
ENSG00000255452	RP11-107P7.1	PSEUDOGENE
ENSG00000248338	RP11-472K22.2	LINCRNA
ENSG00000257539	RP3-473L9.3	PSEUDOGENE
ENSG00000263996	METAZOA_SRP	MISC_RNA
ENSG00000217631	RP1-142O9.2	PSEUDOGENE
ENSG00000257649	RP11-845M18.8	PSEUDOGENE
ENSG00000230051	CTA-929C8.8	LINCRNA
ENSG00000223388	AC091736.11	ANTISENSE
ENSG00000154727	GABPA	PROTEIN_CODING
ENSG00000154263	ABCA10	PROTEIN_CODING
ENSG00000229536	AC079776.1	LINCRNA
ENSG00000251923	U6	SNRNA
ENSG00000204990	RP5-842K16.1	LINCRNA
ENSG00000227972	PRKRIRP3	PSEUDOGENE
ENSG00000262295	SBDSP1	PSEUDOGENE
ENSG00000233178	RP11-88I18.2	ANTISENSE
ENSG00000226767	RP11-328P23.3	PSEUDOGENE
ENSG00000112419	PHACTR2	PROTEIN_CODING
ENSG00000236660	FAM90A7P	PSEUDOGENE
ENSG00000262455	RP1-232L24.4	PSEUDOGENE
ENSG00000231635	ATP5BP1	PSEUDOGENE
ENSG00000199566	SNORA64	SNORNA
ENSG00000253315	CTB-11I22.2	LINCRNA
ENSG00000260617	RP5-1142A6.7	ANTISENSE
ENSG00000201623	U6	SNRNA
ENSG00000257531	RP3-405J10.2	PSEUDOGENE
ENSG00000214035	AC073310.4	PSEUDOGENE
ENSG00000168246	UBTD2	PROTEIN_CODING
ENSG00000254076	CTD-3145H4.1	PSEUDOGENE
ENSG00000265807	AL592188.7	MIRNA
ENSG00000167531	LALBA	PROTEIN_CODING
ENSG00000126895	AVPR2	PROTEIN_CODING
ENSG00000077943	ITGA8	PROTEIN_CODING
ENSG00000227259	HMGN2P22	PSEUDOGENE
ENSG00000254224	KB-1043D8.6	ANTISENSE
ENSG00000260241	TRBV11-2	LINCRNA
ENSG00000204283	AC015804.1	PROTEIN_CODING
ENSG00000102181	CD99L2	PROTEIN_CODING
ENSG00000223274	RN5S498	RRNA
ENSG00000197747	S100A10	PROTEIN_CODING
ENSG00000212414	SNORD77	SNORNA
ENSG00000253818	IGLV1-41	IG_V_PSEUDOGENE
ENSG00000051382	PIK3CB	PROTEIN_CODING
ENSG00000260971	RP11-504A18.1	LINCRNA
ENSG00000242315	METAZOA_SRP	MISC_RNA
ENSG00000263444	AC108004.1	MIRNA
ENSG00000184083	FAM120C	PROTEIN_CODING
ENSG00000205334	AC074091.13	PROTEIN_CODING
ENSG00000104131	EIF3J	PROTEIN_CODING
ENSG00000108666	C17ORF75	PROTEIN_CODING
ENSG00000259593	RP11-640I2.1	PSEUDOGENE
ENSG00000252196	AL590482.1	MIRNA
ENSG00000266151	MIR3646	MIRNA
ENSG00000247629	RP11-707G14.6	LINCRNA
ENSG00000241423	RPL21P103	PSEUDOGENE
ENSG00000239927	RPP21	PROTEIN_CODING
ENSG00000089327	FXYD5	PROTEIN_CODING
ENSG00000167733	HSD11B1L	PROTEIN_CODING
ENSG00000173599	PC	PROTEIN_CODING
ENSG00000260909	RP11-93O14.1	PSEUDOGENE
ENSG00000196290	NIF3L1	PROTEIN_CODING
ENSG00000116329	OPRD1	PROTEIN_CODING
ENSG00000233533	RP11-322I2.2	PSEUDOGENE
ENSG00000261528	AC002400.1	PSEUDOGENE
ENSG00000197428	OR51D1	PROTEIN_CODING
ENSG00000188375	H3F3C	PROTEIN_CODING
ENSG00000255187	RP11-699F16.2	LINCRNA
ENSG00000215788	TNFRSF25	PROTEIN_CODING
ENSG00000265754	SNORA38	SNORNA
ENSG00000266851	CR759848.3	MIRNA
ENSG00000253282	KB-1410C5.3	LINCRNA
ENSG00000223996	ETF1P1	PSEUDOGENE
ENSG00000225294	OSTCP2	PSEUDOGENE
ENSG00000187678	SPRY4	PROTEIN_CODING
ENSG00000238753	SNOU13	SNORNA
ENSG00000240456	RP11-23D24.2	LINCRNA
ENSG00000248547	RP11-468N14.6	PSEUDOGENE
ENSG00000225234	TRAPPC12-AS1	ANTISENSE
ENSG00000173231	TERF1P1	PSEUDOGENE
ENSG00000236871	LINC00106	LINCRNA
ENSG00000165805	C12ORF50	PROTEIN_CODING
ENSG00000106628	POLD2	PROTEIN_CODING
ENSG00000104472	CHRAC1	PROTEIN_CODING
ENSG00000157856	CCDC164	PROTEIN_CODING
ENSG00000262277	AP000907.1	PROTEIN_CODING
ENSG00000265930	MIR4734	MIRNA
ENSG00000116035	VAX2	PROTEIN_CODING
ENSG00000255063	RP11-718B12.1	PSEUDOGENE
ENSG00000242482	METAZOA_SRP	MISC_RNA
ENSG00000157965	SSX8	PSEUDOGENE
ENSG00000066405	CLDN18	PROTEIN_CODING
ENSG00000224579	AC012314.19	PSEUDOGENE
ENSG00000124678	TCP11	PROTEIN_CODING
ENSG00000259169	LOC390483	PSEUDOGENE
ENSG00000263768	AC060226.1	MIRNA
ENSG00000239390	METAZOA_SRP	MISC_RNA
ENSG00000112308	C6ORF62	PROTEIN_CODING
ENSG00000213676	ATF6B	PROTEIN_CODING
ENSG00000101224	CDC25B	PROTEIN_CODING
ENSG00000253764	RP11-439C15.4	ANTISENSE
ENSG00000138772	ANXA3	PROTEIN_CODING
ENSG00000230343	AC018892.8	PSEUDOGENE
ENSG00000224655	AC018737.3	LINCRNA
ENSG00000200326	RN5S391	RRNA
ENSG00000230711	CTAGE13P	PSEUDOGENE
ENSG00000264139	MIR3667	MIRNA
ENSG00000236763	TRMT112P4	PSEUDOGENE
ENSG00000213430	HSPD1P1	PSEUDOGENE
ENSG00000252855	AC134878.1	MIRNA
ENSG00000239265	CLRN1-AS1	ANTISENSE
ENSG00000153071	DAB2	PROTEIN_CODING
ENSG00000171130	ATP6V0E2	PROTEIN_CODING
ENSG00000156284	CLDN8	PROTEIN_CODING
ENSG00000225032	RP11-228B15.4	ANTISENSE
ENSG00000204710	SPDYC	PROTEIN_CODING
ENSG00000249415	OR2U2P	PSEUDOGENE
ENSG00000201218	Y_RNA	MISC_RNA
ENSG00000236148	AC114752.2	PSEUDOGENE
ENSG00000201308	U6	SNRNA
ENSG00000225319	BX649597.4	PSEUDOGENE
ENSG00000242201	METAZOA_SRP	MISC_RNA
ENSG00000226807	AC100803.1	POLYMORPHIC_PSEUDOGENE
ENSG00000210164	J01415.16	MT_TRNA
ENSG00000254601	RP11-734C14.3	PSEUDOGENE
ENSG00000237835	AC007064.22	PSEUDOGENE
ENSG00000237314	AC021607.1	PSEUDOGENE
ENSG00000224371	RP11-235G24.1	LINCRNA
ENSG00000238699	SNOU13	SNORNA
ENSG00000249571	OR12D1P	PSEUDOGENE
ENSG00000122547	EEPD1	PROTEIN_CODING
ENSG00000161835	GRASP	PROTEIN_CODING
ENSG00000237388	OR4A47	PROTEIN_CODING
ENSG00000254136	RP11-546K22.2	LINCRNA
ENSG00000141002	TCF25	PROTEIN_CODING
ENSG00000233367	RP11-307L3.4	ANTISENSE
ENSG00000253797	UTP14C	PROTEIN_CODING
ENSG00000197122	SRC	PROTEIN_CODING
ENSG00000124237	C20ORF85	PROTEIN_CODING
ENSG00000263304	MILR1	PROTEIN_CODING
ENSG00000227925	RP11-191N8.2	LINCRNA
ENSG00000226587	RP5-905H7.9	PROCESSED_TRANSCRIPT
ENSG00000236514	RP11-162G10.5	ANTISENSE
ENSG00000229458	RP11-202D18.2	ANTISENSE
ENSG00000174348	PODN	PROTEIN_CODING
