entrez_gene_symbol	gene_long_name	category_sources	category
ATP6V1B2 	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2 	GO	TRANSPORTER
ATP6V1C1 	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1 	GO	ABC TRANSPORTER
ATP6V1C1 	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1 	GO	TRANSPORTER
ATP6V1C2 	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2 	GO	ABC TRANSPORTER
ATP6V1C2 	ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2 	GO	TRANSPORTER
ATP6V1D 	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D 	GO	ABC TRANSPORTER
ATP6V1D 	ATPase, H+ transporting, lysosomal 34kDa, V1 subunit D 	GO	TRANSPORTER
ATP6V1E1 	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 	GO	ABC TRANSPORTER
ATP6V1E1 	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E1 	GO	TRANSPORTER
ATP6V1E2 	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2 	GO	ABC TRANSPORTER
ATP6V1E2 	ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2 	GO	TRANSPORTER
ATP6V1F 	ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F 	GO	ABC TRANSPORTER
ATP6V1F 	ATPase, H+ transporting, lysosomal 14kDa, V1 subunit F 	GO	TRANSPORTER
ATP6V1G1 	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G1 	GO	TRANSPORTER
ATP6V1G2 	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2 	GO	TRANSPORTER
ATP6V1G2-DDX39B 	ATP6V1G2-DDX39B readthrough (non-protein coding) 	GO	ABC TRANSPORTER
ATP6V1G2-DDX39B 	ATP6V1G2-DDX39B readthrough (non-protein coding) 	GO	TRANSPORTER
ATP6V1G3 	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G3 	GO	TRANSPORTER
ATP6V1H 	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H 	GO	ABC TRANSPORTER
ATP6V1H 	ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H 	GO	TRANSPORTER
ATP7A 	ATPase, Cu++ transporting, alpha polypeptide 	GO	ABC TRANSPORTER
ATP7A 	ATPase, Cu++ transporting, alpha polypeptide 	GO	TRANSPORTER
ATP7B 	ATPase, Cu++ transporting, beta polypeptide 	GO	ABC TRANSPORTER
ATP7B 	ATPase, Cu++ transporting, beta polypeptide 	GO	TRANSPORTER
ATP8A1 	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1 	GO	ABC TRANSPORTER
ATP8A1 	ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1 	GO	TRANSPORTER
ATP8A2 	ATPase, aminophospholipid transporter, class I, type 8A, member 2 	GO	ABC TRANSPORTER
ATP8A2 	ATPase, aminophospholipid transporter, class I, type 8A, member 2 	GO	TRANSPORTER
ATP8B1 	ATPase, aminophospholipid transporter, class I, type 8B, member 1 	GO	ABC TRANSPORTER
ATP8B1 	ATPase, aminophospholipid transporter, class I, type 8B, member 1 	GO	TRANSPORTER
ATP8B2 	ATPase, aminophospholipid transporter, class I, type 8B, member 2 	GO	ABC TRANSPORTER
ATP8B2 	ATPase, aminophospholipid transporter, class I, type 8B, member 2 	GO	TRANSPORTER
ATP8B3 	ATPase, aminophospholipid transporter, class I, type 8B, member 3 	GO	ABC TRANSPORTER
ATP8B3 	ATPase, aminophospholipid transporter, class I, type 8B, member 3 	GO	TRANSPORTER
ATP8B4 	ATPase, class I, type 8B, member 4 	GO	ABC TRANSPORTER
ATP8B4 	ATPase, class I, type 8B, member 4 	GO	TRANSPORTER
ATP9A 	ATPase, class II, type 9A 	GO	ABC TRANSPORTER
ATP9A 	ATPase, class II, type 9A 	GO	TRANSPORTER
ATP9B 	ATPase, class II, type 9B 	GO	ABC TRANSPORTER
ATP9B 	ATPase, class II, type 9B 	GO	TRANSPORTER
ATPIF1 	ATPase inhibitory factor 1 	GO	CELL SURFACE
ATR 	ataxia telangiectasia and Rad3 related 	GO	DNA REPAIR
ATR 	ataxia telangiectasia and Rad3 related 	GO	KINASE
ATR 	ataxia telangiectasia and Rad3 related 	GO	TUMOR SUPPRESSOR
ATR 	ataxia telangiectasia and Rad3 related 	GO, dGene	SERINE THREONINE KINASE
ATR 	ataxia telangiectasia and Rad3 related 	HopkinsGroom	PHOSPHATIDYLINOSITOL 3 KINASE
ATR 	ataxia telangiectasia and Rad3 related 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
ATRIP 	ATR interacting protein 	GO	DNA REPAIR
ATRIP 	ATR interacting protein 	GO	TUMOR SUPPRESSOR
ATRX 	alpha thalassemia/mental retardation syndrome X-linked 	GO	DNA REPAIR
ATXN3 	ataxin 3 	GO	DNA REPAIR
ATXN3 	ataxin 3 	GO, dGene	PROTEASE
ATXN3L 	ataxin 3-like 	GO, dGene	PROTEASE
ATXN7 	ataxin 7 	GO	HISTONE MODIFICATION
ATXN7L3 	ataxin 7-like 3 	GO	HISTONE MODIFICATION
AURKA 	aurora kinase A 	GO	TUMOR SUPPRESSOR
AURKA 	aurora kinase A 	GO, HopkinsGroom	KINASE
AURKA 	aurora kinase A 	GO, dGene	SERINE THREONINE KINASE
AURKA 	aurora kinase A 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
AURKAIP1 	aurora kinase A interacting protein 1 	GO	TUMOR SUPPRESSOR
AURKB 	aurora kinase B 	GO	HISTONE MODIFICATION
AURKB 	aurora kinase B 	GO	TUMOR SUPPRESSOR
AURKB 	aurora kinase B 	GO, HopkinsGroom	KINASE
AURKB 	aurora kinase B 	GO, dGene	SERINE THREONINE KINASE
AURKB 	aurora kinase B 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
AURKC 	aurora kinase C 	GO	HISTONE MODIFICATION
AURKC 	aurora kinase C 	GO	TUMOR SUPPRESSOR
AURKC 	aurora kinase C 	GO, HopkinsGroom	KINASE
AURKC 	aurora kinase C 	GO, dGene	SERINE THREONINE KINASE
AURKC 	aurora kinase C 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
AVP 	arginine vasopressin 	GO	HORMONE ACTIVITY
AVP 	arginine vasopressin 	GO	KINASE
AVP 	arginine vasopressin 	GO, dGene	PROTEASE INHIBITOR
AVPR1A 	arginine vasopressin receptor 1A 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
AVPR1A 	arginine vasopressin receptor 1A 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
AVPR1B 	arginine vasopressin receptor 1B 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
AVPR1B 	arginine vasopressin receptor 1B 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
AVPR2 	arginine vasopressin receptor 2 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
AVPR2 	arginine vasopressin receptor 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
AXIN2 	axin 2 	GO	DNA REPAIR
AXIN2 	axin 2 	GO	TUMOR SUPPRESSOR
AXL 	AXL receptor tyrosine kinase 	GO	CELL SURFACE
AXL 	AXL receptor tyrosine kinase 	GO, HopkinsGroom	KINASE
AXL 	AXL receptor tyrosine kinase 	GO, dGene	TYROSINE KINASE
AXL 	AXL receptor tyrosine kinase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
AZGP1 	alpha-2-glycoprotein 1, zinc-binding 	GO	TRANSPORTER
AZIN1 	antizyme inhibitor 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
AZU1 	azurocidin 1 	GO, HopkinsGroom, dGene	PROTEASE
AZU1 	azurocidin 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
B2M 	beta-2-microglobulin 	GO	CELL SURFACE
B2M 	beta-2-microglobulin 	GO	DRUG RESISTANCE
B2M 	beta-2-microglobulin 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
B4GALT1 	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1 	GO	CELL SURFACE
B4GALT1 	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
BABAM1 	BRISC and BRCA1 A complex member 1 	GO	DNA REPAIR
BABAM1 	BRISC and BRCA1 A complex member 1 	GO	TUMOR SUPPRESSOR
BACE1 	beta-site APP-cleaving enzyme 1 	GO	CELL SURFACE
BACE1 	beta-site APP-cleaving enzyme 1 	GO, HopkinsGroom, dGene	PROTEASE
BACE1 	beta-site APP-cleaving enzyme 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BACE2 	beta-site APP-cleaving enzyme 2 	GO	CELL SURFACE
BACE2 	beta-site APP-cleaving enzyme 2 	GO, HopkinsGroom, dGene	PROTEASE
BACE2 	beta-site APP-cleaving enzyme 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BAD 	BCL2-associated agonist of cell death 	GO	TUMOR SUPPRESSOR
BAG1 	BCL2-associated athanogene 	GO	DRUG RESISTANCE
BAI1 	brain-specific angiogenesis inhibitor 1 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
BAI1 	brain-specific angiogenesis inhibitor 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BAI2 	brain-specific angiogenesis inhibitor 2 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
BAI2 	brain-specific angiogenesis inhibitor 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BAI3 	brain-specific angiogenesis inhibitor 3 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
BAI3 	brain-specific angiogenesis inhibitor 3 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BAK1 	BCL2-antagonist/killer 1 	GO	DRUG RESISTANCE
BAK1 	BCL2-antagonist/killer 1 	GO	TUMOR SUPPRESSOR
BAK1 	BCL2-antagonist/killer 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BAK1P1 	BCL2-antagonist/killer 1 pseudogene 1 	RussLampel	DRUGGABLE GENOME
BAP1 	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase) 	GO	HISTONE MODIFICATION
BAP1 	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase) 	GO	TUMOR SUPPRESSOR
BAP1 	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase) 	GO, dGene	PROTEASE
BARD1 	BRCA1 associated RING domain 1 	GO	DNA REPAIR
BARD1 	BRCA1 associated RING domain 1 	GO	TUMOR SUPPRESSOR
BARX2 	BARX homeobox 2 	GO	TRANSCRIPTION FACTOR COMPLEX
BAX 	BCL2-associated X protein 	GO	TRANSPORTER
BAX 	BCL2-associated X protein 	GO	TUMOR SUPPRESSOR
BAX 	BCL2-associated X protein 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BAZ1B 	bromodomain adjacent to zinc finger domain, 1B 	GO	DNA REPAIR
BAZ1B 	bromodomain adjacent to zinc finger domain, 1B 	GO	HISTONE MODIFICATION
BAZ1B 	bromodomain adjacent to zinc finger domain, 1B 	GO	KINASE
BAZ1B 	bromodomain adjacent to zinc finger domain, 1B 	GO	TRANSCRIPTION FACTOR BINDING
BAZ1B 	bromodomain adjacent to zinc finger domain, 1B 	GO	TYROSINE KINASE
BAZ2A 	bromodomain adjacent to zinc finger domain, 2A 	GO	HISTONE MODIFICATION
BBOX1 	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1 	RussLampel	DRUGGABLE GENOME
BBS2 	Bardet-Biedl syndrome 2 	RussLampel	DRUGGABLE GENOME
BCAM 	basal cell adhesion molecule (Lutheran blood group) 	GO	CELL SURFACE
BCAM 	basal cell adhesion molecule (Lutheran blood group) 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
BCAR3 	breast cancer anti-estrogen resistance 3 	GO	DRUG RESISTANCE
BCCIP 	BRCA2 and CDKN1A interacting protein 	GO	DNA REPAIR
BCCIP 	BRCA2 and CDKN1A interacting protein 	GO	TUMOR SUPPRESSOR
BCHE 	butyrylcholinesterase 	GO	DRUG METABOLISM
BCHE 	butyrylcholinesterase 	GO	DRUG RESISTANCE
BCHE 	butyrylcholinesterase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BCKDK 	branched chain ketoacid dehydrogenase kinase 	GO	KINASE
BCKDK 	branched chain ketoacid dehydrogenase kinase 	GO, dGene	SERINE THREONINE KINASE
BCKDK 	branched chain ketoacid dehydrogenase kinase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BCL10 	B-cell CLL/lymphoma 10 	GO	TRANSCRIPTION FACTOR BINDING
BCL2 	B-cell CLL/lymphoma 2 	GO	DRUG RESISTANCE
BCL2 	B-cell CLL/lymphoma 2 	GO	TRANSCRIPTION FACTOR BINDING
BCL2 	B-cell CLL/lymphoma 2 	GO	TRANSPORTER
BCL2 	B-cell CLL/lymphoma 2 	GO	TUMOR SUPPRESSOR
BCL2 	B-cell CLL/lymphoma 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BCL2A1 	BCL2-related protein A1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BCL2L1 	BCL2-like 1 	GO	TUMOR SUPPRESSOR
BCL2L1 	BCL2-like 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BCL2L10 	BCL2-like 10 (apoptosis facilitator) 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BCL2L11 	BCL2-like 11 (apoptosis facilitator) 	GO	TUMOR SUPPRESSOR
BCL2L13 	BCL2-like 13 (apoptosis facilitator) 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BCL2L14 	BCL2-like 14 (apoptosis facilitator) 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BCL2L15 	BCL2-like 15 	RussLampel	DRUGGABLE GENOME
BCL2L2 	BCL2-like 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BCL3 	B-cell CLL/lymphoma 3 	GO	TRANSCRIPTION FACTOR BINDING
BCL6 	B-cell CLL/lymphoma 6 	GO	TUMOR SUPPRESSOR
BCOR 	BCL6 corepressor 	GO	HISTONE MODIFICATION
BCOR 	BCL6 corepressor 	GO	TRANSCRIPTION FACTOR BINDING
BCR 	breakpoint cluster region 	GO	KINASE
BCR 	breakpoint cluster region 	GO	TUMOR SUPPRESSOR
BCR 	breakpoint cluster region 	GO	TYROSINE KINASE
BCR 	breakpoint cluster region 	GO, dGene	SERINE THREONINE KINASE
BDH1 	3-hydroxybutyrate dehydrogenase, type 1 	HopkinsGroom	SHORT CHAIN DEHYDROGENASE REDUCTASE
BDH1 	3-hydroxybutyrate dehydrogenase, type 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BDH2 	3-hydroxybutyrate dehydrogenase, type 2 	HopkinsGroom	SHORT CHAIN DEHYDROGENASE REDUCTASE
BDH2 	3-hydroxybutyrate dehydrogenase, type 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BDKRB1 	bradykinin receptor B1 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
BDKRB1 	bradykinin receptor B1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BDKRB2 	bradykinin receptor B2 	GO	DRUG RESISTANCE
BDKRB2 	bradykinin receptor B2 	GO	PHOSPHOLIPASE
BDKRB2 	bradykinin receptor B2 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
BDKRB2 	bradykinin receptor B2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BDNF 	brain-derived neurotrophic factor 	GO	DRUG RESISTANCE
BDNF 	brain-derived neurotrophic factor 	GO	GROWTH FACTOR
BEGAIN 	brain-enriched guanylate kinase-associated homolog (rat) 	GO	KINASE
BEST1 	bestrophin 1 	GO	ION CHANNEL
BEST1 	bestrophin 1 	GO	TRANSPORTER
BEST2 	bestrophin 2 	GO	ION CHANNEL
BEST2 	bestrophin 2 	GO	TRANSPORTER
BEST3 	bestrophin 3 	GO	ION CHANNEL
BEST3 	bestrophin 3 	GO	TRANSPORTER
BEST4 	bestrophin 4 	GO	ION CHANNEL
BEST4 	bestrophin 4 	GO	TRANSPORTER
BEX1 	brain expressed, X-linked 1 	GO	TRANSCRIPTION FACTOR BINDING
BEX1 	brain expressed, X-linked 1 	GO	TRANSCRIPTION FACTOR COMPLEX
BEX2 	brain expressed X-linked 2 	GO	TUMOR SUPPRESSOR
BGLAP 	bone gamma-carboxyglutamate (gla) protein 	GO	DRUG RESISTANCE
BGN 	biglycan 	GO	CELL SURFACE
BHLHE40 	basic helix-loop-helix family, member e40 	GO	TRANSCRIPTION FACTOR BINDING
BHLHE41 	basic helix-loop-helix family, member e41 	GO	TRANSCRIPTION FACTOR BINDING
BID 	BH3 interacting domain death agonist 	GO	TUMOR SUPPRESSOR
BIRC2 	baculoviral IAP repeat containing 2 	GO	TUMOR SUPPRESSOR
BIRC5 	baculoviral IAP repeat containing 5 	GO	TUMOR SUPPRESSOR
BIRC5 	baculoviral IAP repeat containing 5 	GO, dGene	PROTEASE INHIBITOR
BIRC6 	baculoviral IAP repeat containing 6 	GO, dGene	PROTEASE INHIBITOR
BIRC7 	baculoviral IAP repeat containing 7 	GO, dGene	PROTEASE INHIBITOR
BLK 	B lymphoid tyrosine kinase 	GO, HopkinsGroom	KINASE
BLK 	B lymphoid tyrosine kinase 	GO, dGene	TYROSINE KINASE
BLK 	B lymphoid tyrosine kinase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BLM 	Bloom syndrome, RecQ helicase-like 	GO	DNA REPAIR
BLM 	Bloom syndrome, RecQ helicase-like 	GO	TUMOR SUPPRESSOR
BLMH 	bleomycin hydrolase 	GO, HopkinsGroom, dGene	PROTEASE
BLMH 	bleomycin hydrolase 	HopkinsGroom	DRUGGABLE GENOME
BLOC1S3 	biogenesis of lysosomal organelles complex-1, subunit 3 	GO	DRUG RESISTANCE
BMI1 	BMI1 polycomb ring finger oncogene 	GO	HISTONE MODIFICATION
BMP1 	bone morphogenetic protein 1 	GO	GROWTH FACTOR
BMP1 	bone morphogenetic protein 1 	GO	NEUTRAL ZINC METALLOPEPTIDASE
BMP1 	bone morphogenetic protein 1 	GO, HopkinsGroom, dGene	PROTEASE
BMP1 	bone morphogenetic protein 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BMP10 	bone morphogenetic protein 10 	GO	CELL SURFACE
BMP10 	bone morphogenetic protein 10 	GO	GROWTH FACTOR
BMP15 	bone morphogenetic protein 15 	GO	GROWTH FACTOR
BMP2 	bone morphogenetic protein 2 	GO	CELL SURFACE
BMP2 	bone morphogenetic protein 2 	GO	GROWTH FACTOR
BMP2 	bone morphogenetic protein 2 	GO	TUMOR SUPPRESSOR
BMP2K 	BMP2 inducible kinase 	GO	KINASE
BMP2K 	BMP2 inducible kinase 	GO, dGene	SERINE THREONINE KINASE
BMP2K 	BMP2 inducible kinase 	RussLampel	DRUGGABLE GENOME
BMP3 	bone morphogenetic protein 3 	GO	GROWTH FACTOR
BMP4 	bone morphogenetic protein 4 	GO	GROWTH FACTOR
BMP4 	bone morphogenetic protein 4 	GO	TUMOR SUPPRESSOR
BMP5 	bone morphogenetic protein 5 	GO	GROWTH FACTOR
BMP6 	bone morphogenetic protein 6 	GO	GROWTH FACTOR
BMP7 	bone morphogenetic protein 7 	GO	GROWTH FACTOR
BMP7 	bone morphogenetic protein 7 	GO	TUMOR SUPPRESSOR
BMP8A 	bone morphogenetic protein 8a 	GO	GROWTH FACTOR
BMP8B 	bone morphogenetic protein 8b 	GO	GROWTH FACTOR
BMPR1A 	bone morphogenetic protein receptor, type IA 	GO	KINASE
BMPR1A 	bone morphogenetic protein receptor, type IA 	GO, dGene	SERINE THREONINE KINASE
BMPR1A 	bone morphogenetic protein receptor, type IA 	RussLampel	DRUGGABLE GENOME
BMPR1B 	bone morphogenetic protein receptor, type IB 	GO	KINASE
BMPR1B 	bone morphogenetic protein receptor, type IB 	GO, dGene	SERINE THREONINE KINASE
BMPR1B 	bone morphogenetic protein receptor, type IB 	RussLampel	DRUGGABLE GENOME
BMPR2 	bone morphogenetic protein receptor, type II (serine/threonine kinase) 	GO	CELL SURFACE
BMPR2 	bone morphogenetic protein receptor, type II (serine/threonine kinase) 	GO	KINASE
BMPR2 	bone morphogenetic protein receptor, type II (serine/threonine kinase) 	GO, dGene	SERINE THREONINE KINASE
BMX 	BMX non-receptor tyrosine kinase 	GO, HopkinsGroom	KINASE
BMX 	BMX non-receptor tyrosine kinase 	GO, dGene	TYROSINE KINASE
BMX 	BMX non-receptor tyrosine kinase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BOK 	BCL2-related ovarian killer 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BOP1 	block of proliferation 1 	GO	TUMOR SUPPRESSOR
BORA 	bora, aurora kinase A activator 	GO	TUMOR SUPPRESSOR
BPI 	bactericidal/permeability-increasing protein 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BPIFA1 	BPI fold containing family A, member 1 	RussLampel	DRUGGABLE GENOME
BPIFA2 	BPI fold containing family A, member 2 	RussLampel	DRUGGABLE GENOME
BPIFA3 	BPI fold containing family A, member 3 	RussLampel	DRUGGABLE GENOME
BPIFB1 	BPI fold containing family B, member 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BPIFB2 	BPI fold containing family B, member 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BPIFB3 	BPI fold containing family B, member 3 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BPIFB4 	BPI fold containing family B, member 4 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BPIFB6 	BPI fold containing family B, member 6 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BPIFC 	BPI fold containing family C 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BPTF 	bromodomain PHD finger transcription factor 	GO	TRANSCRIPTION FACTOR BINDING
BRAF 	v-raf murine sarcoma viral oncogene homolog B1 	GO, HopkinsGroom	KINASE
BRAF 	v-raf murine sarcoma viral oncogene homolog B1 	GO, dGene	SERINE THREONINE KINASE
BRAF 	v-raf murine sarcoma viral oncogene homolog B1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BRCA1 	breast cancer 1, early onset 	GO	DNA REPAIR
BRCA1 	breast cancer 1, early onset 	GO	HISTONE MODIFICATION
BRCA1 	breast cancer 1, early onset 	GO	TUMOR SUPPRESSOR
BRCA2 	breast cancer 2, early onset 	GO	DNA REPAIR
BRCA2 	breast cancer 2, early onset 	GO	HISTONE MODIFICATION
BRCA2 	breast cancer 2, early onset 	GO	TUMOR SUPPRESSOR
BRCC3 	BRCA1/BRCA2-containing complex, subunit 3 	GO	DNA REPAIR
BRCC3 	BRCA1/BRCA2-containing complex, subunit 3 	GO	HISTONE MODIFICATION
BRCC3 	BRCA1/BRCA2-containing complex, subunit 3 	GO	NEUTRAL ZINC METALLOPEPTIDASE
BRCC3 	BRCA1/BRCA2-containing complex, subunit 3 	GO	TUMOR SUPPRESSOR
BRCC3 	BRCA1/BRCA2-containing complex, subunit 3 	GO, dGene	PROTEASE
BRD1 	bromodomain containing 1 	GO	HISTONE MODIFICATION
BRD2 	bromodomain containing 2 	dGene	SERINE THREONINE KINASE
BRD3 	bromodomain containing 3 	dGene	SERINE THREONINE KINASE
BRD4 	bromodomain containing 4 	GO	HISTONE MODIFICATION
BRD4 	bromodomain containing 4 	GO	TUMOR SUPPRESSOR
BRD4 	bromodomain containing 4 	dGene	SERINE THREONINE KINASE
BRD7 	bromodomain containing 7 	GO	HISTONE MODIFICATION
BRD7 	bromodomain containing 7 	GO	TRANSCRIPTION FACTOR BINDING
BRD7 	bromodomain containing 7 	GO	TUMOR SUPPRESSOR
BRD8 	bromodomain containing 8 	GO	HISTONE MODIFICATION
BRD8 	bromodomain containing 8 	GO	NUCLEAR HORMONE RECEPTOR
BRDT 	bromodomain, testis-specific 	dGene	SERINE THREONINE KINASE
BRE 	brain and reproductive organ-expressed (TNFRSF1A modulator) 	GO	DNA REPAIR
BRE 	brain and reproductive organ-expressed (TNFRSF1A modulator) 	GO	TUMOR SUPPRESSOR
BRF1 	BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae) 	GO	TRANSCRIPTION FACTOR COMPLEX
BRIP1 	BRCA1 interacting protein C-terminal helicase 1 	GO	DNA REPAIR
BRIP1 	BRCA1 interacting protein C-terminal helicase 1 	GO	TUMOR SUPPRESSOR
BRMS1 	breast cancer metastasis suppressor 1 	GO	TRANSCRIPTION FACTOR BINDING
BRPF1 	bromodomain and PHD finger containing, 1 	GO	HISTONE MODIFICATION
BRPF3 	bromodomain and PHD finger containing, 3 	GO	HISTONE MODIFICATION
BRS3 	bombesin-like receptor 3 	GO, HopkinsGroom, dGene	G PROTEIN COUPLED RECEPTOR
BRS3 	bombesin-like receptor 3 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BRSK1 	BR serine/threonine kinase 1 	GO	TUMOR SUPPRESSOR
BRSK1 	BR serine/threonine kinase 1 	GO, HopkinsGroom	KINASE
BRSK1 	BR serine/threonine kinase 1 	GO, dGene	SERINE THREONINE KINASE
BRSK1 	BR serine/threonine kinase 1 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BRSK2 	BR serine/threonine kinase 2 	GO, HopkinsGroom	KINASE
BRSK2 	BR serine/threonine kinase 2 	GO, dGene	SERINE THREONINE KINASE
BRSK2 	BR serine/threonine kinase 2 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BSND 	Bartter syndrome, infantile, with sensorineural deafness (Barttin) 	GO	ION CHANNEL
BSND 	Bartter syndrome, infantile, with sensorineural deafness (Barttin) 	GO	TRANSPORTER
BSPRY 	B-box and SPRY domain containing 	HopkinsGroom	B30 2 SPRY DOMAIN
BSPRY 	B-box and SPRY domain containing 	HopkinsGroom	DRUGGABLE GENOME
BST2 	bone marrow stromal cell antigen 2 	GO	CELL SURFACE
BST2 	bone marrow stromal cell antigen 2 	GO	PROTEASE INHIBITOR
BSX 	brain-specific homeobox 	GO	TRANSCRIPTION FACTOR COMPLEX
BTC 	betacellulin 	GO	GROWTH FACTOR
BTG2 	BTG family, member 2 	GO	DNA REPAIR
BTG3 	BTG family, member 3 	GO	TUMOR SUPPRESSOR
BTG4 	B-cell translocation gene 4 	GO	TUMOR SUPPRESSOR
BTK 	Bruton agammaglobulinemia tyrosine kinase 	GO, HopkinsGroom	KINASE
BTK 	Bruton agammaglobulinemia tyrosine kinase 	GO, dGene	TYROSINE KINASE
BTK 	Bruton agammaglobulinemia tyrosine kinase 	HopkinsGroom, RussLampel	DRUGGABLE GENOME
BTLA 	B and T lymphocyte associated 	GO	CELL SURFACE
BTLA 	B and T lymphocyte associated 	GO	EXTERNAL SIDE OF PLASMA MEMBRANE
BTN1A1 	butyrophilin, subfamily 1, member A1 	HopkinsGroom	B30 2 SPRY DOMAIN
BTN1A1 	butyrophilin, subfamily 1, member A1 	HopkinsGroom	DRUGGABLE GENOME
BTN2A1 	butyrophilin, subfamily 2, member A1 	HopkinsGroom	B30 2 SPRY DOMAIN
BTN2A1 	butyrophilin, subfamily 2, member A1 	HopkinsGroom	DRUGGABLE GENOME
BTN2A2 	butyrophilin, subfamily 2, member A2 	HopkinsGroom	B30 2 SPRY DOMAIN
BTN2A2 	butyrophilin, subfamily 2, member A2 	HopkinsGroom	DRUGGABLE GENOME
BTN3A1 	butyrophilin, subfamily 3, member A1 	HopkinsGroom	B30 2 SPRY DOMAIN
